et,outcome,pnl_usd_q1,pnl_points,entry,entry_sec_volume,exit_sec_volume
2024-01-11 08:30:00,stopped_post,-241.42499999998108,-4.828499999999622,4828.5,37.0,1742.0
2024-02-13 08:30:00,stopped_post,-251.2499999999818,-5.024999999999636,5025.0,32.0,2611.0
2024-03-12 08:30:00,stopped_post,-259.9250000000211,-5.198500000000422,5198.5,10.0,1073.0
2024-04-10 08:30:00,stopped_post,-263.37499999999636,-5.267499999999927,5267.5,17.0,1328.0
2024-05-15 08:30:00,tp,1053.9499999999862,21.078999999999724,5269.75,39.0,732.0
2024-06-12 08:30:00,tp,1387.5,27.75,5389.5,1.0,2503.0
2024-07-11 08:30:00,tp,1135.699999999997,22.713999999999942,5678.5,15.0,369.0
2024-08-14 08:30:00,stopped_post,-273.050000000012,-5.46100000000024,5461.0,7.0,469.0
2024-09-11 08:30:00,stopped_post,-274.8125000000073,-5.4962500000001455,5496.25,10.0,919.0
2024-10-10 08:30:00,stopped_post,-291.78750000000946,-5.835750000000189,5835.75,1.0,680.0
2024-11-13 08:30:00,tp,1200.5999999999858,24.011999999999716,6003.0,58.0,2057.0
2024-12-11 08:30:00,timed,775.0,15.5,6054.25,36.0,63.0
2025-01-15 08:30:00,tp,1180.9000000000196,23.618000000000393,5904.5,2.0,1185.0
2025-02-12 08:30:00,stopped_post,-304.62499999998727,-6.092499999999745,6092.5,11.0,347.0
2025-03-12 08:30:00,tp,1124.850000000015,22.4970000000003,5624.25,48.0,1743.0
2025-04-10 08:30:00,tp,1787.5,35.75,5379.25,35.0,1159.0
2025-05-13 08:30:00,tp,1172.1500000000106,23.44300000000021,5860.75,2.0,286.0
2025-06-11 08:30:00,tp,1207.0999999999913,24.141999999999825,6035.5,26.0,1165.0
2025-07-15 08:30:00,timed,275.0,5.5,6326.25,10.0,26.0
2025-08-12 08:30:00,tp,1280.699999999979,25.613999999999578,6403.5,4.0,221.0
2025-09-11 08:30:00,stopped_post,-327.6875000000018,-6.553750000000036,6553.75,54.0,557.0
2025-10-24 08:30:00,tp,1359.0000000000146,27.18000000000029,6795.0,1.0,1955.0
2026-01-13 08:30:00,tp,1401.150000000007,28.02300000000014,7005.75,12.0,521.0
2026-02-13 08:30:00,tp,1367.2000000000025,27.34400000000005,6836.0,15.0,494.0
2026-03-11 08:30:00,stopped_post,-339.0625,-6.78125,6781.25,17.0,31.0
2026-04-10 08:30:00,timed,312.5,6.25,6866.75,4.0,106.0
2026-05-12 08:30:00,timed,537.5,10.75,7403.5,5.0,12.0
2026-06-10 08:30:00,stopped_post,-366.37500000001637,-7.327500000000327,7327.5,29.0,99.0
2026-07-14 08:30:00,tp,1511.4000000000033,30.228000000000065,7557.0,18.0,391.0
