et,outcome,pnl_usd_q1,pnl_points,entry,entry_sec_volume,exit_sec_volume
2024-01-11 08:30:00,stopped_post,-189.7650000000067,-37.95300000000134,37953.0,1.0,279.0
2024-02-13 08:30:00,stopped_post,-194.14499999998952,-38.828999999997905,38829.0,6.0,664.0
2024-03-12 08:30:00,stopped_post,-196.20500000000902,-39.241000000001804,39241.0,1.0,172.0
2024-04-10 08:30:00,stopped_post,-196.24500000001717,-39.249000000003434,39249.0,1.0,182.0
2024-05-15 08:30:00,tp,793.640000000014,158.7280000000028,39682.0,3.0,73.0
2024-06-12 08:30:00,tp,776.3999999999942,155.27999999999884,38820.0,2.0,86.0
2024-07-11 08:30:00,tp,799.4599999999991,159.89199999999983,39973.0,8.0,134.0
2024-08-14 08:30:00,stopped_post,-199.38999999998487,-39.87799999999697,39878.0,1.0,64.0
2024-09-11 08:30:00,stopped_post,-203.32500000000437,-40.66500000000087,40665.0,6.0,102.0
2024-10-10 08:30:00,stopped_post,-213.93499999998312,-42.786999999996624,42787.0,1.0,102.0
2024-11-13 08:30:00,tp,879.6399999999994,175.92799999999988,43982.0,2.0,14.0
2024-12-11 08:30:00,timed,510.0,102.0,44326.0,27.0,1.0
2025-01-15 08:30:00,tp,859.2599999999948,171.85199999999895,42963.0,1.0,250.0
2025-02-12 08:30:00,stopped_post,-223.43000000000757,-44.68600000000151,44686.0,2.0,207.0
2025-03-12 08:30:00,tp,834.3799999999828,166.87599999999657,41719.0,5.0,292.0
2025-04-10 08:30:00,tp,803.9600000000064,160.79200000000128,40198.0,4.0,49.0
2025-05-13 08:30:00,timed,40.0,8.0,42305.0,1.0,2.0
2025-06-11 08:30:00,tp,856.160000000018,171.2320000000036,42808.0,1.0,236.0
2025-07-15 08:30:00,timed,220.0,44.0,44601.0,1.0,1.0
2025-08-12 08:30:00,tp,885.0,177.0,44119.0,4.0,7.0
2025-09-11 08:30:00,stopped_post,-228.11499999999796,-45.62299999999959,45623.0,1.0,33.0
2025-10-24 08:30:00,tp,939.7200000000157,187.94400000000314,46986.0,1.0,332.0
2026-01-13 08:30:00,tp,993.640000000014,198.7280000000028,49682.0,2.0,40.0
2026-02-13 08:30:00,timed,415.0,83.0,49439.0,1.0,1.0
2026-03-11 08:30:00,stopped_post,-238.3050000000003,-47.66100000000006,47661.0,9.0,11.0
2026-04-10 08:30:00,timed,105.0,21.0,48397.0,1.0,4.0
2026-05-12 08:30:00,timed,275.0,55.0,49731.0,5.0,2.0
2026-06-10 08:30:00,tp,1015.0,203.0,50522.0,7.0,39.0
2026-07-14 08:30:00,tp,1049.979999999996,209.99599999999919,52499.0,4.0,141.0
