et,title,single_entry,worked_entry,entry_delta_usd,single_pnl,worked_pnl,single_outcome,worked_outcome
2024-01-11 08:30:00,Inflation Rate MoM,4828.5,4829.210318285833,35.51591429163636,-241.42499999998108,-241.4605159142866,stopped_post,stopped_post
2024-02-13 08:30:00,Inflation Rate MoM,5025.0,5024.455698136267,-27.215093186669037,-251.2499999999818,-251.222784906804,stopped_post,stopped_post
2024-03-12 08:30:00,Inflation Rate MoM,5198.5,5198.216140454411,-14.192977279435581,-259.9250000000211,-259.91080702274303,stopped_post,stopped_post
2024-04-10 08:30:00,Inflation Rate MoM,5267.5,5272.233142172927,236.65710864634093,-263.37499999999636,-263.61165710864043,stopped_post,stopped_post
2024-05-15 08:30:00,Inflation Rate MoM,5269.75,5270.689281223806,46.964061190283246,1053.9499999999862,1054.137856244779,tp,tp
2024-06-12 08:30:00,Inflation Rate MoM,5389.5,5389.942088091354,22.10440456769902,1387.5,1365.395595432301,tp,tp
2024-07-11 08:30:00,Inflation Rate MoM,5678.5,5680.041558594671,77.07792973355936,1135.699999999997,1136.0083117189333,tp,tp
2024-08-14 08:30:00,Inflation Rate MoM,5461.0,5462.137512100678,56.8756050338834,-273.050000000012,-273.1068756050263,stopped_post,stopped_post
2024-09-11 08:30:00,Inflation Rate MoM,5496.25,5497.446318589025,59.81592945126977,-274.8125000000073,-274.87231592945136,stopped_post,stopped_post
2024-10-10 08:30:00,Inflation Rate MoM,5835.75,5835.294464075383,-22.77679623084623,-291.78750000000946,-291.764723203778,stopped_post,stopped_post
2024-11-13 08:30:00,Inflation Rate MoM,6003.0,6002.838078291815,-8.096085409260922,1200.5999999999858,1200.5676156583831,tp,tp
2024-12-11 08:30:00,Inflation Rate MoM,6054.25,6054.191357027464,-2.9321486268145236,775.0,777.9321486268145,timed,timed
2025-01-15 08:30:00,Inflation Rate MoM,5904.5,5903.408798619825,-54.56006900876673,1180.9000000000196,1180.6817597239842,tp,tp
2025-02-12 08:30:00,Inflation Rate MoM,6092.5,6092.681587531714,9.079376585714272,-304.62499999998727,-304.6340793765921,stopped_post,stopped_post
2025-03-12 08:30:00,Inflation Rate MoM,5624.25,5621.928488739213,-116.07556303933961,1124.850000000015,1124.3856977478572,tp,tp
2025-04-10 08:30:00,Inflation Rate MoM,5379.25,5383.735671486258,224.2835743129035,1787.5,1563.2164256870965,tp,tp
2025-05-13 08:30:00,Inflation Rate MoM,5860.75,5862.273105625718,76.15528128590086,1172.1500000000106,148.84471871409914,tp,timed
2025-06-11 08:30:00,Inflation Rate MoM,6035.5,6038.21871945259,135.93597262952244,1207.0999999999913,1207.6437438905032,tp,tp
2025-07-15 08:30:00,Inflation Rate MoM,6326.25,6327.149790989317,44.9895494658449,275.0,230.0104505341551,timed,timed
2025-08-12 08:30:00,Inflation Rate MoM,6403.5,6403.663275761124,8.163788056208432,1280.699999999979,1280.7326551522237,tp,tp
2025-09-11 08:30:00,Inflation Rate MoM,6553.75,6553.084613068353,-33.26934658234677,-327.6875000000018,-327.65423065343384,stopped_post,stopped_post
2025-10-24 08:30:00,Inflation Rate MoM,6795.0,6795.633937735203,31.69688676016449,1359.0000000000146,1359.1267875470294,tp,tp
2026-01-13 08:30:00,Inflation Rate MoM,7005.75,7006.705947136564,47.79735682818682,1401.150000000007,1401.3411894273304,tp,tp
2026-02-13 08:30:00,Inflation Rate MoM,6836.0,6838.050254722989,102.51273614944694,1367.2000000000025,697.4872638505531,tp,timed
2026-03-11 08:30:00,Inflation Rate MoM,6781.25,6786.063804647499,240.6902323749364,-339.0625,-339.30319023238553,stopped_post,stopped_post
2026-04-10 08:30:00,Inflation Rate MoM,6866.75,6869.196769456681,122.33847283405339,312.5,190.1615271659466,timed,timed
2026-05-12 08:30:00,Inflation Rate MoM,7403.5,7404.620461095101,56.02305475504181,537.5,481.4769452449582,timed,timed
2026-06-10 08:30:00,Inflation Rate MoM,7327.5,7334.370092487731,343.50462438655995,-366.37500000001637,-366.7185046243958,stopped_post,stopped_post
2026-07-14 08:30:00,Inflation Rate MoM,7557.0,7557.948394004283,47.4197002141409,1511.4000000000033,1511.589678800874,tp,tp
