title,et,status
Non Farm Payrolls,2016-01-08 08:30:00,confirmed
Inflation Rate MoM,2016-01-20 08:30:00,confirmed
Fed Interest Rate Decision,2016-01-27 14:00:00,confirmed
Non Farm Payrolls,2016-02-05 08:30:00,confirmed
Inflation Rate MoM,2016-02-19 08:30:00,confirmed
Non Farm Payrolls,2016-03-04 08:30:00,confirmed
Inflation Rate MoM,2016-03-16 08:30:00,confirmed
Fed Interest Rate Decision,2016-03-16 14:00:00,confirmed
Non Farm Payrolls,2016-04-01 08:30:00,confirmed
Inflation Rate MoM,2016-04-14 08:30:00,confirmed
Fed Interest Rate Decision,2016-04-27 14:00:00,confirmed
Non Farm Payrolls,2016-05-06 08:30:00,confirmed
Inflation Rate MoM,2016-05-17 08:30:00,confirmed
Non Farm Payrolls,2016-06-03 08:30:00,confirmed
Fed Interest Rate Decision,2016-06-15 14:00:00,confirmed
Inflation Rate MoM,2016-06-16 08:30:00,confirmed
Non Farm Payrolls,2016-07-08 08:30:00,confirmed
Fed Interest Rate Decision,2016-07-27 14:00:00,confirmed
Non Farm Payrolls,2016-08-05 08:30:00,confirmed
Inflation Rate MoM,2016-08-16 08:30:00,confirmed
Non Farm Payrolls,2016-09-02 08:30:00,confirmed
Inflation Rate MoM,2016-09-16 08:30:00,confirmed
Fed Interest Rate Decision,2016-09-21 14:00:00,confirmed
Non Farm Payrolls,2016-10-07 08:30:00,confirmed
Inflation Rate MoM,2016-10-18 08:30:00,confirmed
Fed Interest Rate Decision,2016-11-02 14:00:00,confirmed
Non Farm Payrolls,2016-11-04 08:30:00,confirmed
Inflation Rate MoM,2016-11-17 08:30:00,confirmed
Non Farm Payrolls,2016-12-02 08:30:00,confirmed
Fed Interest Rate Decision,2016-12-14 14:00:00,confirmed
Inflation Rate MoM,2016-12-15 08:30:00,confirmed
Non Farm Payrolls,2017-01-06 08:30:00,confirmed
Inflation Rate MoM,2017-01-18 08:30:00,confirmed
Fed Interest Rate Decision,2017-02-01 14:00:00,confirmed
Non Farm Payrolls,2017-02-03 08:30:00,confirmed
Inflation Rate MoM,2017-02-15 08:30:00,confirmed
Non Farm Payrolls,2017-03-10 08:30:00,confirmed
Fed Interest Rate Decision,2017-03-15 14:00:00,confirmed
Non Farm Payrolls,2017-04-07 08:30:00,confirmed
Inflation Rate MoM,2017-04-14 08:30:00,confirmed
Fed Interest Rate Decision,2017-05-03 14:00:00,confirmed
Non Farm Payrolls,2017-05-05 08:30:00,confirmed
Non Farm Payrolls,2017-06-02 08:30:00,confirmed
Inflation Rate MoM,2017-06-14 08:30:00,confirmed
Fed Interest Rate Decision,2017-06-14 14:00:00,confirmed
Non Farm Payrolls,2017-07-07 08:30:00,confirmed
Fed Interest Rate Decision,2017-07-26 14:00:00,confirmed
Non Farm Payrolls,2017-08-04 08:30:00,confirmed
Inflation Rate MoM,2017-08-11 08:30:00,confirmed
Non Farm Payrolls,2017-09-01 08:30:00,confirmed
Inflation Rate MoM,2017-09-14 08:30:00,confirmed
Fed Interest Rate Decision,2017-09-20 14:00:00,confirmed
Non Farm Payrolls,2017-10-06 08:30:00,confirmed
Fed Interest Rate Decision,2017-11-01 14:00:00,confirmed
Non Farm Payrolls,2017-11-03 08:30:00,confirmed
Non Farm Payrolls,2017-12-08 08:30:00,confirmed
Inflation Rate MoM,2017-12-13 08:30:00,confirmed
Fed Interest Rate Decision,2017-12-13 14:00:00,confirmed
Non Farm Payrolls,2018-01-05 08:30:00,confirmed
Fed Interest Rate Decision,2018-01-31 14:00:00,confirmed
Non Farm Payrolls,2018-02-02 08:30:00,confirmed
Inflation Rate MoM,2018-02-14 08:30:00,confirmed
Non Farm Payrolls,2018-03-09 08:30:00,confirmed
Inflation Rate MoM,2018-03-13 08:30:00,confirmed
