ticker,company,company_rank,combined_weight_pct,cik,event_et,event_utc,session,form,items,report_date,filing_date,accession,evidence_source,evidence,dev_from_median_min,time_outlier,nq_coverage,time_source,json_et_rejected
AAPL,Apple Inc.,3,10.83,320193,2024-02-01 16:30:30,2024-02-01 21:30:30Z,AMC,8-K,"2.02,9.01",2024-02-01,2024-02-01,0000320193-24-000005,<v1 cached exhibit+body>,"fin:eps,fin:revenue",0.0,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2024-05-02 16:30:34,2024-05-02 20:30:34Z,AMC,8-K,"2.02,9.01",2024-05-02,2024-05-02,0000320193-24-000067,<v1 cached exhibit+body>,"fin:eps,fin:revenue",0.1,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2024-08-01 16:30:26,2024-08-01 20:30:26Z,AMC,8-K,"2.02,9.01",2024-08-01,2024-08-01,0000320193-24-000080,<v1 cached exhibit+body>,"fin:eps,fin:revenue",0.0,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2024-10-31 16:30:25,2024-10-31 20:30:25Z,AMC,8-K,"2.02,9.01",2024-10-31,2024-10-31,0000320193-24-000120,<v1 cached exhibit+body>,"fin:eps,fin:revenue",0.1,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2025-01-30 16:30:23,2025-01-30 21:30:23Z,AMC,8-K,"2.02,9.01",2025-01-30,2025-01-30,0000320193-25-000007,<v1 cached exhibit+body>,"fin:eps,fin:revenue,fin:margin",0.1,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2025-05-01 16:30:21,2025-05-01 20:30:21Z,AMC,8-K,"2.02,9.01",2025-05-01,2025-05-01,0000320193-25-000055,<v1 cached exhibit+body>,"fin:eps,fin:revenue",0.1,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2025-07-31 16:30:25,2025-07-31 20:30:25Z,AMC,8-K,"2.02,9.01",2025-07-31,2025-07-31,0000320193-25-000071,<v1 cached exhibit+body>,"fin:eps,fin:revenue",0.1,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2025-10-30 16:30:35,2025-10-30 20:30:35Z,AMC,8-K,"2.02,9.01",2025-10-30,2025-10-30,0000320193-25-000077,<v1 cached exhibit+body>,"fin:eps,fin:revenue",0.1,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2026-01-29 16:30:33,2026-01-29 21:30:33Z,AMC,8-K,"2.02,9.01",2026-01-29,2026-01-29,0000320193-26-000005,<v1 cached exhibit+body>,"fin:eps,fin:revenue",0.1,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2026-04-30 16:30:41,2026-04-30 20:30:41Z,AMC,8-K,"2.02,9.01",2026-04-30,2026-04-30,0000320193-26-000011,<v1 cached exhibit+body>,"fin:eps,fin:revenue",0.2,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AAPL,Apple Inc.,3,10.83,320193,2026-07-30 16:30:28,2026-07-30 20:30:28Z,AMC,8-K,"2.02,9.01",2026-07-30,2026-07-30,0000320193-26-000018,<v1 cached exhibit+body>,"fin:eps,fin:revenue,fin:margin",0.0,,outside_span,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AMD,Advanced Micro Devices,12,2.02,2488,2024-01-30 16:16:19,2024-01-30 21:16:19Z,AMC,8-K,"2.02,7.01,9.01",2024-01-30,2024-01-30,0000002488-24-000009,amdq423earningsslides.htm|q42023991final.htm,"fin:eps,fin:net_income,fin:revenue,fin:margin,doc:named_earnings",0.2,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AMD,Advanced Micro Devices,12,2.02,2488,2024-04-30 16:16:31,2024-04-30 20:16:31Z,AMC,8-K,"2.02,7.01,9.01",2024-04-30,2024-04-30,0000002488-24-000054,amdq124earningsslides.htm|q12024991.htm,"fin:eps,fin:net_income,fin:revenue,fin:margin,doc:named_earnings",0.0,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AMD,Advanced Micro Devices,12,2.02,2488,2024-07-30 16:17:15,2024-07-30 20:17:15Z,AMC,8-K,"2.02,7.01,9.01",2024-07-30,2024-07-30,0000002488-24-000121,amdq224earningsslides.htm|q22024991.htm,"fin:eps,fin:net_income,fin:revenue,fin:margin,doc:named_earnings",0.7,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AMD,Advanced Micro Devices,12,2.02,2488,2024-10-29 16:16:49,2024-10-29 20:16:49Z,AMC,8-K,"2.02,7.01,9.01",2024-10-29,2024-10-29,0000002488-24-000161,amdq324earningsslides.htm|q32024991.htm,"fin:eps,fin:net_income,fin:revenue,fin:margin,doc:named_earnings",0.3,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
AMD,Advanced Micro Devices,12,2.02,2488,2025-02-04 16:17:17,2025-02-04 21:17:17Z,AMC,8-K,"2.02,7.01,9.01",2025-02-04,2025-02-04,0000002488-25-000009,amdq424earningsslidesfin.htm|q42024991.htm,"fin:eps,fin:net_income,fin:revenue,fin:margin,doc:named_earnings",0.8,,bar_present,EDGAR SGML ACCEPTANCE-DATETIME (Eastern),
