ticker,event_et,session,jump_pct,res_pct,pred
GOOGL,2017-01-26 16:03:43,AMC,0.17462165308498254,0.11641443538998836,0.06910894774601023
MU,2017-03-23 16:01:50,AMC,0.014010835045768727,0.07939473192602278,0.019182050050861064
GOOGL,2017-04-27 16:02:04,AMC,0.16595649248710473,0.2825872432044496,0.08391138957261132
MU,2017-06-29 16:01:25,AMC,0.004417546494676856,0.13253224951404843,0.017760412041559363
GOOGL,2017-07-24 16:01:31,AMC,0.1471825063078217,0.25651808242220353,0.12493394102985803
INTC,2017-07-27 16:06:34,AMC,0.03812913065582105,0.07625503071383181,0.022518914637279647
AVGO,2017-08-24 16:08:36,AMC,0.008559445347941454,0.05991611743559017,0.008404176357952256
MU,2017-09-26 16:00:30,AMC,0.008491847826086956,0.055197010869565216,0.015885623543664046
GOOGL,2017-10-26 16:02:01,AMC,0.07442937479325173,0.7525636784651009,0.1471825063078217
MSFT,2017-10-26 16:04:05,AMC,0.0,0.3708893101458831,0.07660387887008932
INTC,2017-10-26 16:07:05,AMC,0.032950286255611846,0.2800774331727007,0.023519727171164816
AVGO,2017-12-06 16:10:33,AMC,0.04371150407311743,0.08345255126371007,0.008559445347941454
MU,2017-12-19 16:01:11,AMC,0.003845562221196739,0.007691124442393478,0.014010835045768727
INTC,2018-01-25 16:06:34,AMC,0.01443574289941896,0.14797170492276598,0.02823500671338833
AVGO,2018-01-31 08:25:56,BMO,0.003584357862288971,0.0035844863431070324,0.009790882773171609
MSFT,2018-01-31 16:05:57,AMC,0.14358532557972575,0.498959006389547,0.07306603342771029
GOOGL,2018-02-01 16:01:32,AMC,0.1735985533453888,0.014467069333429781,0.11554694794021651
AAPL,2018-02-01 16:30:17,AMC,0.19547511312217195,0.050752220409642924,0.1188230738703484
AVGO,2018-03-15 16:08:03,AMC,0.014149775372315966,0.10966463846044999,0.008559445347941454
MU,2018-03-22 16:01:31,AMC,0.0447878177135819,0.15676321289937295,0.012584218080764419
GOOGL,2018-04-23 16:01:28,AMC,0.06388815814198204,0.20669698222405952,0.1471825063078217
MSFT,2018-04-26 16:04:03,AMC,0.08932559178204555,0.38335566473127886,0.07660387887008932
INTC,2018-04-26 16:05:22,AMC,0.011155734047300312,0.27517477316674105,0.023519727171164816
AAPL,2018-05-01 16:30:17,AMC,0.6912270213719923,0.5491631799163179,0.1202453004128422
AVGO,2018-06-07 16:05:05,AMC,0.020938023450586266,0.08375793955468695,0.009790882773171609
MU,2018-06-20 16:06:34,AMC,0.02052264331645916,0.07182925160760706,0.014010835045768727
MSFT,2018-07-19 16:02:35,AMC,0.027155465037338764,0.06788635823631241,0.08014172431246837
GOOGL,2018-07-23 16:02:07,AMC,0.22687254503589324,0.5688937049202534,0.11554694794021651
META,2018-07-25 16:08:39,AMC,0.0501856870420556,0.17063133594298907,0.03291237890062524
INTC,2018-07-26 16:05:14,AMC,0.0,0.18496721035816377,0.022518914637279647
AAPL,2018-07-31 16:30:20,AMC,0.31316676990845893,0.3752022305600496,0.1516706981657856
MU,2018-09-20 16:00:24,AMC,0.03289040915668991,0.12827259571109065,0.015885623543664046
MSFT,2018-10-24 16:03:06,AMC,0.20078122147994013,0.10221216324742644,0.07660387887008932
GOOGL,2018-10-25 16:01:30,AMC,0.5052841333665445,1.3094687399921716,0.1471825063078217
INTC,2018-10-25 16:08:45,AMC,0.13308873781518651,0.38130868016835134,0.021518102103394478
META,2018-10-30 16:14:19,AMC,0.003668782331144293,0.39618488628026416,0.03396409509946628
AAPL,2018-11-01 16:30:21,AMC,0.6358177322500883,0.7312162209897912,0.18309609591872897
MU,2018-12-18 16:00:39,AMC,0.1381904725346436,0.7753128118523068,0.017760412041559363
AAPL,2019-01-02 16:30:03,AMC,0.0786503598253962,1.817111459968603,0.18928560452045046
NFLX,2019-01-17 16:08:07,AMC,0.00744130669345537,0.10789493265867996,0.027848187638552777
INTC,2019-01-24 16:06:44,AMC,0.022463496817671284,0.003743916136278547,0.022518914637279647
AAPL,2019-01-29 16:30:18,AMC,0.35019015702074785,0.43664834751185727,0.18309609591872897
MSFT,2019-01-30 16:03:36,AMC,0.07360518180479907,0.5668016194331984,0.08014172431246837
AMZN,2019-01-31 16:30:02,AMC,0.07240081088908196,0.11564871702204554,0.0188541404595536
GOOGL,2019-02-04 16:01:19,AMC,0.007178750897343863,0.25125628140703515,0.15656949939746323
MU,2019-03-20 16:00:37,AMC,0.03372226343832198,0.11128722220348701,0.019141527679009264
NFLX,2019-04-16 16:07:16,AMC,0.026077319251580938,0.09127359259379991,0.027487630566245192
MSFT,2019-04-24 16:04:03,AMC,0.015980056889002524,0.22692406034262336,0.07687345305863372
META,2019-04-24 16:09:20,AMC,0.041438225168940454,0.08287380868900009,0.03291237890062524
INTC,2019-04-25 16:05:00,AMC,0.06393453104021482,0.13105740953842218,0.022463496817671284
AMZN,2019-04-25 16:10:54,AMC,0.028815675727595812,0.028816598360655737,0.020582060675914872
GOOGL,2019-04-29 16:01:22,AMC,0.03818980332251289,0.5505696645662275,0.1471825063078217
AAPL,2019-04-30 16:30:16,AMC,0.5282028298866764,0.49622230759380204,0.18928560452045046
MU,2019-06-25 16:01:09,AMC,0.026220051784602277,0.04916259709612927,0.02052264331645916
NFLX,2019-07-17 16:40:15,AMC,0.003172790151659369,0.12056985119142051,0.026782474908913063
MSFT,2019-07-18 16:03:33,AMC,0.10094318791205326,0.17980505346834483,0.07360518180479907
TSLA,2019-07-24 16:56:43,AMC,0.012487122654762275,0.0,0.011095955845676096
GOOGL,2019-07-25 16:01:22,AMC,0.16354258397282675,0.42143665869920743,0.11554694794021651
INTC,2019-07-25 16:10:16,AMC,0.06574210312118461,0.015652881695520145,0.02299161199441805
AMZN,2019-07-25 16:33:27,AMC,0.009394375900294358,0.059499577239845926,0.02469886820175534
AAPL,2019-07-30 16:30:36,AMC,0.22299695342190398,0.23864849588645354,0.19547511312217195
MU,2019-09-26 16:00:32,AMC,0.051333055279283904,0.10266611055856781,0.020563165688310965
NFLX,2019-10-16 16:39:04,AMC,0.0,0.015724259387382856,0.026077319251580938
MSFT,2019-10-23 16:06:06,AMC,0.018980734554427257,0.04112362394027585,0.07687345305863372
INTC,2019-10-24 16:08:49,AMC,0.0378000378000378,0.126000126000126,0.023519727171164816
AMZN,2019-10-24 19:53:55,AMC,0.003156366391010668,0.01893760060600322,0.020582060675914872
GOOGL,2019-10-28 16:03:38,AMC,0.1662971175166297,0.17861542251786156,0.1471825063078217
META,2019-10-30 16:13:02,AMC,0.006164848036495901,0.10479918626514194,0.03396409509946628
AAPL,2019-10-30 16:30:40,AMC,0.2342136891737804,0.12020342117429496,0.20923603327203796
AVGO,2019-12-12 16:39:14,AMC,0.011805330106543103,0.005902490851139181,0.011022320198401764
NFLX,2019-12-16 16:09:23,AMC,0.011623514369569639,0.08427047917937988,0.025079598819047543
MU,2019-12-18 16:00:40,AMC,0.002902757619738752,0.11030478955007257,0.02060368806016277
NFLX,2020-01-21 16:03:07,AMC,0.04629503553824787,0.06263275420728719,0.024081878386514148
INTC,2020-01-23 16:07:34,AMC,0.037841928857173746,0.0027029949183695534,0.02823500671338833
AAPL,2020-01-28 16:30:40,AMC,0.1593143987254848,0.23342029383495813,0.22299695342190398
MSFT,2020-01-29 16:03:50,AMC,0.14543658416113275,0.23874207623281468,0.07360518180479907
META,2020-01-29 16:10:08,AMC,0.013747594171020073,0.01649620587264929,0.03291237890062524
AMZN,2020-01-30 16:46:49,AMC,0.008123036932741254,0.13808788887986354,0.0188541404595536
GOOGL,2020-02-03 16:02:04,AMC,0.15887799265874103,0.2164087111354609,0.15536254514032422
MU,2020-03-25 16:00:49,AMC,0.22444057349591318,0.1507487186358916,0.020563165688310965
NFLX,2020-04-21 16:02:36,AMC,0.008900228439196606,0.0029667428130655355,0.025079598819047543
INTC,2020-04-23 16:07:24,AMC,0.09573819954161711,0.24080306371126842,0.032950286255611846
GOOGL,2020-04-28 16:01:47,AMC,0.06343165239454487,0.3632694248234107,0.15887799265874103
MSFT,2020-04-29 16:03:54,AMC,0.21394237448250952,0.9029282658220814,0.07687345305863372
META,2020-04-29 16:10:26,AMC,0.07219013771657042,1.0912422946631866,0.0318606627017842
TSLA,2020-04-29 16:56:22,AMC,0.005491035883919501,0.23612750885478156,0.011607661056297156
