i,ref_month,release,tv_actual,tv_forecast,tv_previous,prev_pit,prev_first,prev_today,first,current,revision,prior_actual
0,2015-12-01,2016-01-20 08:30:00,-0.1,0.0,0.0,0.028986481377235584,,0.11946174910508756,-0.11087266022988818,-0.10755534268560574,0.0033173175442824387,
1,2016-01-01,2016-02-19 08:30:00,0.0,-0.1,-0.1,-0.10952488858675391,-0.11087266022988818,-0.10755534268560574,0.027726316054788036,-0.04584435630738959,-0.07357067236217762,-0.1
2,2016-02-01,2016-03-16 08:30:00,-0.2,-0.2,0.0,0.027726316054788036,0.027726316054788036,-0.04584435630738959,-0.16799170120995743,-0.13296753235823022,0.03502416885172721,0.0
3,2016-03-01,2016-04-14 08:30:00,0.1,0.2,-0.2,-0.16799170120995743,-0.16799170120995743,-0.13296753235823022,0.08960611172577071,0.31347962382444194,0.22387351209867123,-0.2
4,2016-04-01,2016-05-17 08:30:00,0.4,0.3,0.1,0.08960611172577071,0.08960611172577071,0.31347962382444194,0.4077000672495057,0.38306451612901693,-0.024635551120488763,0.1
5,2016-05-01,2016-06-16 08:30:00,0.2,0.3,0.4,0.4077000672495057,0.4077000672495057,0.38306451612901693,0.2176734061702046,0.23640958693178504,0.018736180761580457,0.4
6,2016-06-01,2016-07-15 08:30:00,0.2,0.3,0.2,0.2176734061702046,0.2176734061702046,0.23640958693178504,0.21594753769682562,0.2775957287827202,0.06164819108589459,0.2
7,2016-07-01,2016-08-16 08:30:00,0.0,0.0,0.2,0.21594753769682562,0.21594753769682562,0.2775957287827202,-0.04126255069250018,-0.05037007434789409,-0.009107523655393912,0.2
8,2016-08-01,2016-09-16 08:30:00,0.2,0.1,0.0,-0.04126255069250018,-0.04126255069250018,-0.05037007434789409,0.1988925396534169,0.18492217858316895,-0.01397036107024796,0.0
9,2016-09-01,2016-10-18 08:30:00,0.3,0.3,0.2,0.20474542346022861,0.1988925396534169,0.18492217858316895,0.29171747100511514,0.26232097944252075,-0.029396491562594385,0.2
10,2016-10-01,2016-11-17 08:30:00,0.4,0.4,0.3,0.29171747100511514,0.29171747100511514,0.26232097944252075,0.3572584459879957,0.23426874979268764,-0.12298969619530808,0.3
11,2016-11-01,2016-12-15 08:30:00,0.2,0.2,0.4,0.3572584459879957,0.3572584459879957,0.23426874979268764,0.2005267444793235,0.11789477167711837,-0.08263197280220513,0.4
12,2016-12-01,2017-01-18 08:30:00,0.3,0.3,0.2,0.2005267444793235,0.2005267444793235,0.11789477167711837,0.28223876409130266,0.2524522158776188,-0.029786548213683872,0.2
13,2017-01-01,2017-02-15 08:30:00,0.6,0.3,0.3,0.2568136119472042,0.28223876409130266,0.2524522158776188,0.5506113556899894,0.4043076694815628,-0.1463036862084266,0.3
