i,ref_month,release,tv_actual,tv_forecast,tv_previous,prev_pit,prev_first,prev_today,first,current,revision,prior_actual
0,2015-12-01,2016-01-28 08:30:00,-5.1,-0.6,-0.5,-0.4915786253399723,,-0.9703465965026914,-5.063888210372047,-3.008661771851695,2.0552264385203523,
1,2016-01-01,2016-02-25 08:30:00,4.9,2.9,-4.6,-4.62591625242228,-5.063888210372047,-3.008661771851695,4.887830776637703,5.245208438663429,0.3573776620257263,-5.1
2,2016-02-01,2016-03-24 08:30:00,-2.8,-2.9,4.2,4.209089583949899,4.887830776637703,5.245208438663429,-2.7789081044421793,-5.323562550768179,-2.544654446326,4.9
3,2016-03-01,2016-04-26 08:30:00,0.8,1.8,-3.1,-3.0660477251357454,-2.7789081044421793,-5.323562550768179,0.7812534136142579,0.7361895272888219,-0.04506388632543601,-2.8
4,2016-04-01,2016-05-26 08:30:00,3.4,0.5,1.9,1.874322231692993,0.7812534136142579,0.7361895272888219,3.3559516560730085,5.242504166895623,1.8865525108226144,0.8
5,2016-05-01,2016-06-24 08:30:00,-2.2,-0.5,3.3,3.270036192718573,3.3559516560730085,5.242504166895623,-2.2333252814964566,-2.923811222736117,-0.6904859412396602,3.4
6,2016-06-01,2016-07-27 08:30:00,-4.0,-1.1,-2.8,-2.848610056463141,-2.2333252814964566,-2.923811222736117,-4.0434209262315886,-7.263901899003667,-3.2204809727720782,-2.2
7,2016-07-01,2016-08-25 08:30:00,4.4,3.3,-4.2,-4.189190960856893,-4.0434209262315886,-7.263901899003667,4.407478528195008,4.468126238461156,0.06064771026614846,-4.0
8,2016-08-01,2016-09-28 08:30:00,0.0,-1.4,3.6,3.636986145032073,4.407478528195008,4.468126238461156,-0.03744130524795386,0.6610996738451558,0.6985409790931096,4.4
9,2016-09-01,2016-10-27 08:30:00,-0.1,0.1,0.3,0.2683434090628767,-0.03744130524795386,0.6610996738451558,-0.12260664361016804,-0.08640341201558988,0.03620323159457817,0.0
10,2016-10-01,2016-11-23 08:30:00,4.8,1.5,0.4,0.40093199103179433,-0.12260664361016804,-0.08640341201558988,4.809923724286502,7.389740381607757,2.5798166573212544,-0.1
11,2016-11-01,2016-12-22 08:30:00,-4.6,-4.7,4.8,4.805349599481157,4.809923724286502,7.389740381607757,-4.5988209223564835,-7.327990542317564,-2.7291696199610804,4.8
12,2016-12-01,2017-01-27 08:30:00,-0.4,2.6,-4.8,-4.8190205819730325,-4.5988209223564835,-7.327990542317564,-0.42502423383788956,1.4661224942570605,1.89114672809495,-4.6
13,2017-01-01,2017-02-27 08:30:00,1.8,1.7,-0.8,-0.821238255504142,-0.42502423383788956,1.4661224942570605,1.7833314186233462,-0.11297118779182158,-1.8963026064151678,-0.4
14,2017-02-01,2017-03-24 08:30:00,1.7,1.2,2.3,2.3364671873549625,1.7833314186233462,-0.11297118779182158,1.667638483965006,1.0201708341504023,-0.6474676498146037,1.8
15,2017-03-01,2017-04-27 08:30:00,0.7,1.2,2.3,2.301166764472362,1.667638483965006,1.0201708341504023,0.6866735558976655,0.645557391406415,-0.04111616449125055,1.7
16,2017-04-01,2017-05-26 08:30:00,-0.7,-1.2,2.3,2.3186392392541944,0.6866735558976655,0.645557391406415,-0.6732979569037734,0.5409430170805196,1.214240973984293,0.7
17,2017-05-01,2017-06-26 08:30:00,-1.1,-0.6,-0.9,-0.9183178204340781,-0.6732979569037734,0.5409430170805196,-1.0833235795195906,-0.8289092125808639,0.25441436693872665,-0.7
18,2017-06-01,2017-07-27 08:30:00,6.5,3.0,-0.1,-0.1307438546059081,-1.0833235795195906,-0.8289092125808639,6.452116314958989,6.607525237075551,0.1554089221165622,-1.1
19,2017-07-01,2017-08-25 08:30:00,-6.8,-6.0,6.4,6.446557218065951,6.452116314958989,6.607525237075551,-6.794351394662135,-8.119250569668324,-1.3248991750061894,6.5
20,2017-08-01,2017-09-27 08:30:00,1.7,1.0,-6.8,-6.83543273437659,-6.794351394662135,-8.119250569668324,1.6984841203966594,1.6409554558439288,-0.057528664552730646,-6.8
21,2017-09-01,2017-10-25 08:30:00,2.2,1.0,2.0,2.0351033491861736,1.6984841203966594,1.6409554558439288,2.163147735200588,3.3753253325621735,1.2121775973615856,1.7
22,2017-10-01,2017-11-22 08:30:00,-1.2,0.3,2.2,2.184340354885772,2.163147735200588,3.3753253325621735,-1.1758104633731725,-0.19625669851649485,0.9795537648566777,2.2
23,2017-11-01,2017-12-22 08:30:00,1.3,2.0,-0.4,-0.4416809784675291,-1.1758104633731725,-0.19625669851649485,1.3019609159895307,0.8329939167794453,-0.46896699921008533,-1.2
24,2017-12-01,2018-01-26 08:30:00,2.9,0.8,1.7,1.7253822527315776,1.3019609159895307,0.8329939167794453,2.8923097229784256,4.984472386909022,2.092162663930597,1.3
25,2018-01-01,2018-02-27 08:30:00,-3.7,-2.0,2.6,2.6451993384939643,2.8923097229784256,4.984472386909022,-3.6831384019510582,-5.581872566825674,-1.8987341648746159,2.9
26,2018-02-01,2018-03-23 08:30:00,3.1,1.5,-3.5,-3.5323828528066703,-3.6831384019510582,-5.581872566825674,3.1002751083160973,3.825711268562215,0.7254361602461179,-3.7
27,2018-03-01,2018-04-26 08:30:00,2.6,1.6,3.5,3.531518773818698,3.1002751083160973,3.825711268562215,2.5638240523948586,3.1200675247942566,0.5562434723993981,3.1
28,2018-04-01,2018-05-25 08:30:00,-1.7,-1.4,2.7,2.698352700181683,2.5638240523948586,3.1200675247942566,-1.655070880725662,-0.19276181433476314,1.4623090663908989,2.6
29,2018-05-01,2018-06-27 08:30:00,-0.6,-1.0,-1.0,-1.025083082766265,-1.655070880725662,-0.19276181433476314,-0.5652179126910184,-0.2886760267681421,0.2765418859228763,-1.7
30,2018-06-01,2018-07-26 08:30:00,1.0,3.0,-0.3,-0.2826767529357177,-0.5652179126910184,-0.2886760267681421,0.9951804716882728,0.2508553757073262,-0.7443250959809466,-0.6
31,2018-07-01,2018-08-24 08:30:00,-1.7,-0.5,0.7,0.8417076359203524,0.9951804716882728,0.2508553757073262,-1.8375730197675244,-3.2783926359228444,-1.44081961615532,1.0
32,2018-08-01,2018-09-27 08:30:00,4.5,2.0,-1.2,-1.1809192084262787,-1.8375730197675244,-3.2783926359228444,4.451391990471931,4.186423282128704,-0.2649687083432273,-1.7
33,2018-09-01,2018-10-25 08:30:00,0.8,-1.0,4.6,4.649375832257174,4.451391990471931,4.186423282128704,0.7573194734899813,0.9362647919660239,0.17894531847604256,4.5
34,2018-10-01,2018-11-21 08:30:00,-4.4,-2.5,-0.1,-0.07993144341583713,0.7573194734899813,0.9362647919660239,-4.4208987943003315,-3.6514395641179753,0.7694592301823562,0.8
35,2018-11-01,2018-12-21 08:30:00,0.8,1.6,-4.3,-4.319734950687604,-4.4208987943003315,-3.6514395641179753,0.758418729086241,-1.2444381192366794,-2.0028568483229203,-4.4
36,2018-12-01,2019-02-21 08:30:00,1.2,1.5,1.0,1.0146819578621846,0.758418729086241,-1.2444381192366794,1.1826413383650536,3.166617216971135,1.9839758786060813,0.8
37,2019-01-01,2019-03-13 08:30:00,0.4,-0.5,1.3,1.2675310612785928,1.1826413383650536,3.166617216971135,0.3506551196826857,-2.9667092575626275,-3.317364377245313,1.2
38,2019-02-01,2019-04-02 08:30:00,-1.6,-1.8,0.1,0.11475777071239257,0.3506551196826857,-2.9667092575626275,-1.6346014186958469,-1.8926242696248652,-0.25802285092901833,0.4
39,2019-03-01,2019-04-25 08:30:00,2.7,0.8,-1.1,-1.1407277096700752,-1.6346014186958469,-1.8926242696248652,2.6879093729270664,3.7784299339691962,1.0905205610421298,-1.6
40,2019-04-01,2019-05-24 08:30:00,-2.1,-2.0,1.7,1.680096486342464,2.6879093729270664,3.7784299339691962,-2.1149738731567336,-3.2108622876510062,-1.0958884144942727,2.7
41,2019-05-01,2019-06-26 08:30:00,-1.3,-0.1,-2.8,-2.8128619491478712,-2.1149738731567336,-3.2108622876510062,-1.3486343405190282,-3.514161482143474,-2.165527141624446,-2.1
42,2019-06-01,2019-07-25 08:30:00,2.0,0.7,-2.3,-2.2635021430685853,-1.3486343405190282,-3.514161482143474,2.0458288905392363,0.1447242446507735,-1.9011046458884628,-1.3
43,2019-07-01,2019-08-26 08:30:00,2.1,1.2,1.8,1.8371014805560248,2.0458288905392363,0.1447242446507735,2.050548402479735,1.8079950197874561,-0.24255338269227877,2.0
44,2019-08-01,2019-09-27 08:30:00,0.2,-1.0,2.0,2.0327772589925353,2.050548402479735,1.8079950197874561,0.181443233046652,0.6110344345638508,0.42959120151719876,2.1
45,2019-09-01,2019-10-24 08:30:00,-1.1,-0.8,0.3,0.26884727237863615,0.181443233046652,0.6110344345638508,-1.1302743813769611,-1.5471771830435577,-0.41690280166659655,0.2
46,2019-10-01,2019-11-27 08:30:00,0.6,-0.8,-1.4,-1.3831446199742303,-1.1302743813769611,-1.5471771830435577,0.5989525407963159,-0.2526555286585408,-0.8516080694548567,-1.1
47,2019-11-01,2019-12-23 08:30:00,-2.0,1.5,0.2,0.23071412091848487,0.5989525407963159,-0.2526555286585408,-2.020764934640129,-3.314943992078434,-1.294179057438305,0.6
48,2019-12-01,2020-01-28 08:30:00,2.4,0.4,-3.1,-3.0851674331762613,-2.020764934640129,-3.314943992078434,2.366893514811852,1.621258326894326,-0.745635187917526,-2.0
49,2020-01-01,2020-02-27 08:30:00,-0.2,-1.5,2.9,2.88505660818128,2.366893514811852,1.621258326894326,-0.1763747090830936,5.124963444536923,5.301338153620017,2.4
50,2020-02-01,2020-03-25 08:30:00,1.2,-0.8,0.1,0.06737696600709331,-0.1763747090830936,5.124963444536923,1.1632953545252178,2.867035299756915,1.703739945231697,-0.2
51,2020-03-01,2020-04-24 08:30:00,-14.4,-11.9,1.1,1.0581688689882407,1.1632953545252178,2.867035299756915,-14.441318473152542,-14.830147074119527,-0.3888286009669848,1.2
52,2020-04-01,2020-05-28 08:30:00,-17.2,-19.0,-16.6,-16.592538434980398,-14.441318473152542,-14.830147074119527,-17.229053544035644,-19.317082702359436,-2.088029158323792,-14.4
53,2020-05-01,2020-06-25 08:30:00,15.8,10.9,-18.1,-18.139205931128664,-17.229053544035644,-19.317082702359436,15.842126901466358,11.655546541055672,-4.1865803604106855,-17.2
54,2020-06-01,2020-07-27 08:30:00,7.3,7.0,15.1,15.140117729937552,15.842126901466358,11.655546541055672,7.264779998133375,9.955698227386844,2.6909182292534686,15.8
55,2020-07-01,2020-08-26 08:30:00,11.2,4.3,7.7,7.710599413307029,7.264779998133375,9.955698227386844,11.1908067252815,10.342888986423503,-0.8479177388579959,7.3
56,2020-08-01,2020-09-25 08:30:00,0.4,1.5,11.7,11.728216547615599,11.1908067252815,10.342888986423503,0.4460607315568632,1.3953072625698226,0.9492465310129594,11.2
57,2020-09-01,2020-10-27 08:30:00,1.9,0.5,0.4,0.3578912872875373,0.4460607315568632,1.3953072625698226,1.853108995290964,1.5907648365598215,-0.2623441587311426,0.4
58,2020-10-01,2020-11-25 08:30:00,1.3,0.9,2.1,2.068405936470996,1.853108995290964,1.5907648365598215,1.2693952917127493,2.5412073012526015,1.2718120095398522,1.9
59,2020-11-01,2020-12-23 08:30:00,0.9,0.6,1.8,1.7734433482206713,1.2693952917127493,2.5412073012526015,0.8917244827543414,0.32876642774331,-0.5629580550110314,1.3
60,2020-12-01,2021-01-27 08:30:00,0.2,0.9,1.2,1.172665614751045,0.8917244827543414,0.32876642774331,0.15840808044518262,1.9817388187166607,1.823330738271478,0.9
61,2021-01-01,2021-02-25 08:30:00,3.4,1.1,1.2,1.171879778345919,0.15840808044518262,1.9817388187166607,3.4084176671865807,3.359193429660823,-0.049224237525757886,0.2
62,2021-02-01,2021-03-24 08:30:00,-1.1,0.8,3.5,3.479160877462184,3.4084176671865807,3.359193429660823,-1.144987662777397,0.595750129032524,1.740737791809921,3.4
63,2021-03-01,2021-04-26 08:30:00,0.5,2.5,-0.9,-0.9030407165237397,-1.144987662777397,0.595750129032524,0.5480172133109029,0.9462028588928861,0.3981856455819832,-1.1
64,2021-04-01,2021-05-27 08:30:00,-1.3,0.7,1.3,1.2604513097892012,0.5480172133109029,0.9462028588928861,-1.2868686463617607,-0.4696518981107567,0.817216748251004,0.5
65,2021-05-01,2021-06-24 08:30:00,2.3,2.8,-0.8,-0.7584169449265876,-1.2868686463617607,-0.4696518981107567,2.32172069069978,0.1567615285040791,-2.164959162195701,-1.3
66,2021-06-01,2021-07-27 08:30:00,0.8,2.1,3.2,3.1787566022193126,2.32172069069978,0.1567615285040791,0.8261713552184524,2.084906070535042,1.2587347153165895,2.3
67,2021-07-01,2021-08-25 08:30:00,-0.1,-0.3,0.8,0.7991265179294826,0.8261713552184524,2.084906070535042,-0.1413202573271044,0.43827724520295597,0.5795975025300604,0.8
68,2021-08-01,2021-09-27 08:30:00,1.8,0.7,0.5,0.4610673631836981,-0.1413202573271044,0.43827724520295597,1.7921506967328638,1.8776790945816746,0.08552839784881083,-0.1
69,2021-09-01,2021-10-27 08:30:00,-0.4,-1.1,1.3,1.3293618599476087,1.7921506967328638,1.8776790945816746,-0.38088048587997525,-1.9278284592128991,-1.5469479733329239,1.8
70,2021-10-01,2021-11-24 08:30:00,-0.5,0.2,-0.4,-0.391892252503645,-0.38088048587997525,-1.9278284592128991,-0.4600270198898526,1.6752060248773182,2.135233044767171,-0.4
71,2021-11-01,2021-12-23 08:30:00,2.5,1.6,0.1,0.14577984564936308,-0.4600270198898526,1.6752060248773182,2.4899325269166495,1.9413054861991297,-0.5486270407175198,-0.5
72,2021-12-01,2022-01-27 08:30:00,-0.9,-0.5,3.2,3.1880425479887453,2.4899325269166495,1.9413054861991297,-0.9045735951894285,3.2894100130280934,4.193983608217522,2.5
73,2022-01-01,2022-02-25 08:30:00,1.6,0.8,1.2,1.170571658167896,-0.9045735951894285,3.2894100130280934,1.5574670571010252,1.2389769610828605,-0.3184900960181647,-0.9
74,2022-02-01,2022-03-24 08:30:00,-2.2,-0.5,1.6,1.5661535196372922,1.5574670571010252,1.2389769610828605,-2.1793407575271706,-1.3843552549612892,0.7949855025658814,1.6
75,2022-03-01,2022-04-26 08:30:00,0.8,1.0,-1.7,-1.7197016108688623,-2.1793407575271706,-1.3843552549612892,0.8415286119727972,0.18697930954820752,-0.6545493024245896,-2.2
76,2022-04-01,2022-05-25 08:30:00,0.4,0.6,0.6,0.6320144460444821,0.8415286119727972,0.18697930954820752,0.4440608283835523,0.5775452704698925,0.13348444208634014,0.8
77,2022-05-01,2022-06-27 08:30:00,0.7,0.1,0.4,0.3844727501154166,0.4440608283835523,0.5775452704698925,0.726795690493609,-0.14937830683092734,-0.8761739973245364,0.4
