i,ref_month,release,tv_actual,tv_forecast,tv_previous,prev_pit,prev_first,prev_today,first,current,revision,prior_actual
0,2015-12-01,2016-01-08 08:30:00,292.0,200.0,252.0,252.0,246.0,229.0,292.0,269.0,-23.0,
1,2016-01-01,2016-02-05 08:30:00,151.0,190.0,262.0,262.0,292.0,269.0,151.0,133.0,-18.0,292.0
2,2016-02-01,2016-03-04 08:30:00,242.0,190.0,172.0,172.0,151.0,133.0,242.0,196.0,-46.0,151.0
3,2016-03-01,2016-04-01 08:30:00,215.0,205.0,245.0,245.0,242.0,196.0,215.0,256.0,41.0,242.0
4,2016-04-01,2016-05-06 08:30:00,160.0,202.0,208.0,208.0,215.0,256.0,160.0,192.0,32.0,215.0
5,2016-05-01,2016-06-03 08:30:00,38.0,164.0,123.0,123.0,160.0,192.0,38.0,46.0,8.0,160.0
6,2016-06-01,2016-07-08 08:30:00,287.0,175.0,11.0,11.0,38.0,46.0,287.0,247.0,-40.0,38.0
7,2016-07-01,2016-08-05 08:30:00,255.0,180.0,292.0,292.0,287.0,247.0,255.0,373.0,118.0,287.0
8,2016-08-01,2016-09-02 08:30:00,151.0,180.0,275.0,275.0,255.0,373.0,151.0,141.0,-10.0,255.0
9,2016-09-01,2016-10-07 08:30:00,156.0,175.0,167.0,167.0,151.0,141.0,156.0,306.0,150.0,151.0
10,2016-10-01,2016-11-04 08:30:00,161.0,175.0,191.0,191.0,156.0,306.0,161.0,98.0,-63.0,156.0
11,2016-11-01,2016-12-02 08:30:00,178.0,175.0,142.0,142.0,161.0,98.0,178.0,118.0,-60.0,161.0
12,2016-12-01,2017-01-06 08:30:00,156.0,178.0,204.0,204.0,178.0,118.0,156.0,225.0,69.0,178.0
13,2017-01-01,2017-02-03 08:30:00,227.0,175.0,157.0,157.0,156.0,225.0,227.0,220.0,-7.0,156.0
14,2017-02-01,2017-03-10 08:30:00,235.0,190.0,238.0,238.0,227.0,220.0,235.0,218.0,-17.0,227.0
15,2017-03-01,2017-04-07 08:30:00,98.0,180.0,219.0,219.0,235.0,218.0,98.0,124.0,26.0,235.0
16,2017-04-01,2017-05-05 08:30:00,211.0,185.0,79.0,79.0,98.0,124.0,211.0,205.0,-6.0,98.0
17,2017-05-01,2017-06-02 08:30:00,138.0,185.0,174.0,174.0,211.0,205.0,138.0,205.0,67.0,211.0
