et,diff,inst
2016-01-08 08:30:00,0.0,NQ
2016-01-20 08:30:00,0.0,NQ
2016-01-20 08:30:00,0.0,YM
2016-01-20 08:30:00,0.0,ES
2016-01-27 14:00:00,0.0,NQ
2016-02-05 08:30:00,0.0,NQ
2016-02-19 08:30:00,0.0,NQ
2016-02-19 08:30:00,0.0,ES
2016-02-19 08:30:00,0.0,YM
2016-03-04 08:30:00,0.0,NQ
2016-03-16 08:30:00,0.0,ES
2016-03-16 08:30:00,0.0,YM
2016-03-16 08:30:00,0.0,NQ
2016-03-16 14:00:00,0.0,NQ
2016-04-01 08:30:00,0.0,NQ
2016-04-14 08:30:00,0.0,ES
2016-04-14 08:30:00,0.0,NQ
2016-04-14 08:30:00,0.0,YM
2016-04-27 14:00:00,0.0,NQ
2016-05-06 08:30:00,0.0,NQ
2016-05-17 08:30:00,0.0,YM
2016-05-17 08:30:00,0.0,ES
2016-05-17 08:30:00,0.0,NQ
2016-06-03 08:30:00,0.0,NQ
2016-06-15 14:00:00,0.0,NQ
2016-06-16 08:30:00,0.0,ES
2016-06-16 08:30:00,0.0,NQ
2016-06-16 08:30:00,0.0,YM
2016-07-08 08:30:00,0.0,NQ
2016-07-27 14:00:00,0.0,NQ
2016-08-05 08:30:00,0.0,NQ
2016-08-16 08:30:00,0.0,NQ
2016-08-16 08:30:00,0.0,YM
2016-08-16 08:30:00,0.0,ES
2016-09-02 08:30:00,0.0,NQ
2016-09-16 08:30:00,0.0,YM
2016-09-16 08:30:00,0.0,NQ
2016-09-16 08:30:00,0.0,ES
2016-09-21 14:00:00,0.0,NQ
2016-10-07 08:30:00,0.0,NQ
2016-10-18 08:30:00,0.0,ES
2016-10-18 08:30:00,0.0,NQ
2016-10-18 08:30:00,0.0,YM
2016-11-02 14:00:00,0.0,NQ
2016-11-04 08:30:00,0.0,NQ
2016-11-17 08:30:00,0.0,ES
2016-11-17 08:30:00,0.0,NQ
2016-11-17 08:30:00,0.0,YM
2016-12-02 08:30:00,0.0,NQ
