anchor_series,n_moments,n_signatures,top_utc_time,max_block
Redbook YoY,556,4,12:55,3
4-Week Bill Auction,556,21,15:30,15
3-Month Bill Auction,556,18,15:30,5
EIA Natural Gas Stocks Change,555,20,14:30,3
MBA 30-Year Mortgage Rate,546,4,11:00,6
Baker Hughes Oil Rig Count,508,26,17:00,4
Initial Jobless Claims,438,112,12:30,19
Fed Williams Speech,272,35,14:00,8
Fed Bostic Speech,247,36,17:00,7
17-Week Bill Auction,196,6,15:30,3
Fed Kashkari Speech,155,24,18:00,7
15-Year Mortgage Rate,154,13,16:00,9
Fed Evans Speech,137,21,14:00,7
NFIB Business Optimism Index,128,1,10:00,1
Chicago PMI,128,1,13:45,1
Challenger Job Cuts,128,1,11:30,1
Consumer Credit Change,126,4,19:00,2
Dallas Fed Manufacturing Index,126,10,14:30,2
ADP Employment Change,126,1,12:15,1
Foreign Bond Investment,126,2,21:00,4
Industrial Production YoY,126,5,13:15,6
House Price Index MoM,125,8,13:00,5
30-Year Bond Auction,124,5,17:00,2
Factory Orders MoM,123,18,14:00,9
Construction Spending MoM,123,13,14:00,11
Business Inventories MoM,123,27,14:00,8
Wholesale Inventories MoM,122,15,14:00,7
Monthly Budget Statement,121,7,18:00,3
7-Year Note Auction,120,7,17:00,2
Fed Mester Speech,119,13,17:00,9
Kansas Fed Manufacturing Index,117,4,16:00,3
CB Leading Index MoM,115,13,14:00,8
Total Vehicle Sales,115,7,15:00,6
Fed Balance Sheet,112,2,20:30,2
Pending Home Sales MoM,112,9,14:00,8
WASDE Report,111,6,17:00,4
Fed Bullard Speech,110,8,13:45,4
Consumer Inflation Expectations,109,1,15:00,1
3-Year Note Auction,108,6,17:00,2
10-Year Note Auction,108,3,17:00,2
CB Consumer Confidence,108,17,14:00,6
Fed Kaplan Speech,108,4,18:00,3
Fed Bowman Speech,105,10,17:00,4
52-Week Bill Auction,102,12,18:00,3
5-Year Note Auction,100,10,17:00,3
Fed Harker Speech,99,9,15:00,6
Fed Barkin Speech,98,9,13:00,6
Fed Chair Powell Speech,97,4,17:00,2
2-Year Note Auction,92,8,17:00,3
Fed Daly Speech,91,9,17:00,2
JOLTs Job Openings,90,24,14:00,11
Michigan Consumer Sentiment Final,89,7,14:00,11
Chicago Fed National Activity Index,89,4,12:30,8
Fed Waller Speech,88,5,13:00,3
Existing Home Sales,86,9,14:00,7
New Home Sales,84,12,14:00,8
42-Day Bill Auction,84,5,15:30,2
Personal Spending MoM,83,10,12:30,12
Michigan Consumer Sentiment Prel,79,9,14:00,11
FOMC Minutes,79,1,18:00,1
Housing Starts,77,4,12:30,5
Markit Manufacturing PMI Final,75,1,13:45,1
Markit Manufacturing PMI Flash,74,2,13:45,3
