et,pnl_usd,outcome,entry,exit_price,exit_s,block
2016-01-08 08:30:00,-109.80999999999312,stopped_post,1098.1,1097.0019,1.0,DEPLOYED-SET
2016-01-20 08:30:00,379.99999999999545,timed,1099.0,1102.8,900.0,DEPLOYED-SET
2016-01-27 14:00:00,446.1999999999989,tp,1115.5,1119.962,391.0,DEPLOYED-SET
2016-02-05 08:30:00,-115.93000000000302,stopped_pre,1159.3,1158.1407,-57.0,DEPLOYED-SET
2016-02-19 08:30:00,-122.83999999999651,stopped_post,1228.4,1227.1716000000001,1.0,DEPLOYED-SET
2016-03-04 08:30:00,-126.09999999999673,stopped_post,1261.0,1259.739,1.0,DEPLOYED-SET
2016-03-16 08:30:00,-123.45000000000255,stopped_pre,1234.5,1233.2655,-168.0,DEPLOYED-SET
2016-03-16 14:00:00,492.1199999999999,tp,1230.3,1235.2212,0.0,DEPLOYED-SET
2016-04-01 08:30:00,-123.26000000000477,stopped_post,1232.6,1231.3673999999999,2.0,DEPLOYED-SET
2016-04-14 08:30:00,259.9999999999909,timed,1236.2,1238.8,900.0,DEPLOYED-SET
2016-04-27 14:00:00,-125.09999999999764,stopped_post,1251.0,1249.749,4.0,DEPLOYED-SET
2016-05-06 08:30:00,-128.01999999999225,stopped_pre,1280.2,1278.9198000000001,-5.0,DEPLOYED-SET
2016-05-17 08:30:00,-127.34000000000378,stopped_post,1273.4,1272.1266,1.0,DEPLOYED-SET
2016-06-03 08:30:00,486.1599999999953,tp,1215.4,1220.2616,1.0,DEPLOYED-SET
2016-06-15 14:00:00,-128.85000000001128,stopped_pre,1288.5,1287.2115,-71.0,DEPLOYED-SET
2016-06-16 08:30:00,-131.10999999998967,stopped_pre,1311.1,1309.7889,-28.0,DEPLOYED-SET
2016-07-08 08:30:00,543.6400000000049,tp,1359.1,1364.5364,-254.0,DEPLOYED-SET
2016-07-27 14:00:00,-132.68000000000484,stopped_post,1326.8,1325.4732,7.0,DEPLOYED-SET
2016-08-05 08:30:00,-136.72999999998865,stopped_pre,1367.3,1365.9327,-2.0,DEPLOYED-SET
2016-08-16 08:30:00,-136.0200000000077,stopped_pre,1360.2,1358.8398,-102.0,DEPLOYED-SET
2016-09-02 08:30:00,-132.00999999999112,stopped_pre,1320.1,1318.7799,-78.0,DEPLOYED-SET
2016-09-16 08:30:00,-131.70999999999822,stopped_post,1317.1,1315.7829,1.0,DEPLOYED-SET
2016-09-21 14:00:00,-132.99999999999272,stopped_post,1330.0,1328.67,22.0,DEPLOYED-SET
2016-10-07 08:30:00,501.88000000000557,tp,1254.7,1259.7188,1.0,DEPLOYED-SET
2016-10-18 08:30:00,229.99999999999545,timed,1261.0,1263.3,896.0,DEPLOYED-SET
2016-11-02 14:00:00,-130.71999999999662,stopped_pre,1307.2,1305.8928,-186.0,DEPLOYED-SET
2016-11-04 08:30:00,-130.32000000000608,stopped_post,1303.2,1301.8968,51.0,DEPLOYED-SET
2016-11-17 08:30:00,-122.6799999999912,stopped_post,1226.8,1225.5732,37.0,DEPLOYED-SET
2016-12-02 08:30:00,-117.4099999999953,stopped_pre,1174.1,1172.9259,-88.0,DEPLOYED-SET
2016-12-14 14:00:00,-116.2499999999909,stopped_post,1162.5,1161.3375,0.0,DEPLOYED-SET
2016-12-15 08:30:00,-113.0100000000084,stopped_pre,1130.1,1128.9698999999998,-291.0,DEPLOYED-SET
2017-01-06 08:30:00,-117.92000000000371,stopped_post,1179.2,1178.0208,0.0,DEPLOYED-SET
2017-01-18 08:30:00,0.0,timed,1212.3,1212.3,900.0,DEPLOYED-SET
2017-02-01 14:00:00,-120.67999999999302,stopped_post,1206.8,1205.5932,0.0,DEPLOYED-SET
