et,pnl_usd,outcome,entry,exit_price,exit_s,block
2016-01-15 08:30:00,-83.43000000000757,stopped_post,4171.5,4167.3285,40.0,Retail Sales MoM
2016-02-12 08:30:00,319.4800000000032,tp,3993.5,4009.474,284.0,Retail Sales MoM
2016-03-15 08:30:00,-86.875,stopped_post,4343.75,4339.40625,208.0,Retail Sales MoM
2016-04-13 08:30:00,-90.43499999999767,stopped_post,4521.75,4517.22825,709.0,Retail Sales MoM
2016-05-13 08:30:00,265.0,timed,4320.5,4333.75,900.0,Retail Sales MoM
2016-06-14 08:30:00,-5.0,timed,4402.75,4402.5,898.0,Retail Sales MoM
2016-08-12 08:30:00,-75.0,timed,4800.75,4797.0,900.0,Retail Sales MoM
2016-09-15 08:30:00,-94.98999999999796,stopped_post,4749.5,4744.7505,62.0,Retail Sales MoM
2016-10-14 08:30:00,120.0,timed,4810.25,4816.25,900.0,Retail Sales MoM
2016-11-15 08:30:00,130.0,timed,4715.5,4722.0,900.0,Retail Sales MoM
2016-12-14 08:30:00,-100.0,stopped_post,4940.75,4935.75,562.0,Retail Sales MoM
2017-01-13 08:30:00,10.0,timed,5040.25,5040.75,900.0,Retail Sales MoM
2017-08-15 08:30:00,-85.0,timed,5926.75,5922.5,900.0,Retail Sales MoM
2017-09-15 08:30:00,0.0,timed,5966.25,5966.25,891.0,Retail Sales MoM
2017-12-14 08:30:00,-45.0,timed,6425.0,6422.75,897.0,Retail Sales MoM
2018-03-14 08:30:00,70.0,timed,7104.75,7108.25,897.0,Retail Sales MoM
2018-04-16 08:30:00,35.0,timed,6680.0,6681.75,900.0,Retail Sales MoM
2018-05-15 08:30:00,-139.0099999999984,stopped_post,6950.5,6943.5495,67.0,Retail Sales MoM
2018-06-14 08:30:00,65.0,timed,7252.0,7255.25,900.0,Retail Sales MoM
2018-07-16 08:30:00,-15.0,timed,7399.25,7398.5,898.0,Retail Sales MoM
2018-08-15 08:30:00,-125.0,timed,7400.5,7394.25,900.0,Retail Sales MoM
2018-09-14 08:30:00,-152.30999999999767,stopped_post,7615.5,7607.8845,862.0,Retail Sales MoM
2018-10-15 08:30:00,-143.36999999999534,stopped_post,7168.5,7161.3315,111.0,Retail Sales MoM
2018-11-15 08:30:00,110.0,timed,6778.75,6784.25,900.0,Retail Sales MoM
2018-12-14 08:30:00,-134.1400000000067,stopped_pre,6707.0,6700.293,-8.0,Retail Sales MoM
2019-02-14 08:30:00,-141.0399999999936,stopped_post,7052.0,7044.948,5.0,Retail Sales MoM
2019-03-11 08:30:00,280.0,timed,7070.75,7084.75,900.0,Retail Sales MoM
2019-04-01 08:30:00,-149.4549999999981,stopped_post,7472.75,7465.27725,0.0,Retail Sales MoM
2019-04-18 08:30:00,-5.0,timed,7695.5,7695.25,900.0,Retail Sales MoM
2019-05-15 08:30:00,-147.69000000000233,stopped_post,7384.5,7377.1155,105.0,Retail Sales MoM
2019-06-14 08:30:00,105.0,timed,7495.5,7500.75,900.0,Retail Sales MoM
2019-07-16 08:30:00,-159.86000000000786,stopped_post,7993.0,7985.007,326.0,Retail Sales MoM
2019-08-15 08:30:00,340.0,timed,7505.0,7522.0,899.0,Retail Sales MoM
2019-09-13 08:30:00,-159.22500000000582,stopped_post,7961.25,7953.28875,503.0,Retail Sales MoM
2019-10-16 08:30:00,-158.99999999999636,stopped_pre,7950.0,7942.05,-17.0,Retail Sales MoM
2019-11-15 08:30:00,170.0,timed,8298.0,8306.5,900.0,Retail Sales MoM
2019-12-13 08:30:00,60.0,timed,8519.5,8522.5,897.0,Retail Sales MoM
2020-01-16 08:30:00,80.0,timed,9092.0,9096.0,899.0,Retail Sales MoM
2020-02-14 08:30:00,-192.77999999998428,stopped_post,9639.0,9629.361,329.0,Retail Sales MoM
2020-03-17 08:30:00,-180.0,stopped_pre,7162.75,7153.75,-273.0,Retail Sales MoM
2020-04-15 08:30:00,-171.07499999998254,stopped_pre,8553.75,8545.19625,-215.0,Retail Sales MoM
2020-05-15 08:30:00,-179.55999999998312,stopped_pre,8978.0,8969.022,-275.0,Retail Sales MoM
2020-06-16 08:30:00,795.1599999999962,tp,9939.5,9979.258,713.0,Retail Sales MoM
2020-07-16 08:30:00,-211.13000000001193,stopped_post,10556.5,10545.9435,21.0,Retail Sales MoM
2020-08-14 08:30:00,-224.12499999998545,stopped_post,11206.25,11195.04375,50.0,Retail Sales MoM
2020-09-16 08:30:00,-229.66499999998632,stopped_post,11483.25,11471.76675,161.0,Retail Sales MoM
2020-10-16 08:30:00,395.0,timed,11939.75,11959.5,900.0,Retail Sales MoM
2020-11-17 08:30:00,-240.64500000000407,stopped_post,12032.25,12020.21775,97.0,Retail Sales MoM
2020-12-16 08:30:00,-252.36000000000786,stopped_post,12618.0,12605.382,0.0,Retail Sales MoM
2021-01-15 08:30:00,-80.0,timed,12905.0,12901.0,898.0,Retail Sales MoM
2021-02-17 08:30:00,-274.49000000000524,stopped_post,13724.5,13710.7755,75.0,Retail Sales MoM
2021-03-16 08:30:00,-262.85500000001775,stopped_post,13142.75,13129.60725,122.0,Retail Sales MoM
2021-04-15 08:30:00,220.0,timed,13924.5,13935.5,900.0,Retail Sales MoM
2021-05-14 08:30:00,-264.900000000016,stopped_post,13245.0,13231.755,20.0,Retail Sales MoM
2021-06-15 08:30:00,-282.8949999999895,stopped_post,14144.75,14130.60525,39.0,Retail Sales MoM
2021-07-16 08:30:00,270.0,timed,14829.5,14843.0,900.0,Retail Sales MoM
2021-08-17 08:30:00,-301.2700000000041,stopped_pre,15063.5,15048.4365,-103.0,Retail Sales MoM
2021-09-16 08:30:00,130.0,timed,15442.0,15448.5,900.0,Retail Sales MoM
2021-10-15 08:30:00,340.0,timed,15088.5,15105.5,900.0,Retail Sales MoM
2021-11-16 08:30:00,-120.0,timed,16188.5,16182.5,900.0,Retail Sales MoM
2021-12-15 08:30:00,-318.5099999999875,stopped_post,15925.5,15909.5745,852.0,Retail Sales MoM
2022-01-14 08:30:00,-307.6050000000032,stopped_pre,15380.25,15364.86975,-168.0,Retail Sales MoM
2022-02-16 08:30:00,-291.69999999998254,stopped_post,14585.0,14570.415,7.0,Retail Sales MoM
2022-03-16 08:30:00,-275.0,stopped_post,13684.5,13670.75,157.0,Retail Sales MoM
2022-04-14 08:30:00,-284.4250000000102,stopped_post,14221.25,14207.02875,185.0,Retail Sales MoM
