et,pnl_usd,outcome,entry,exit_price,exit_s,block
2017-08-15 08:30:00,45.00000000000455,timed,1395.5,1396.4,863.0,Retail Sales MoM
2017-09-15 08:30:00,29.999999999995453,timed,1424.5,1425.1,878.0,Retail Sales MoM
2017-12-14 08:30:00,-39.999999999997726,timed,1529.0,1528.2,872.0,Retail Sales MoM
2018-03-14 08:30:00,25.0,timed,1604.6,1605.1,897.0,Retail Sales MoM
2018-04-16 08:30:00,25.0,timed,1557.2,1557.7,897.0,Retail Sales MoM
2018-05-15 08:30:00,-85.00000000000227,stopped_post,1600.2,1598.5,69.0,Retail Sales MoM
2018-06-14 08:30:00,64.99999999999773,timed,1683.4,1684.7,900.0,Retail Sales MoM
2018-07-16 08:30:00,14.999999999997726,timed,1691.3,1691.6,888.0,Retail Sales MoM
2018-08-15 08:30:00,-84.47999999999638,stopped_post,1689.6,1687.9104,823.0,Retail Sales MoM
2018-09-14 08:30:00,-39.999999999997726,timed,1721.2,1720.4,889.0,Retail Sales MoM
2018-10-15 08:30:00,35.000000000002274,timed,1546.6,1547.3,900.0,Retail Sales MoM
2018-11-15 08:30:00,15.000000000009095,timed,1497.1,1497.4,894.0,Retail Sales MoM
2018-12-14 08:30:00,-71.37500000000045,stopped_pre,1427.5,1426.0725,-8.0,Retail Sales MoM
2019-02-14 08:30:00,-77.29000000000497,stopped_post,1545.8,1544.2541999999999,219.0,Retail Sales MoM
2019-03-11 08:30:00,144.99999999999318,timed,1530.2,1533.1,896.0,Retail Sales MoM
2019-04-01 08:30:00,-77.68499999999676,stopped_post,1553.7,1552.1463,0.0,Retail Sales MoM
2019-04-18 08:30:00,-25.0,timed,1572.7,1572.2,896.0,Retail Sales MoM
2019-05-15 08:30:00,-79.99999999999545,stopped_post,1537.8,1536.2,115.0,Retail Sales MoM
2019-06-14 08:30:00,29.999999999995453,timed,1536.5,1537.1,900.0,Retail Sales MoM
2019-07-16 08:30:00,-20.000000000004547,timed,1564.7,1564.3,900.0,Retail Sales MoM
2019-08-15 08:30:00,34.999999999990905,timed,1473.9,1474.6,894.0,Retail Sales MoM
2019-09-13 08:30:00,10.000000000002274,timed,1588.5,1588.7,878.0,Retail Sales MoM
2019-10-16 08:30:00,-76.22000000000071,stopped_pre,1524.4,1522.8756,-17.0,Retail Sales MoM
2019-11-15 08:30:00,39.999999999997726,timed,1595.7,1596.5,883.0,Retail Sales MoM
2019-12-13 08:30:00,-9.999999999990905,timed,1654.1,1653.9,897.0,Retail Sales MoM
2020-01-16 08:30:00,130.00000000000682,timed,1695.6,1698.2,900.0,Retail Sales MoM
2020-02-14 08:30:00,-85.00000000000227,stopped_post,1699.0,1697.3,419.0,Retail Sales MoM
2020-03-17 08:30:00,0.0,timed,1037.6,1037.6,773.0,Retail Sales MoM
2020-04-15 08:30:00,-59.72000000000435,stopped_pre,1194.4,1193.2056,-210.0,Retail Sales MoM
2020-05-15 08:30:00,-75.0,stopped_pre,1223.0,1221.5,-282.0,Retail Sales MoM
2020-06-16 08:30:00,292.25999999999885,tp,1461.3,1467.1452,19.0,Retail Sales MoM
2020-07-16 08:30:00,-73.46499999999878,stopped_post,1469.3,1467.8307,26.0,Retail Sales MoM
2020-08-14 08:30:00,-78.57999999999947,stopped_post,1571.6,1570.0284,49.0,Retail Sales MoM
2020-09-16 08:30:00,-80.00000000000682,stopped_post,1547.7,1546.1,62.0,Retail Sales MoM
2020-10-16 08:30:00,139.99999999999773,timed,1639.3,1642.1,900.0,Retail Sales MoM
2020-11-17 08:30:00,-88.4050000000002,stopped_pre,1768.1,1766.3319,-117.0,Retail Sales MoM
2020-12-16 08:30:00,-98.47499999999627,stopped_post,1969.5,1967.5305,0.0,Retail Sales MoM
2021-01-15 08:30:00,-106.62500000000819,stopped_pre,2132.5,2130.3675,-141.0,Retail Sales MoM
2021-02-17 08:30:00,-113.47000000000662,stopped_post,2269.4,2267.1306,78.0,Retail Sales MoM
2021-03-16 08:30:00,-120.00000000000455,stopped_post,2348.6,2346.2,128.0,Retail Sales MoM
2021-04-15 08:30:00,-113.38000000000648,stopped_pre,2267.6,2265.3324,-69.0,Retail Sales MoM
2021-05-14 08:30:00,-109.30000000000746,stopped_pre,2186.0,2183.814,-71.0,Retail Sales MoM
2021-06-15 08:30:00,-116.33500000000367,stopped_post,2326.7,2324.3732999999997,12.0,Retail Sales MoM
2021-07-16 08:30:00,420.00000000000455,timed,2196.1,2204.5,900.0,Retail Sales MoM
2021-08-17 08:30:00,-115.0000000000091,stopped_post,2177.8,2175.5,74.0,Retail Sales MoM
2021-09-16 08:30:00,-110.83499999999731,stopped_pre,2216.7,2214.4833,-199.0,Retail Sales MoM
2021-10-15 08:30:00,-114.09000000001015,stopped_pre,2281.8,2279.5182,-120.0,Retail Sales MoM
2021-11-16 08:30:00,-40.000000000009095,timed,2397.8,2397.0,900.0,Retail Sales MoM
2021-12-15 08:30:00,-110.00000000001364,stopped_post,2159.8,2157.6,430.0,Retail Sales MoM
2022-01-14 08:30:00,-109.9999999999909,stopped_pre,2139.2,2137.0,-107.0,Retail Sales MoM
2022-02-16 08:30:00,-103.62999999999829,stopped_pre,2072.6,2070.5274,-25.0,Retail Sales MoM
