anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
GRID Durable Goods Orders MoM,2,08:30,127,127,-13.931574803149722,-56.43157480314972,-6.1653857935373315,7.031150191122638e-10,0.05,2.319365079365528,-29.928593750000676,25.642818006696935,1.0,False,-48.36284974093278,3.825205077261097e-19,False,0.782,False,VOID-TIMESTAMP,True
GRID Fed Interest Rate Decision,2,14:00,84,84,2.9461904761901314,-39.55380952380987,-2.7930066026336866,0.005222062603704033,0.05,20.876428571428292,-14.98404761904803,39.67529758307616,2.749999999998934,True,-44.10284960422182,2.7429554790114468e-15,True,0.325,False,SIGNIFICANT-NEGATIVE (p=0.0052),True
GRID Inflation Rate MoM,2,08:30,118,116,1.3068103448265957,-41.1931896551734,-3.3333292850897163,0.0008581331535201327,0.05,-4.147586206897324,6.761206896550508,34.621911423905765,2.0,True,-48.36284974093278,3.825205077261097e-19,True,0.222,False,SIGNIFICANT-NEGATIVE (p=0.00086),True
GRID Non Farm Payrolls,2,08:30,127,124,9.393306451612938,-33.106693548387064,-2.707894933429973,0.006771145468815784,0.05,2.600967741935689,16.185645161290182,34.25214994311778,2.666666666666509,True,-48.36284974093278,3.825205077261097e-19,True,0.048,False,SIGNIFICANT-NEGATIVE (p=0.0068),True
GRID Retail Sales MoM,2,08:30,113,113,4.110353982300778,-38.38964601769923,-3.157448550803709,0.0015915631935377106,0.05,-1.2678571428572962,9.39421052631573,34.06290335675334,0.6666666666669825,False,-48.36284974093278,3.825205077261097e-19,True,0.167,False,VOID-TIMESTAMP,True
Initial Jobless Claims,1,08:30,435,435,1.5933333333333606,-40.90666666666664,-7.2011333018121215,5.971413221675913e-13,0.05,-3.758156682027597,6.9202752293578,15.914649525622258,1.0,False,-48.36284974093278,3.825205077261097e-19,True,0.078,False,VOID-TIMESTAMP,False
PPI MoM,1,08:30,103,103,1.1762135922335293,-41.32378640776647,-3.250945773095706,0.0011502179397973674,0.05,-21.440392156862682,23.35788461538558,35.61182414818863,1.3333333333332544,True,-48.36284974093278,3.825205077261097e-19,True,0.253,False,SIGNIFICANT-NEGATIVE (p=0.0012),False
Core PCE Price Index MoM,1,08:30,114,113,-3.3932743362829982,-45.893274336283,-4.459839279467931,8.202113677876503e-06,0.05,-11.226607142856489,4.3026315789470955,28.82927185670947,0.6666666666669825,False,-48.36284974093278,3.825205077261097e-19,True,0.374,False,VOID-TIMESTAMP,False
GDP Growth Rate QoQ Adv,1,08:30,33,33,33.763939393938585,-8.736060606061415,-0.3709946762138143,0.7106414969799428,0.05,30.46687499999978,36.86705882352805,65.9708072220047,1.3333333333332544,True,-48.36284974093278,3.825205077261097e-19,True,0.031,False,POWERED-NULL,False
ISM Manufacturing PMI,1,10:00,128,128,-14.4196875,-56.919687499999995,-5.616420243073603,1.9495417499221434e-08,0.05,-3.848906249999673,-24.990468750000325,28.39270358339707,1.4999999999998224,True,-43.09179419525017,1.0975055058281195e-11,False,0.908,False,SIGNIFICANT-NEGATIVE (p=1.9e-08),False
