anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
GRID API Crude Oil Stock Change,2,16:30,454,266,10.187593984962295,-42.3124060150377,-4.655454895319555,3.2326617324426836e-06,0.05,11.561560150375543,8.813627819549048,25.46299210948274,1.0,False,-50.21296583850901,7.065746856014453e-05,True,0.206,False,VOID-TIMESTAMP,True
GRID Durable Goods Orders MoM,2,08:30,127,127,-9.66633858267699,-62.16633858267699,-3.070020864998499,0.0021404381706999357,0.05,-10.667460317460343,-8.680859374999628,56.730655243653985,4.0,True,-65.16483160621756,3.1040307604564956e-17,True,0.406,False,SIGNIFICANT-NEGATIVE (p=0.0021),True
GRID EIA Crude Oil Stocks Change,2,10:30,551,551,-0.9562386569875192,-53.456238656987516,-4.825178727747564,1.3987777400988682e-06,0.05,0.7888181818180287,-2.6949728260872496,31.037649904105045,1.3333333333333333,True,-39.99963527851406,0.0030398707467918567,False,0.897,False,SIGNIFICANT-NEGATIVE (p=1.4e-06),True
GRID Retail Sales MoM,2,08:30,113,113,-66.38329646017664,-118.88329646017664,-5.947486396240834,2.7229138828188843e-09,0.05,-26.59218750000016,-105.47631578947284,56.00041159255604,6.0,True,-65.16483160621756,3.1040307604564956e-17,False,0.999,False,SIGNIFICANT-NEGATIVE (p=2.7e-09),True
Initial Jobless Claims,1,08:30,435,435,-5.00798850574695,-57.507988505746944,-5.417465752825531,6.044972364878411e-08,0.05,5.764343317972164,-15.730905963302217,29.739649111631724,3.0,True,-65.16483160621756,3.1040307604564956e-17,True,0.17,False,SIGNIFICANT-NEGATIVE (p=6e-08),False
PPI MoM,1,08:30,103,103,21.946116504855834,-30.553883495144166,-0.9256679345721048,0.35461857673259833,0.05,6.746568627451833,36.85336538461745,92.47301886710841,7.0,True,-65.16483160621756,3.1040307604564956e-17,True,0.009,True,POWERED-NULL,False
Core PCE Price Index MoM,1,08:30,114,113,65.07422566371649,12.574225663716483,0.40118508154065535,0.688283863542531,0.05,29.326785714284906,100.1945175438598,87.80925906474029,4.0,True,-65.16483160621756,3.1040307604564956e-17,True,0.001,True,POWERED-NULL,False
GDP Growth Rate QoQ Adv,1,08:30,33,33,-10.345075757574609,-62.845075757574605,-1.2852107200359963,0.19871865855001003,0.05,53.83906250000123,-70.75367647058717,136.99374941005624,5.0,True,-65.16483160621756,3.1040307604564956e-17,True,0.455,False,POWERED-NULL,False
ISM Manufacturing PMI,1,10:00,128,128,15.764550781250541,-36.73544921874946,-1.3064561097527412,0.19139749538298967,0.05,59.22246093750019,-27.693359374999105,78.77608039846383,2.25,True,-37.134689153439936,0.009791408354765262,True,0.491,False,POWERED-NULL,False
ISM Services PMI,1,10:00,128,128,1.9949218750000774,-50.505078124999926,-1.8201226640998973,0.06874032688456211,0.05,61.51074218750079,-57.520898437500634,77.73887065005935,2.25,True,-37.134689153439936,0.009791408354765262,False,0.697,False,POWERED-NULL,False
JOLTs Job Openings,1,10:00,127,127,-13.564763779526505,-66.0647637795265,-2.77223615928028,0.005567263044971419,0.05,53.50000000000079,-79.58164062499868,66.7641770242905,1.5,True,-37.134689153439936,0.009791408354765262,False,0.866,False,SIGNIFICANT-NEGATIVE (p=0.0056),False
Michigan Consumer Sentiment Prel,1,10:00,127,127,-31.67854330708655,-84.17854330708656,-2.92244696019216,0.0034729276635160704,0.05,-32.60873015873087,-30.762890624999173,80.69722594988801,1.75,True,-37.134689153439936,0.009791408354765262,False,0.971,False,SIGNIFICANT-NEGATIVE (p=0.0035),False
ADP Employment Change,1,08:15,126,126,-17.91369047619099,-70.41369047619098,-4.334269726855691,1.4624477789029128e-05,0.05,8.655357142857785,-44.48273809523976,45.51400048322821,4.0,True,-51.50104430379753,1.1597397577107824e-11,False,0.922,False,SIGNIFICANT-NEGATIVE (p=1.5e-05),False
FOMC Minutes,1,14:00,85,84,-29.567708333333425,-82.06770833333341,-3.239289918743109,0.00119827704123892,0.05,-44.67440476190551,-14.461011904761346,70.97841946191421,1.6666666666666667,True,-65.80187165775413,4.878052542484864e-10,False,0.764,False,SIGNIFICANT-NEGATIVE (p=0.0012),False
10-Year Note Auction,2,13:00,108,108,5.029050925925929,-47.47094907407407,-2.1189304505706112,0.03409634508554648,0.05,1.1483796296296853,8.909722222222172,62.764641102185095,1.5,True,-38.66909090909114,0.000387008040262391,False,0.653,False,SIGNIFICANT-NEGATIVE (p=0.034),True
10-Year TIPS Auction,2,13:00,50,50,52.16849999999886,-0.3315000000011423,-0.007287724939607545,0.9941852882581508,0.05,40.478000000000975,63.85899999999674,127.4369584125567,1.5,True,-38.66909090909114,0.000387008040262391,True,0.117,False,POWERED-NULL,False
15-Year Mortgage Rate,2,12:00,150,149,50.498741610739145,-2.0012583892608538,-0.07018820596645237,0.9440438614496486,0.05,44.06114864864997,56.850500000000466,79.8808837645203,2.0,True,-48.03137690355383,5.846649365939534e-06,True,0.003,True,POWERED-NULL,False
17-Week Bill Auction,2,11:30,193,193,-3.165349740933205,-55.6653497409332,-2.6544781953671244,0.007943117294805492,0.05,9.670442708333127,-15.868814432990606,58.75023622658468,2.0,True,-48.99053617571082,3.0338947185112996e-05,False,0.658,False,SIGNIFICANT-NEGATIVE (p=0.0079),True
2-Year Note Auction,2,13:00,91,91,-2.3653846153840257,-54.86538461538402,-2.9764667842544856,0.0029159066708221463,0.05,21.062777777778543,-25.284239130434365,51.641782592008646,1.0,False,-38.66909090909114,0.000387008040262391,False,0.755,False,VOID-TIMESTAMP,True
20-Year Bond Auction,2,13:00,71,71,-21.214436619717276,-73.71443661971728,-2.818534058619553,0.004824349255228661,0.05,-0.689642857141085,-41.16909722222191,73.27116570326888,2.0,True,-38.66909090909114,0.000387008040262391,False,0.926,False,SIGNIFICANT-NEGATIVE (p=0.0048),True
3-Year Note Auction,2,13:00,106,106,16.230542452830964,-36.26945754716904,-1.4929099518018196,0.13546075977014463,0.05,22.040801886792554,10.420283018869377,68.0630308861586,1.0,False,-38.66909090909114,0.000387008040262391,True,0.427,False,VOID-TIMESTAMP,False
30-Year Bond Auction,2,13:00,123,123,44.22174796748003,-8.278252032519973,-0.3720860829473667,0.7098287578358202,0.05,35.73934426229534,52.56733870967786,62.33027676952163,1.5,True,-38.66909090909114,0.000387008040262391,True,0.055,False,POWERED-NULL,False
4-Week Bill Auction,2,11:30,545,544,-17.576286764706218,-70.07628676470621,-6.8876403773654635,5.672538827644999e-12,0.05,-11.23805147058836,-23.914522058824076,28.50391112707399,1.5,True,-48.99053617571082,3.0338947185112996e-05,False,0.986,False,SIGNIFICANT-NEGATIVE (p=5.7e-12),True
42-Day Bill Auction,2,11:30,84,84,-36.68437500000085,-89.18437500000084,-3.612879225385556,0.00030281576908186173,0.05,-26.999702380952126,-46.36904761904957,69.15748110163565,1.5,True,-48.99053617571082,3.0338947185112996e-05,False,0.951,False,SIGNIFICANT-NEGATIVE (p=0.0003),True
