anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
GRID API Crude Oil Stock Change,2,16:30,454,432,6.3130555555550965,-36.186944444444904,-3.9865760884035417,6.703363715600955e-05,0.05,-4.7133796296303965,17.33949074074059,25.430546519779703,1.0000000000022737,False,-45.433891891892664,5.448102256258566e-07,True,0.152,False,VOID-TIMESTAMP,True
GRID Durable Goods Orders MoM,2,08:30,127,127,-20.82173228346712,-63.32173228346712,-2.2534423791510907,0.02423126998367908,0.05,-10.388253968254604,-31.092187500004442,78.72454642659494,1.9999999999994316,True,-54.8915284974094,0.00042803202760681404,False,0.6,False,SIGNIFICANT-NEGATIVE (p=0.024),True
GRID EIA Crude Oil Stocks Change,2,10:30,551,551,6.443230490018131,-36.05676950998187,-2.8668094490550895,0.004146325794969683,0.05,4.830763636363537,8.049855072463831,35.23642372946236,1.333333333332828,True,-43.47323607427051,0.0005010725478504038,True,0.249,False,SIGNIFICANT-NEGATIVE (p=0.0041),True
GRID Retail Sales MoM,2,08:30,113,113,-45.681061946903455,-88.18106194690345,-3.0417478321879647,0.002352088494339058,0.05,21.608571428570908,-111.79017543859756,81.21868523037834,4.499999999999432,True,-54.8915284974094,0.00042803202760681404,False,0.872,False,SIGNIFICANT-NEGATIVE (p=0.0024),True
Initial Jobless Claims,1,08:30,435,435,-14.780344827586356,-57.28034482758635,-3.7396007606540564,0.00018431275699721793,0.05,-22.819354838709273,-6.778211009175015,42.91254004648005,2.249999999999716,True,-54.8915284974094,0.00042803202760681404,False,0.562,False,SIGNIFICANT-NEGATIVE (p=0.00018),False
PPI MoM,1,08:30,103,103,36.925145631067004,-5.574854368932993,-0.15454547150581366,0.8771796607770662,0.05,36.788235294117094,37.05942307692173,101.06041571485791,2.999999999998863,True,-54.8915284974094,0.00042803202760681404,True,0.061,False,POWERED-NULL,False
Core PCE Price Index MoM,1,08:30,114,113,-20.39681415929235,-62.89681415929235,-2.3456896110524386,0.01899191586202528,0.05,-3.6326785714294374,-36.86684210526293,75.12110043500942,2.4999999999994316,True,-54.8915284974094,0.00042803202760681404,False,0.608,False,SIGNIFICANT-NEGATIVE (p=0.019),False
GDP Growth Rate QoQ Adv,1,08:30,33,33,-7.235151515150199,-49.7351515151502,-0.7922193426173562,0.42823279208626086,0.05,-23.68562499999598,8.2476470588223,175.88218040928567,3.7499999999991473,True,-54.8915284974094,0.00042803202760681404,True,0.456,False,UNDERPOWERED,False
ISM Manufacturing PMI,1,10:00,128,128,-27.59796875000049,-70.09796875000049,-2.2786240436995113,0.022689423418644415,0.05,-14.221562500001284,-40.9743749999997,86.18597423484626,3.000000000000379,True,-54.616015831134426,0.0004316739656102263,False,0.71,False,SIGNIFICANT-NEGATIVE (p=0.023),False
ISM Services PMI,1,10:00,128,128,1.4381250000001344,-41.061874999999866,-1.2048966213528716,0.2282432130914252,0.05,1.0328124999993804,1.8434375000008885,95.47569477700814,2.2500000000001896,True,-54.616015831134426,0.0004316739656102263,True,0.317,False,POWERED-NULL,False
