anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
GRID API Crude Oil Stock Change,2,16:30,454,363,0.24955234159805698,-52.25044765840195,-14.199502089074274,9.22656291867237e-46,0.05,-10.042541436463903,10.485096153846492,10.309099637412105,1.0,False,-49.63784129692843,3.6151420105349405e-36,False,0.775,False,VOID-TIMESTAMP,True
GRID Durable Goods Orders MoM,2,08:30,127,126,-4.9323412698415705,-57.432341269841594,-4.031117243704308,5.551234176695809e-05,0.05,-24.345436507936366,14.480753968253227,39.91488926218801,1.000000000000444,False,-52.5405764248705,1.1678069383662254e-12,False,0.629,False,VOID-TIMESTAMP,True
GRID EIA Crude Oil Stocks Change,2,10:30,551,551,-10.041742286751804,-62.5417422867518,-10.22160013290788,1.5869927517312316e-24,0.05,-10.627681818181895,-9.457925724638484,17.14174086965036,1.500000000000222,True,-52.84251994680862,1.048465925058576e-13,False,0.943,False,SIGNIFICANT-NEGATIVE (p=1.6e-24),True
GRID Fed Interest Rate Decision,2,14:00,84,84,28.79300595238155,-23.70699404761845,-1.0718918619759914,0.28376860587793123,0.05,33.908630952380506,23.677380952382595,61.96256027605226,9.499999999996891,True,-48.324398395721936,9.877908020417926e-24,True,0.014,False,POWERED-NULL,False
GRID Inflation Rate MoM,2,08:30,118,116,80.20409482758598,27.70409482758597,1.2493496972063327,0.2115371983155421,0.05,18.09590517241467,142.3122844827573,62.124625910624424,4.000000000000444,True,-52.5405764248705,1.1678069383662254e-12,True,0.0,True,POWERED-NULL,False
GRID Non Farm Payrolls,2,08:30,127,124,14.783165322580562,-37.716834677419456,-2.1911381364668308,0.028441797711633018,0.05,17.478024193548407,12.088306451612715,48.224675923140666,4.500000000000666,True,-52.5405764248705,1.1678069383662254e-12,True,0.121,False,SIGNIFICANT-NEGATIVE (p=0.028),True
GRID Retail Sales MoM,2,08:30,113,113,-37.29701327433541,-89.79701327433541,-7.7586618921429915,8.583013102610819e-15,0.05,-20.10267857142833,-54.18969298245466,32.42491921715677,2.0,True,-52.5405764248705,1.1678069383662254e-12,False,0.998,False,SIGNIFICANT-NEGATIVE (p=8.6e-15),True
Initial Jobless Claims,1,08:30,435,435,-5.76318965517216,-58.26318965517216,-8.420198077054682,3.7584831252303435e-17,0.05,2.243605990783135,-13.733256880733169,19.38544550223874,1.500000000000222,True,-52.5405764248705,1.1678069383662254e-12,False,0.799,False,SIGNIFICANT-NEGATIVE (p=3.8e-17),False
PPI MoM,1,08:30,103,103,5.387499999999935,-47.11250000000007,-2.908131419110613,0.003635955043820283,0.05,-4.876960784314044,15.45456730769249,45.38642330795587,2.0,True,-52.5405764248705,1.1678069383662254e-12,True,0.324,False,SIGNIFICANT-NEGATIVE (p=0.0036),False
Core PCE Price Index MoM,1,08:30,114,113,25.907411504425458,-26.592588495574542,-1.6430177740580723,0.10037925584772656,0.05,13.419419642857791,38.17631578947439,45.34424644480092,1.500000000000222,True,-52.5405764248705,1.1678069383662254e-12,True,0.033,False,POWERED-NULL,False
GDP Growth Rate QoQ Adv,1,08:30,33,33,15.123106060607146,-37.37689393939285,-1.1558145796701111,0.24775700815553536,0.05,1.7992187499996088,27.66323529412013,90.59805563007811,2.0,True,-52.5405764248705,1.1678069383662254e-12,True,0.256,False,POWERED-NULL,False
ISM Manufacturing PMI,1,10:00,128,128,-35.40000000000019,-87.90000000000018,-7.996015262547395,1.2851045924454022e-15,0.05,-20.464257812500765,-50.33574218749962,30.797757714407034,2.499999999999112,True,-49.659663588390266,1.0478915747366758e-09,False,0.999,False,SIGNIFICANT-NEGATIVE (p=1.3e-15),False
ISM Services PMI,1,10:00,128,128,-13.028613281250694,-65.5286132812507,-4.929162473722778,8.258287589171275e-07,0.05,-7.883984374999415,-18.17324218750197,37.2444599582509,1.999999999999556,True,-49.659663588390266,1.0478915747366758e-09,False,0.889,False,SIGNIFICANT-NEGATIVE (p=8.3e-07),False
JOLTs Job Openings,1,10:00,127,127,-4.348031496064195,-56.8480314960642,-3.818283401375147,0.00013438349809848825,0.05,8.217460317460032,-16.71718750000211,41.71104866195966,1.999999999999556,True,-49.659663588390266,1.0478915747366758e-09,False,0.703,False,SIGNIFICANT-NEGATIVE (p=0.00013),False
Michigan Consumer Sentiment Prel,1,10:00,127,127,2.4564960629913624,-50.04350393700864,-3.1894303683195973,0.0014255347716074418,0.05,-12.81448412698477,17.488867187499118,43.95805041609764,1.9999999999991118,True,-49.659663588390266,1.0478915747366758e-09,False,0.504,False,SIGNIFICANT-NEGATIVE (p=0.0014),False
ADP Employment Change,1,08:15,126,126,2.1471230158734658,-50.352876984126546,-3.447812789828617,0.0005651456082209217,0.05,3.827777777778145,0.46646825396877983,40.91517854487483,1.500000000000222,True,-42.041708860759506,1.7609060702975927e-07,False,0.676,False,SIGNIFICANT-NEGATIVE (p=0.00057),False
FOMC Minutes,1,14:00,85,84,11.02916666666575,-41.47083333333425,-2.867610301027732,0.004135846108794249,0.05,7.147023809523605,14.911309523807894,40.51599118551408,1.0,False,-48.324398395721936,9.877908020417926e-24,True,0.21,False,VOID-TIMESTAMP,False
10-Year Note Auction,2,13:00,108,108,7.1950231481477145,-45.304976851852295,-3.532855264043494,0.0004110974684415485,0.05,-8.229166666666096,22.619212962961527,35.927244113327994,1.000000000000444,False,-51.13051948051948,4.127511821952869e-16,True,0.311,False,VOID-TIMESTAMP,True
10-Year TIPS Auction,2,13:00,50,50,29.651500000000386,-22.848499999999614,-0.9459928703027849,0.34415222273114887,0.05,44.001000000001504,15.301999999999259,67.66649293279764,1.499999999999778,True,-51.13051948051948,4.127511821952869e-16,True,0.058,False,POWERED-NULL,False
15-Year Mortgage Rate,2,12:00,150,149,21.932718120804626,-30.567281879195374,-2.0924456162247735,0.03639867182553202,0.05,-2.4131756756766154,45.95399999999945,40.92667662616976,1.0000000000008882,False,-44.71380076142102,3.736203733577546e-12,True,0.091,False,VOID-TIMESTAMP,True
17-Week Bill Auction,2,11:30,193,193,10.805764248704136,-41.69423575129588,-3.128755681181668,0.0017554820730183024,0.05,-13.344401041666975,34.706958762885854,37.334316416751385,1.000000000000444,False,-47.072873711340115,2.2379764993105083e-13,True,0.292,False,VOID-TIMESTAMP,True
2-Year Note Auction,2,13:00,91,90,-11.65861111111092,-64.15861111111093,-5.6798759471997196,1.3479246766620832e-08,0.05,-17.14138888888975,-6.175833333332085,31.646081397120522,1.000000000000444,False,-51.13051948051948,4.127511821952869e-16,False,0.858,False,VOID-TIMESTAMP,True
20-Year Bond Auction,2,13:00,71,71,15.748591549296343,-36.751408450703664,-2.030009089160775,0.04235561540064412,0.05,35.82321428571321,-3.76840277777562,50.72006979528295,1.500000000000222,True,-51.13051948051948,4.127511821952869e-16,True,0.164,False,SIGNIFICANT-NEGATIVE (p=0.042),True
3-Month Bill Auction,2,11:30,264,264,-5.194649621211781,-57.69464962121178,-7.365952278987768,1.7588673733798784e-13,0.05,-7.628219696969216,-2.761079545454346,21.94373130089637,1.0,False,-47.072873711340115,2.2379764993105083e-13,False,0.892,False,VOID-TIMESTAMP,True
3-Year Note Auction,2,13:00,106,106,18.889740566036973,-33.610259433963016,-2.421864525095334,0.015441105820186473,0.05,-1.126415094340489,38.905896226414455,38.879964199521396,1.000000000000444,False,-51.13051948051948,4.127511821952869e-16,True,0.069,False,VOID-TIMESTAMP,True
30-Year Bond Auction,2,13:00,123,123,1.695731707317026,-50.80426829268298,-4.33387645808194,1.465064121646763e-05,0.05,4.459221311475985,-1.0231854838716266,32.84184228133284,1.000000000000444,False,-51.13051948051948,4.127511821952869e-16,True,0.492,False,VOID-TIMESTAMP,True
4-Week Bill Auction,2,11:30,545,545,-2.524724770642458,-55.02472477064245,-9.689780765957265,3.332432158772422e-22,0.05,4.861948529411429,-9.884340659340836,15.909178887734795,1.0,False,-47.072873711340115,2.2379764993105083e-13,False,0.916,False,VOID-TIMESTAMP,True
