anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
GRID API Crude Oil Stock Change,2,16:30,454,409,-0.6456723716380595,-43.14567237163806,-15.616987409691388,5.57795725155253e-55,0.05,-2.9742156862744284,1.6715121951220342,7.740050933163761,1.0,False,-45.668603988603884,1.1356996820305566e-54,True,0.174,False,VOID-TIMESTAMP,True
GRID Durable Goods Orders MoM,2,08:30,127,127,0.7859055118112177,-41.71409448818878,-6.546770849938214,5.879447053419207e-11,0.05,2.6807936507938157,-1.0793749999997777,17.850875372672004,0.999999999999778,False,-40.99644155844165,3.7190411208413824e-32,False,0.503,False,VOID-TIMESTAMP,True
GRID EIA Crude Oil Stocks Change,2,10:30,551,551,1.407422867513649,-41.092577132486355,-13.234950150888196,5.513330489874131e-40,0.05,4.776036363636328,-1.948985507246265,8.698510790459636,1.000000000000222,False,-43.88967914438491,2.348040883577668e-33,True,0.16,False,VOID-TIMESTAMP,True
GRID Fed Interest Rate Decision,2,14:00,84,84,12.096071428571745,-30.40392857142825,-3.202094776861004,0.0013643210199251713,0.05,-1.1371428571427784,25.329285714286275,26.601085481950786,1.0000000000000555,False,-43.50968253968247,5.7547073423889104e-36,True,0.039,False,VOID-TIMESTAMP,True
GRID Inflation Rate MoM,2,08:30,118,115,6.921217391304364,-35.578782608695626,-4.668888115917504,3.0283423597626065e-06,0.05,-4.028070175438535,17.681724137931003,21.34919256712533,0.999999999999889,False,-40.99644155844165,3.7190411208413824e-32,True,0.217,False,VOID-TIMESTAMP,True
GRID Non Farm Payrolls,2,08:30,127,124,-6.59887096774204,-49.09887096774203,-8.47532852720904,2.344170601822436e-17,0.05,-6.639193548387252,-6.558548387096828,16.23001052097155,1.0,False,-40.99644155844165,3.7190411208413824e-32,False,0.924,False,VOID-TIMESTAMP,True
GRID Retail Sales MoM,2,08:30,113,113,-4.344955752212416,-46.84495575221242,-7.276147737728853,3.4348741641667834e-13,0.05,-6.7744642857146635,-1.9580701754382805,18.037035577550835,1.0,False,-40.99644155844165,3.7190411208413824e-32,False,0.803,False,VOID-TIMESTAMP,True
Initial Jobless Claims,1,08:30,435,434,-1.7689170506911616,-44.26891705069116,-13.22173687386154,6.572842652824468e-40,0.05,-3.2653456221198813,-0.2724884792624407,9.380245942479556,1.0,False,-40.99644155844165,3.7190411208413824e-32,False,0.834,False,VOID-TIMESTAMP,False
PPI MoM,1,08:30,103,103,9.270776699028668,-33.22922330097133,-3.901765214429124,9.549375798492746e-05,0.05,1.6947058823525838,16.701153846153286,23.85958552541513,1.0,False,-40.99644155844165,3.7190411208413824e-32,True,0.13,False,VOID-TIMESTAMP,False
Core PCE Price Index MoM,1,08:30,114,113,0.6611504424781524,-41.83884955752184,-5.942279970376559,2.8108480861527106e-09,0.05,-10.304642857143023,11.434561403509484,19.725610889801423,0.999999999999778,False,-40.99644155844165,3.7190411208413824e-32,False,0.555,False,VOID-TIMESTAMP,False
GDP Growth Rate QoQ Adv,1,08:30,33,33,0.4142424242420563,-42.08575757575795,-3.3694258646626842,0.000753249508169756,0.05,-6.85000000000005,7.251176470587569,34.993153458213136,0.999999999999889,False,-40.99644155844165,3.7190411208413824e-32,False,0.55,False,VOID-TIMESTAMP,False
