anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
Initial Jobless Claims,1,08:30,435,434,-5.337523041474576,-27.837523041474576,-1.6101418432191557,0.10736689410509631,0.0025,5.593548387096947,-16.2685944700461,66.82081326119972,1.8333333333333333,True,-50.42838082901517,0.0001902879604288516,True,0.035,False,POWERED-NULL,False
PPI MoM,1,08:30,103,102,26.680049019608965,4.180049019608965,0.07889395468132798,0.9371169717204463,0.0025,-10.370098039215115,63.730196078433046,204.7778374427747,4.666666666666667,True,-50.42838082901517,0.0001902879604288516,True,0.027,False,UNDERPOWERED,False
Core PCE Price Index MoM,1,08:30,114,113,41.078008849556284,18.578008849556287,0.4067168072569037,0.684215994730354,0.0025,40.489464285714284,41.65622807017299,176.54375092977835,2.5,True,-50.42838082901517,0.0001902879604288516,True,0.002,True,UNDERPOWERED,False
GDP Growth Rate QoQ Adv,1,08:30,33,33,-87.51742424242228,-110.01742424242228,-1.8154151230103783,0.06946013875649877,0.0025,24.5868750000011,-193.0273529411737,234.22369492877456,3.1666666666666665,True,-50.42838082901517,0.0001902879604288516,False,0.894,False,UNDERPOWERED,False
ISM Manufacturing PMI,1,10:00,128,128,-10.87894531249944,-33.37894531249944,-0.7307405669325941,0.46493763187520165,0.0025,15.451718750000225,-37.209609374999104,176.54470477442132,2.09375,True,-3.1597619047621053,0.8952193140638135,False,0.756,False,UNDERPOWERED,False
ISM Services PMI,1,10:00,128,128,15.614218749999793,-6.885781250000207,-0.15265268093580844,0.8786721784325536,0.0025,95.26687500000094,-64.03843750000135,174.33881497570567,2.0625,True,-3.1597619047621053,0.8952193140638135,False,0.522,False,UNDERPOWERED,False
JOLTs Job Openings,1,10:00,127,127,-0.009133858268145072,-22.509133858268147,-0.5557331017864406,0.5783933241194092,0.0025,60.327936507936336,-59.40343750000068,156.54450284927503,1.75,True,-3.1597619047621053,0.8952193140638135,False,0.674,False,UNDERPOWERED,False
Michigan Consumer Sentiment Prel,1,10:00,127,127,-18.66992125984339,-41.16992125984339,-0.9005046905426717,0.3678517302750717,0.0025,-30.893015873015905,-6.637812500001701,176.70114385861444,1.5625,True,-3.1597619047621053,0.8952193140638135,False,0.823,False,UNDERPOWERED,False
ADP Employment Change,1,08:15,126,126,-31.325357142856905,-53.8253571428569,-2.1084414428391085,0.03499282286592913,0.0025,19.94031746031714,-82.59103174603095,98.66671747431475,3.2,True,-13.241582278480726,0.29093856889706987,False,0.971,False,POWERED-NULL,False
FOMC Minutes,1,14:00,85,84,-35.368095238094654,-57.868095238094654,-1.4619555854408566,0.14375338124193404,0.0025,-59.574880952380965,-11.161309523808345,152.9855148876688,1.8,True,-29.825949197860982,0.07551974618159696,False,0.782,False,UNDERPOWERED,False
10-Year Note Auction,2,13:00,108,108,18.45314814814898,-4.046851851851022,-0.10643110061005932,0.9152403184889787,0.05,14.527129629628622,22.379166666669335,106.52525686591564,1.875,True,-13.535142857143024,0.4197444361221032,True,0.368,False,POWERED-NULL,False
10-Year TIPS Auction,2,13:00,50,50,158.31540000000058,135.81540000000058,1.6308700092571184,0.10291775115835604,0.05,130.88320000000166,185.74759999999952,233.3100829446799,1.0,False,-13.535142857143024,0.4197444361221032,True,0.004,True,VOID-TIMESTAMP,False
15-Year Mortgage Rate,2,12:00,151,150,33.04203333333377,10.542033333333771,0.22691170272098982,0.8204924019399773,0.05,56.41066666666593,9.673400000001614,130.15813820573965,3.125,True,-30.416129441624403,0.04552229545104885,True,0.051,False,POWERED-NULL,False
17-Week Bill Auction,2,11:30,193,193,8.690932642487454,-13.809067357512546,-0.36427444479104404,0.7156530809497612,0.05,21.263177083334693,-3.751701030928369,106.20365921375316,2.0,True,-29.883281653746565,0.09823596548774888,True,0.251,False,POWERED-NULL,False
2-Year Note Auction,2,13:00,91,91,-12.809835164835322,-35.30983516483532,-1.1336742736450651,0.25693120484530074,0.05,0.6534444444445803,-25.980434782609137,87.2592018513877,1.0,False,-13.535142857143024,0.4197444361221032,False,0.735,False,VOID-TIMESTAMP,False
20-Year Bond Auction,2,13:00,71,71,-12.71133802816826,-35.21133802816826,-0.7302839913010702,0.4652166115451473,0.05,49.68842857142902,-73.37777777777673,135.0810990389984,2.25,True,-13.535142857143024,0.4197444361221032,False,0.705,False,POWERED-NULL,False
3-Month Bill Auction,2,11:30,551,551,-7.132903811252733,-29.632903811252735,-1.840586710508767,0.06568214670436225,0.05,-10.415181818181637,-3.8625181159431374,45.104696689984955,1.3333333333333333,True,-29.883281653746565,0.09823596548774888,True,0.488,False,POWERED-NULL,False
