anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
Initial Jobless Claims,1,08:30,435,367,-6.605885558583435,-29.105885558583434,-4.253456027939428,2.1049628820300624e-05,0.0025,1.8533060109290211,-15.019103260870281,26.44747247268099,2.0000000000015157,True,-25.64481072555156,3.077645485731066e-05,False,0.717,False,SIGNIFICANT-NEGATIVE (p=2.1e-05),False
PPI MoM,1,08:30,103,92,26.77836956521733,4.278369565217329,0.21449778079365045,0.8301588973644901,0.0025,4.357173913043356,49.1995652173913,77.09048832305837,4.333333333333838,True,-25.64481072555156,3.077645485731066e-05,True,0.005,True,POWERED-NULL,False
Core PCE Price Index MoM,1,08:30,114,93,22.33897849462393,-0.16102150537606927,-0.009304640395778272,0.9925760782071945,0.0025,29.176847826087613,15.646595744680752,66.8851327035517,2.3333333333345965,True,-25.64481072555156,3.077645485731066e-05,True,0.019,False,POWERED-NULL,False
GDP Growth Rate QoQ Adv,1,08:30,33,27,-13.033888888890033,-35.53388888889003,-1.1408706944796712,0.2539237362548951,0.0025,56.30230769230593,-77.41750000000057,120.37924613442857,2.666666666666919,True,-25.64481072555156,3.077645485731066e-05,False,0.683,False,POWERED-NULL,False
ISM Manufacturing PMI,1,10:00,128,109,2.273761467890189,-20.22623853210981,-1.0588228096098498,0.28968048360936255,0.0025,0.18555555555592576,4.3240000000001935,73.83072616814191,2.444444444444248,True,-18.918266871165475,0.03581483139455482,False,0.505,False,POWERED-NULL,False
ISM Services PMI,1,10:00,128,109,16.78522935779865,-5.71477064220135,-0.30103230787141927,0.7633898583902726,0.0025,48.467129629629774,-14.320636363635542,73.3721086816376,2.2222222222219976,True,-18.918266871165475,0.03581483139455482,True,0.182,False,POWERED-NULL,False
JOLTs Job Openings,1,10:00,127,109,-6.195917431192521,-28.695917431192516,-1.7126768178300489,0.08677201227605386,0.0025,41.55064814814769,-53.07436363636291,64.75748871537067,1.6666666666664982,True,-18.918266871165475,0.03581483139455482,False,0.749,False,POWERED-NULL,False
Michigan Consumer Sentiment Prel,1,10:00,127,109,7.679724770641686,-14.820275229358314,-0.8205555544822088,0.4118994728624095,0.0025,5.275277777776763,10.04045454545452,69.80613345911513,1.5555555555554994,True,-18.918266871165475,0.03581483139455482,True,0.384,False,POWERED-NULL,False
ADP Employment Change,1,08:15,126,105,-2.4503809523805233,-24.950380952380524,-2.0623183777820353,0.039177434478796555,0.0025,7.835000000000036,-12.541698113206733,46.75916777266051,3.749999999994884,True,-20.497336448598176,0.00041948939107403367,False,0.671,False,POWERED-NULL,False
FOMC Minutes,1,14:00,85,71,7.059859154928521,-15.440140845071479,-0.8490826112987284,0.3958353254725695,0.0025,-7.331142857144316,21.051111111110444,70.28240505569845,1.7999999999997272,True,-27.817794117647413,0.00012507462620014404,True,0.21,False,POWERED-NULL,False
10-Year Note Auction,2,13:00,107,92,-1.6398369565218505,-24.13983695652185,-1.7798052165694338,0.07510784361349417,0.05,-17.203152173912574,13.923478260868874,37.99843363372078,1.3749999999995737,True,-14.478790322580554,0.05256693537983108,False,0.766,False,POWERED-NULL,False
10-Year TIPS Auction,2,13:00,50,49,29.619489795919314,7.119489795919314,0.30159693136777366,0.7629593475448526,0.05,12.47333333333387,46.07980000000134,66.13415225255018,1.4999999999994316,True,-14.478790322580554,0.05256693537983108,True,0.121,False,POWERED-NULL,False
15-Year Mortgage Rate,2,12:00,150,149,12.932483221476827,-9.567516778523173,-0.7524419806868863,0.45178530862756316,0.05,11.330405405406484,14.513199999999566,35.62296399691904,1.9999999999988631,True,-14.011764705882413,0.06065800091179609,True,0.342,False,POWERED-NULL,False
17-Week Bill Auction,2,11:30,193,193,-3.5022797927468354,-26.002279792746833,-2.3689500849404723,0.017838660768043916,0.05,3.4978124999990237,-10.43020618556748,30.75100787761396,1.599999999999909,True,-25.239902597402665,0.0005612989921339531,False,0.536,False,SIGNIFICANT-NEGATIVE (p=0.018),True
2-Year Note Auction,2,13:00,91,75,-13.083133333333535,-35.583133333333535,-3.0683772406092835,0.0021522473514432963,0.05,-14.263783783783495,-11.933552631579627,32.48921907891855,1.2499999999997158,True,-14.478790322580554,0.05256693537983108,False,0.931,False,SIGNIFICANT-NEGATIVE (p=0.0022),True
20-Year Bond Auction,2,13:00,71,71,-17.26535211267677,-39.76535211267677,-2.64262036681916,0.00822672183505083,0.05,11.519000000000363,-45.250138888890646,42.15740713268253,1.4999999999994316,True,-14.478790322580554,0.05256693537983108,False,0.956,False,SIGNIFICANT-NEGATIVE (p=0.0082),True
