anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
GRID API Crude Oil Stock Change,2,16:30,454,363,13.435812672177097,-89.06418732782289,-7.046683301104339,1.8323270326329832e-12,0.05,-4.993232044198296,31.763598901099883,35.40969560915673,1.0,False,-97.0641479099676,1.4448543334077335e-22,True,0.202,False,VOID-TIMESTAMP,True
GRID Durable Goods Orders MoM,2,08:30,127,127,-5.522440944881439,-108.02244094488145,-4.125665894417961,3.696636001090022e-05,0.05,0.004365079365761125,-10.96289062499978,73.35399462772727,1.9999999999996447,True,-99.44883116883057,1.0113886370470851e-11,False,0.595,False,SIGNIFICANT-NEGATIVE (p=3.7e-05),True
GRID EIA Crude Oil Stocks Change,2,10:30,551,551,-1.7113883847549862,-104.21138838475498,-8.737931062360206,2.37418302165632e-18,0.05,1.2323636363642039,-4.644474637681712,33.41261029076756,1.0000000000001776,False,-121.58493333333293,1.2980268345041745e-22,True,0.059,False,VOID-TIMESTAMP,True
GRID Fed Interest Rate Decision,2,14:00,84,84,-0.9309523809518245,-103.43095238095185,-3.718510762016827,0.00020040075592444616,0.05,53.69166666666667,-55.55357142857032,77.9265264797994,14.000000000002665,True,-80.96543715847008,1.6328450730748083e-09,False,0.799,False,SIGNIFICANT-NEGATIVE (p=0.0002),True
GRID Inflation Rate MoM,2,08:30,118,116,48.02607758620698,-54.473922413793034,-1.7269711454979901,0.08417284570740129,0.05,47.348706896552265,48.7034482758617,88.37051866496765,5.9999999999992895,True,-99.44883116883057,1.0113886370470851e-11,True,0.045,False,POWERED-NULL,True
GRID Non Farm Payrolls,2,08:30,127,124,-22.41955645161372,-124.91955645161373,-5.083564491817148,3.7041672677062807e-07,0.05,39.468548387096746,-84.30766129032418,68.84397423561386,8.999999999998579,True,-99.44883116883057,1.0113886370470851e-11,False,0.839,False,SIGNIFICANT-NEGATIVE (p=3.7e-07),True
GRID Retail Sales MoM,2,08:30,113,113,-29.61969026548749,-132.1196902654875,-5.16771685168578,2.3697094676682777e-07,0.05,-28.132589285715387,-31.080701754386386,71.62632589780199,3.499999999999467,True,-99.44883116883057,1.0113886370470851e-11,False,0.886,False,SIGNIFICANT-NEGATIVE (p=2.4e-07),True
Initial Jobless Claims,1,08:30,435,435,-2.0360919540224494,-104.53609195402245,-7.612960671571858,2.6788732329802537e-14,0.05,-0.9730414746538407,-3.0942660550453303,38.469497307140564,1.9999999999996447,True,-99.44883116883057,1.0113886370470851e-11,False,0.624,False,SIGNIFICANT-NEGATIVE (p=2.7e-14),False
PPI MoM,1,08:30,103,103,-3.3730582524270236,-105.87305825242701,-3.6899130375173863,0.00022433072508264235,0.05,-7.575490196078293,0.7485576923078718,80.38465732343418,2.499999999999467,True,-99.44883116883057,1.0113886370470851e-11,False,0.544,False,SIGNIFICANT-NEGATIVE (p=0.00022),False
Core PCE Price Index MoM,1,08:30,114,113,-9.558185840707043,-112.05818584070704,-4.975045269147275,6.523239364398188e-07,0.05,0.274553571429284,-19.218421052630447,63.10305537298633,1.9999999999996447,True,-99.44883116883057,1.0113886370470851e-11,False,0.68,False,SIGNIFICANT-NEGATIVE (p=6.5e-07),False
GDP Growth Rate QoQ Adv,1,08:30,33,33,-18.62045454545477,-121.12045454545478,-2.6918685320598232,0.0071052948009227715,0.05,48.784374999998875,-82.06029411764646,126.05714993625563,2.9999999999992895,True,-99.44883116883057,1.0113886370470851e-11,False,0.648,False,SIGNIFICANT-NEGATIVE (p=0.0071),False
ISM Manufacturing PMI,1,10:00,128,128,-30.509570312500443,-133.00957031250044,-5.5705073692845986,2.539985724710956e-08,0.05,-23.4324218750008,-37.586718750000074,66.89474072099178,3.249999999999556,True,-98.0238095238095,3.490234439350519e-10,False,0.916,False,SIGNIFICANT-NEGATIVE (p=2.5e-08),False
ISM Services PMI,1,10:00,128,128,39.93867187500139,-62.56132812499861,-2.0500713349336674,0.04035747016955976,0.05,-4.210937499999069,84.08828125000183,85.49502115354082,2.2499999999997335,True,-98.0238095238095,3.490234439350519e-10,True,0.1,False,SIGNIFICANT-NEGATIVE (p=0.04),False
JOLTs Job Openings,1,10:00,127,127,-14.581102362204929,-117.08110236220493,-4.5412695755170205,5.5916478198313636e-06,0.05,-56.55238095238066,26.734374999999314,72.22929190388354,1.9999999999996447,True,-98.0238095238095,3.490234439350519e-10,False,0.752,False,SIGNIFICANT-NEGATIVE (p=5.6e-06),False
Michigan Consumer Sentiment Prel,1,10:00,127,127,-19.606889763780664,-122.10688976378069,-5.53206976162098,3.1647398000570874e-08,0.05,-23.756746031745262,-15.521875000003007,61.83813151722202,1.9999999999996447,True,-98.0238095238095,3.490234439350519e-10,False,0.813,False,SIGNIFICANT-NEGATIVE (p=3.2e-08),False
ADP Employment Change,1,08:15,126,126,-21.778373015874195,-124.27837301587421,-5.4039934115007044,6.517333924970152e-08,0.05,0.18968253968071735,-43.74642857142909,64.42947397430568,5.999999999996625,True,-114.2657928388748,2.6764025026966953e-20,False,0.679,False,SIGNIFICANT-NEGATIVE (p=6.5e-08),False
FOMC Minutes,1,14:00,85,82,11.867987804879665,-90.63201219512034,-3.585648779758001,0.0003362412404652769,0.05,30.49024390243936,-6.754268292680028,70.8137693668174,3.0000000000007105,True,-80.96543715847008,1.6328450730748083e-09,False,0.59,False,SIGNIFICANT-NEGATIVE (p=0.00034),False
10-Year Note Auction,2,13:00,107,106,-13.007075471698213,-115.50707547169822,-4.360772551422061,1.2960403410111578e-05,0.05,-36.982075471698025,10.967924528301594,74.20770322180762,1.0000000000007105,False,-110.47585078534046,7.056389239536339e-22,False,0.594,False,VOID-TIMESTAMP,True
10-Year TIPS Auction,2,13:00,50,50,29.435000000000496,-73.06499999999951,-1.635270614776507,0.10199233077861791,0.05,-8.129000000000273,66.99900000000126,125.17672742686518,1.0,False,-110.47585078534046,7.056389239536339e-22,True,0.102,False,VOID-TIMESTAMP,False
17-Week Bill Auction,2,11:30,193,193,-0.9602331606237423,-103.46023316062374,-3.904889663133049,9.426838530943189e-05,0.05,4.7315104166661905,-6.593298969075635,74.22813061731637,2.0,True,-86.23195876288673,1.4624726091453709e-12,False,0.827,False,SIGNIFICANT-NEGATIVE (p=9.4e-05),True
2-Year Note Auction,2,13:00,91,91,-11.365384615384478,-113.8653846153845,-5.610817577291562,2.013729551203322e-08,0.05,-12.87777777777678,-9.885869565218105,56.855097155155974,1.0000000000007105,False,-110.47585078534046,7.056389239536339e-22,False,0.504,False,VOID-TIMESTAMP,True
20-Year Bond Auction,2,13:00,71,71,5.080281690139414,-97.41971830986058,-2.4404784748648143,0.014667820048099493,0.05,-25.652857142857908,34.95972222222016,111.8344806775008,2.0,True,-110.47585078534046,7.056389239536339e-22,True,0.27,False,SIGNIFICANT-NEGATIVE (p=0.015),True
3-Month Bill Auction,2,11:30,551,550,-19.123000000000427,-121.62300000000042,-12.046599377826688,2.0211770873860548e-33,0.05,-23.030090909091587,-15.21590909090927,28.284928251119375,1.0000000000003553,False,-86.23195876288673,1.4624726091453709e-12,False,1.0,False,VOID-TIMESTAMP,True
3-Year Note Auction,2,13:00,107,107,-9.164252336448795,-111.66425233644881,-5.015341306278899,5.293940448932845e-07,0.05,5.299999999999282,-23.360648148147835,62.37599790620892,1.0,False,-110.47585078534046,7.056389239536339e-22,False,0.498,False,VOID-TIMESTAMP,True
30-Year Bond Auction,2,13:00,123,123,9.806707317072421,-92.69329268292758,-3.86560282843733,0.00011081514725067994,0.05,-0.35245901639320454,19.80201612903054,67.17921374548207,1.0000000000003553,False,-110.47585078534046,7.056389239536339e-22,True,0.211,False,VOID-TIMESTAMP,True
30-Year Mortgage Rate,2,12:00,151,151,-3.5003311258279988,-106.00033112582798,-3.4167024749523733,0.0006338451008418715,0.05,5.611000000001097,-12.491776315790922,86.91683371673358,2.999999999998934,True,-110.70826923076895,1.1180225661704135e-22,True,0.356,False,SIGNIFICANT-NEGATIVE (p=0.00063),True
4-Week Bill Auction,2,11:30,545,545,-1.2503211009175008,-103.75032110091752,-9.466989575496246,2.880248087136216e-21,0.05,-3.1020220588231866,0.5945970695965892,30.70304067929693,1.0000000000003553,False,-86.23195876288673,1.4624726091453709e-12,False,0.956,False,VOID-TIMESTAMP,True
42-Day Bill Auction,2,11:30,84,83,-29.51204819277026,-132.01204819277027,-5.949542853353978,2.68892436843181e-09,0.05,-39.70060975609712,-19.566071428570208,62.16326397549421,2.0,True,-86.23195876288673,1.4624726091453709e-12,False,0.977,False,SIGNIFICANT-NEGATIVE (p=2.7e-09),True
5-Year Note Auction,2,13:00,99,99,-0.16262626262657062,-102.66262626262656,-4.586151217603165,4.514916484160477e-06,0.05,-4.22908163265301,3.8224999999993496,62.71448162489625,1.0,False,-110.47585078534046,7.056389239536339e-22,True,0.347,False,VOID-TIMESTAMP,True
52-Week Bill Auction,2,11:30,102,102,1.9455882352940357,-100.55441176470599,-2.914588611565076,0.0035615768382009183,0.05,-12.206372549019703,16.097549019607776,96.65575188622,1.0000000000003553,False,-86.23195876288673,1.4624726091453709e-12,False,0.704,False,VOID-TIMESTAMP,True
7-Year Note Auction,2,13:00,119,119,-18.977521008404192,-121.47752100840417,-7.131894421929434,9.89968007479873e-13,0.05,-22.71483050847558,-15.302500000000661,47.719386623677345,1.0,False,-110.47585078534046,7.056389239536339e-22,False,0.694,False,VOID-TIMESTAMP,True
Baker Hughes Oil Rig Count,2,13:00,505,502,6.46145418326683,-96.03854581673316,-8.599437340514934,8.01078654113007e-18,0.05,-1.223804780876838,14.146713147410498,31.288113366681127,1.0000000000007105,False,-110.47585078534046,7.056389239536339e-22,True,0.07,False,VOID-TIMESTAMP,True
Building Permits,2,08:30,120,119,5.9411764705872265,-96.55882352941278,-3.985227584987594,6.741547995547345e-05,0.05,11.49872881355892,0.47624999999841294,67.88013155592039,0.9999999999996447,False,-99.44883116883057,1.0113886370470851e-11,True,0.453,False,VOID-TIMESTAMP,True
CB Leading Index MoM,2,10:00,73,73,-24.540068493148276,-127.04006849314828,-4.3357758605329195,1.4524689037718975e-05,0.05,-3.813888888888338,-44.70608108107687,82.0876331111694,1.4999999999998224,True,-98.0238095238095,3.490234439350519e-10,False,0.807,False,SIGNIFICANT-NEGATIVE (p=1.5e-05),True
Capacity Utilization,2,09:15,91,90,123.57749999999979,21.07749999999978,0.4643296808665527,0.6424115620807289,0.05,50.56222222222237,196.59277777777714,127.1734607618462,1.500000000000222,True,-104.56677377892025,2.6992219748512756e-16,True,0.0,True,POWERED-NULL,False
Challenger Job Cuts,2,07:30,128,127,36.5013779527552,-65.99862204724481,-2.553164775184434,0.010674898171107491,0.05,39.52896825396744,33.52109374999941,72.42022363341658,1.0000000000003553,False,-100.66921593830328,2.570811608538553e-13,True,0.079,False,VOID-TIMESTAMP,True
Chicago Fed National Activity Index,2,08:30,88,88,5.337215909090707,-97.16278409090931,-3.4021472382203344,0.0006685860687384995,0.05,-24.312499999999453,34.986931818180885,80.01118137188237,0.9999999999997335,False,-99.44883116883057,1.0113886370470851e-11,True,0.457,False,VOID-TIMESTAMP,True
Chicago PMI,2,09:45,127,126,13.518650793652185,-88.9813492063478,-3.343497713450368,0.00082729375800767,0.05,-18.327777777778397,45.36507936508277,74.55929510186316,1.4999999999996447,True,-93.35057989690635,1.191544709725091e-10,True,0.421,False,SIGNIFICANT-NEGATIVE (p=0.00083),True
