anchor,tier,clock,n_moments,n_filled,gross_mean,net_stressed_mean,t,p,alpha,half1_gross,half2_gross,mde_usd,jump_ratio,jump_ok,ctrl_mean_net,ctrl_p,floor_ok,noise_p,noise_ok,verdict,t2_fdr_pass
GRID API Crude Oil Stock Change,2,16:30,454,266,-0.5725751879698439,-23.072575187969843,-4.240537313629553,2.2298536129813395e-05,0.05,6.955864661654334,-8.101015037594022,15.243300748607652,1.0,False,-21.67293749999999,0.0042234104622201115,False,0.589,False,VOID-TIMESTAMP,True
GRID Durable Goods Orders MoM,2,08:30,127,127,7.567362204724812,-14.932637795275188,-1.0184260851131368,0.3084755109502356,0.05,-1.1898412698411405,16.187734375000673,41.0781478765725,1.6666666666666667,True,-29.964261658031134,1.263042525826587e-06,True,0.078,False,POWERED-NULL,False
GRID EIA Crude Oil Stocks Change,2,10:30,551,551,-3.56848457350275,-26.06848457350275,-3.087263335486194,0.0020200855536670996,0.05,-0.4369818181818118,-6.688641304347887,23.656252519631586,1.1666666666666667,False,-7.0503846153844485,0.5172603439510163,False,0.981,False,VOID-TIMESTAMP,True
GRID Fed Interest Rate Decision,2,14:00,84,84,14.063452380953116,-8.436547619046884,-0.26591546454095527,0.7903043147790388,0.05,61.72047619047654,-33.59357142857031,88.88428940536006,6.7,True,-33.04730563002715,5.722924054674227e-05,True,0.092,False,POWERED-NULL,False
GRID Inflation Rate MoM,2,08:30,118,116,130.14034482758595,107.64034482758595,3.1548593517206482,0.0016057549482375985,0.05,14.18577586206899,246.0949137931029,95.58701843746766,9.833333333333334,True,-29.964261658031134,1.263042525826587e-06,True,0.0,True,EXPLORATORY-POSITIVE,True
GRID Non Farm Payrolls,2,08:30,127,127,67.9819685039363,45.4819685039363,1.5430725186240637,0.12281318167816721,0.05,40.472142857142174,95.06195312499926,82.57655369191873,13.333333333333334,True,-29.964261658031134,1.263042525826587e-06,True,0.0,True,POWERED-NULL,False
GRID Retail Sales MoM,2,08:30,113,113,-22.513584070797133,-45.01358407079714,-2.4340738521307927,0.014929948551156721,0.05,-22.981607142856838,-22.053771929826198,51.81001047674345,4.0,True,-29.964261658031134,1.263042525826587e-06,False,0.915,False,SIGNIFICANT-NEGATIVE (p=0.015),True
Initial Jobless Claims,1,08:30,435,433,-2.115796766743135,-24.615796766743134,-3.2679745932972724,0.0010832008889815478,0.05,4.483402777777967,-8.684585253455385,21.102750466080963,2.0,True,-29.964261658031134,1.263042525826587e-06,True,0.198,False,SIGNIFICANT-NEGATIVE (p=0.0011),False
PPI MoM,1,08:30,103,101,29.553019801980447,7.0530198019804455,0.29114249991305396,0.7709423368454982,0.05,12.296099999999933,46.47156862745154,67.86929435366964,3.6666666666666665,True,-29.964261658031134,1.263042525826587e-06,True,0.002,True,POWERED-NULL,False
Core PCE Price Index MoM,1,08:30,114,113,37.78495575221265,15.284955752212653,0.7749160293639143,0.43838927967974456,0.05,15.794553571429333,59.389561403508544,55.26031787118514,2.6666666666666665,True,-29.964261658031134,1.263042525826587e-06,True,0.0,True,POWERED-NULL,False
