et,pnl_usd,outcome,entry,exit_price,exit_s,block,tier
2016-01-28 08:30:00,-32.87000000000262,stopped_pre,32.87,32.837129999999995,-286.0,GRID Durable Goods Orders MoM,2
2016-02-25 08:30:00,-39.99999999999915,stopped_pre,31.93,31.89,-237.0,GRID Durable Goods Orders MoM,2
2016-03-24 08:30:00,-39.05999999999921,stopped_pre,39.06,39.02094,-177.0,GRID Durable Goods Orders MoM,2
2016-04-26 08:30:00,171.92000000000007,tp,42.98,43.15192,79.0,GRID Durable Goods Orders MoM,2
2016-05-26 08:30:00,-50.080000000001235,stopped_post,50.08,50.02992,161.0,GRID Durable Goods Orders MoM,2
2016-06-24 08:30:00,-49.99999999999716,stopped_pre,47.87,47.82,-225.0,GRID Durable Goods Orders MoM,2
2016-07-27 08:30:00,20.000000000003126,timed,42.73,42.75,900.0,GRID Durable Goods Orders MoM,2
2016-08-25 08:30:00,-49.99999999999716,stopped_post,46.58,46.53,375.0,GRID Durable Goods Orders MoM,2
2016-09-28 08:30:00,-45.20000000000124,stopped_post,45.2,45.1548,232.0,GRID Durable Goods Orders MoM,2
2016-10-27 08:30:00,-49.320000000001585,stopped_post,49.32,49.27068,92.0,GRID Durable Goods Orders MoM,2
2016-11-23 08:30:00,-47.66999999999655,stopped_pre,47.67,47.622330000000005,-236.0,GRID Durable Goods Orders MoM,2
2016-12-22 08:30:00,39.99999999999915,timed,52.32,52.36,900.0,GRID Durable Goods Orders MoM,2
2017-01-27 08:30:00,129.99999999999545,timed,53.49,53.62,900.0,GRID Durable Goods Orders MoM,2
2017-02-27 08:30:00,-54.5100000000005,stopped_post,54.51,54.45549,653.0,GRID Durable Goods Orders MoM,2
2017-03-24 08:30:00,-48.00000000000182,stopped_post,48.0,47.952,602.0,GRID Durable Goods Orders MoM,2
2017-04-27 08:30:00,9.99999999999801,timed,48.71,48.72,900.0,GRID Durable Goods Orders MoM,2
2017-05-26 08:30:00,-49.99999999999716,stopped_post,48.54,48.49,526.0,GRID Durable Goods Orders MoM,2
2017-06-26 08:30:00,172.64000000000124,tp,43.16,43.33264,393.0,GRID Durable Goods Orders MoM,2
2017-07-27 08:30:00,49.99999999999716,timed,48.43,48.48,899.0,GRID Durable Goods Orders MoM,2
2017-08-25 08:30:00,-47.64000000000124,stopped_post,47.64,47.59236,501.0,GRID Durable Goods Orders MoM,2
2017-09-27 08:30:00,-60.000000000002274,stopped_pre,51.95,51.89,-120.0,GRID Durable Goods Orders MoM,2
2017-10-25 08:30:00,-52.28999999999928,stopped_post,52.29,52.23771,39.0,GRID Durable Goods Orders MoM,2
2017-11-22 08:30:00,-57.89999999999651,stopped_pre,57.9,57.8421,-123.0,GRID Durable Goods Orders MoM,2
2017-12-22 08:30:00,-58.03000000000225,stopped_post,58.03,57.97197,229.0,GRID Durable Goods Orders MoM,2
2018-01-26 08:30:00,261.75999999999533,tp,65.44,65.70176,439.0,GRID Durable Goods Orders MoM,2
2018-02-27 08:30:00,-63.65000000000265,stopped_pre,63.65,63.586349999999996,-19.0,GRID Durable Goods Orders MoM,2
2018-03-23 08:30:00,90.00000000000341,timed,64.64,64.73,900.0,GRID Durable Goods Orders MoM,2
2018-04-26 08:30:00,-68.65999999999417,stopped_post,68.66,68.59134,247.0,GRID Durable Goods Orders MoM,2
2018-05-25 08:30:00,-69.06999999999641,stopped_post,69.07,69.00093,48.0,GRID Durable Goods Orders MoM,2
2018-06-27 08:30:00,150.00000000000568,timed,71.14,71.29,900.0,GRID Durable Goods Orders MoM,2
2018-07-26 08:30:00,-69.2499999999967,stopped_post,69.25,69.18075,397.0,GRID Durable Goods Orders MoM,2
2018-08-24 08:30:00,40.00000000000625,timed,68.61,68.65,899.0,GRID Durable Goods Orders MoM,2
2018-09-27 08:30:00,90.00000000000341,timed,72.36,72.45,900.0,GRID Durable Goods Orders MoM,2
2018-10-25 08:30:00,-67.25000000000136,stopped_post,67.25,67.18275,121.0,GRID Durable Goods Orders MoM,2
2018-11-21 08:30:00,-54.72999999999928,stopped_post,54.73,54.67527,219.0,GRID Durable Goods Orders MoM,2
2018-12-21 08:30:00,-50.00000000000426,stopped_pre,45.27,45.22,-280.0,GRID Durable Goods Orders MoM,2
2019-02-21 08:30:00,-57.13999999999686,stopped_pre,57.14,57.082860000000004,-115.0,GRID Durable Goods Orders MoM,2
2019-03-13 08:30:00,49.99999999999716,timed,57.49,57.54,900.0,GRID Durable Goods Orders MoM,2
2019-04-02 08:30:00,-61.86999999999898,stopped_post,61.87,61.80813,40.0,GRID Durable Goods Orders MoM,2
2019-04-25 08:30:00,19.99999999999602,timed,66.05,66.07,900.0,GRID Durable Goods Orders MoM,2
2019-05-24 08:30:00,90.00000000000341,timed,58.58,58.67,899.0,GRID Durable Goods Orders MoM,2
2019-06-26 08:30:00,-9.99999999999801,timed,58.98,58.97,900.0,GRID Durable Goods Orders MoM,2
2019-07-25 08:30:00,-56.860000000000355,stopped_pre,56.86,56.80314,-240.0,GRID Durable Goods Orders MoM,2
2019-08-26 08:30:00,149.99999999999858,timed,54.82,54.97,900.0,GRID Durable Goods Orders MoM,2
2019-09-27 08:30:00,-55.349999999997124,stopped_pre,55.35,55.294650000000004,-291.0,GRID Durable Goods Orders MoM,2
2019-10-24 08:30:00,-55.83000000000027,stopped_post,55.83,55.77417,262.0,GRID Durable Goods Orders MoM,2
2019-11-27 08:30:00,49.99999999999716,timed,58.45,58.5,899.0,GRID Durable Goods Orders MoM,2
2019-12-23 08:30:00,109.99999999999943,timed,60.4,60.51,900.0,GRID Durable Goods Orders MoM,2
2020-01-28 08:30:00,-39.99999999999915,timed,53.36,53.32,899.0,GRID Durable Goods Orders MoM,2
2020-02-27 08:30:00,-47.20999999999975,stopped_pre,47.21,47.16279,-231.0,GRID Durable Goods Orders MoM,2
2020-03-25 08:30:00,-30.000000000001137,stopped_pre,23.52,23.49,-289.0,GRID Durable Goods Orders MoM,2
2020-04-24 08:30:00,-19.999999999999574,stopped_pre,17.05,17.03,-272.0,GRID Durable Goods Orders MoM,2
2020-05-28 08:30:00,-32.53999999999735,stopped_post,32.54,32.50746,49.0,GRID Durable Goods Orders MoM,2
2020-06-25 08:30:00,-37.3299999999972,stopped_post,37.33,37.29267,4.0,GRID Durable Goods Orders MoM,2
2020-07-27 08:30:00,-49.99999999999716,stopped_pre,41.66,41.61,-166.0,GRID Durable Goods Orders MoM,2
2020-08-26 08:30:00,-43.23999999999728,stopped_post,43.24,43.196760000000005,462.0,GRID Durable Goods Orders MoM,2
2020-09-25 08:30:00,159.6800000000016,tp,39.92,40.07968,-8.0,GRID Durable Goods Orders MoM,2
2020-10-27 08:30:00,-38.7800000000027,stopped_post,38.78,38.74122,168.0,GRID Durable Goods Orders MoM,2
2020-11-25 08:30:00,-45.58999999999713,stopped_pre,45.59,45.544410000000006,-236.0,GRID Durable Goods Orders MoM,2
2020-12-23 08:30:00,-50.00000000000426,stopped_pre,47.02,46.97,-266.0,GRID Durable Goods Orders MoM,2
2021-01-27 08:30:00,-59.99999999999517,stopped_post,52.62,52.56,74.0,GRID Durable Goods Orders MoM,2
2021-02-25 08:30:00,119.99999999999744,timed,63.13,63.25,892.0,GRID Durable Goods Orders MoM,2
2021-03-24 08:30:00,237.04000000000036,tp,59.26,59.49704,303.0,GRID Durable Goods Orders MoM,2
2021-04-26 08:30:00,-61.10999999999933,stopped_pre,61.11,61.04889,-278.0,GRID Durable Goods Orders MoM,2
2021-05-27 08:30:00,-65.7900000000069,stopped_pre,65.79,65.72421,-16.0,GRID Durable Goods Orders MoM,2
2021-06-24 08:30:00,-72.65999999999906,stopped_pre,72.66,72.58734,-107.0,GRID Durable Goods Orders MoM,2
2021-07-27 08:30:00,-71.96000000000424,stopped_pre,71.96,71.88803999999999,-45.0,GRID Durable Goods Orders MoM,2
2021-08-25 08:30:00,-9.999999999990905,timed,68.02,68.01,900.0,GRID Durable Goods Orders MoM,2
2021-09-27 08:30:00,-75.46000000000674,stopped_post,75.46,75.38453999999999,130.0,GRID Durable Goods Orders MoM,2
2021-10-27 08:30:00,-83.69999999999322,stopped_post,83.7,83.61630000000001,515.0,GRID Durable Goods Orders MoM,2
2021-11-24 08:30:00,-78.46000000000686,stopped_pre,78.46,78.38153999999999,-208.0,GRID Durable Goods Orders MoM,2
2021-12-23 08:30:00,-79.9999999999983,stopped_post,73.11,73.03,490.0,GRID Durable Goods Orders MoM,2
2022-01-27 08:30:00,310.0000000000023,timed,87.81,88.12,900.0,GRID Durable Goods Orders MoM,2
2022-02-25 08:30:00,-92.7599999999984,stopped_pre,92.76,92.66724,-46.0,GRID Durable Goods Orders MoM,2
2022-03-24 08:30:00,-114.62000000000216,stopped_pre,114.62,114.50538,-276.0,GRID Durable Goods Orders MoM,2
2022-04-26 08:30:00,-99.84000000000037,stopped_post,99.84,99.74016,46.0,GRID Durable Goods Orders MoM,2
2022-05-25 08:30:00,-111.04000000000269,stopped_post,111.04,110.92896,457.0,GRID Durable Goods Orders MoM,2
2022-06-27 08:30:00,-107.93999999999926,stopped_pre,107.94,107.83206,-161.0,GRID Durable Goods Orders MoM,2
2022-07-27 08:30:00,-95.92000000000667,stopped_post,95.92,95.82408,60.0,GRID Durable Goods Orders MoM,2
2022-08-24 08:30:00,-94.47000000000116,stopped_pre,94.47,94.37553,-168.0,GRID Durable Goods Orders MoM,2
2022-09-27 08:30:00,-80.0000000000125,stopped_post,77.9,77.82,4.0,GRID Durable Goods Orders MoM,2
2022-10-27 08:30:00,353.7599999999941,tp,88.44,88.79375999999999,22.0,GRID Durable Goods Orders MoM,2
2022-11-23 08:30:00,-78.78999999999792,stopped_pre,78.79,78.71121000000001,-292.0,GRID Durable Goods Orders MoM,2
2022-12-23 08:30:00,-79.9999999999983,stopped_pre,79.46,79.38,-83.0,GRID Durable Goods Orders MoM,2
2023-01-26 08:30:00,-81.37000000000683,stopped_pre,81.37,81.28863,-82.0,GRID Durable Goods Orders MoM,2
2023-02-27 08:30:00,19.99999999999602,timed,76.06,76.08,900.0,GRID Durable Goods Orders MoM,2
2023-03-24 08:30:00,-69.99999999999318,stopped_pre,67.52,67.45,-16.0,GRID Durable Goods Orders MoM,2
2023-04-26 08:30:00,-76.58000000000698,stopped_pre,76.58,76.50341999999999,-49.0,GRID Durable Goods Orders MoM,2
2023-05-26 08:30:00,-72.55000000000678,stopped_post,72.55,72.47744999999999,196.0,GRID Durable Goods Orders MoM,2
2023-06-27 08:30:00,-69.99999999999318,stopped_post,68.3,68.23,52.0,GRID Durable Goods Orders MoM,2
2023-07-27 08:30:00,318.3599999999984,tp,79.59,79.90836,477.0,GRID Durable Goods Orders MoM,2
