et,pnl_usd,outcome,entry,exit_price,exit_s,block,tier
2016-01-07 08:30:00,180.0,timed,4313.25,4322.25,898.0,Initial Jobless Claims,1
2016-01-14 08:30:00,145.0,timed,4183.0,4190.25,899.0,Initial Jobless Claims,1
2016-01-21 08:30:00,-83.07000000000698,stopped_pre,4153.5,4149.3465,-180.0,Initial Jobless Claims,1
2016-02-04 08:30:00,-83.01499999999578,stopped_post,4150.75,4146.59925,40.0,Initial Jobless Claims,1
2016-02-11 08:30:00,311.7199999999957,tp,3896.5,3912.086,846.0,Initial Jobless Claims,1
2016-02-18 08:30:00,30.0,timed,4213.0,4214.5,894.0,Initial Jobless Claims,1
2016-03-03 08:30:00,-10.0,timed,4329.0,4328.5,900.0,Initial Jobless Claims,1
2016-03-10 08:30:00,50.0,timed,4336.0,4338.5,895.0,Initial Jobless Claims,1
2016-03-17 08:30:00,105.0,timed,4368.25,4373.5,899.0,Initial Jobless Claims,1
2016-03-31 08:30:00,15.0,timed,4482.0,4482.75,897.0,Initial Jobless Claims,1
2016-04-07 08:30:00,-90.3650000000016,stopped_post,4518.25,4513.73175,542.0,Initial Jobless Claims,1
2016-04-21 08:30:00,-90.79999999999927,stopped_post,4540.0,4535.46,876.0,Initial Jobless Claims,1
2016-04-28 08:30:00,-88.174999999992,stopped_post,4408.75,4404.34125,3.0,Initial Jobless Claims,1
2016-05-05 08:30:00,-5.0,timed,4325.0,4324.75,900.0,Initial Jobless Claims,1
2016-05-12 08:30:00,-87.54499999999098,stopped_post,4377.25,4372.87275,260.0,Initial Jobless Claims,1
2016-05-19 08:30:00,-90.0,stopped_post,4324.75,4320.25,106.0,Initial Jobless Claims,1
2016-06-02 08:30:00,-95.0,stopped_post,4517.0,4512.25,641.0,Initial Jobless Claims,1
2016-06-09 08:30:00,50.0,timed,4502.5,4505.0,897.0,Initial Jobless Claims,1
2016-06-23 08:30:00,-35.0,timed,4436.25,4434.5,899.0,Initial Jobless Claims,1
2016-06-30 08:30:00,70.0,timed,4356.75,4360.25,884.0,Initial Jobless Claims,1
2016-07-07 08:30:00,10.0,timed,4438.25,4438.75,894.0,Initial Jobless Claims,1
2016-07-14 08:30:00,35.0,timed,4590.75,4592.5,899.0,Initial Jobless Claims,1
2016-07-21 08:30:00,25.0,timed,4652.75,4654.0,898.0,Initial Jobless Claims,1
2016-07-28 08:30:00,15.0,timed,4703.25,4704.0,886.0,Initial Jobless Claims,1
2016-08-04 08:30:00,20.0,timed,4729.0,4730.0,899.0,Initial Jobless Claims,1
2016-08-11 08:30:00,40.0,timed,4792.25,4794.25,900.0,Initial Jobless Claims,1
2016-08-18 08:30:00,55.0,timed,4795.75,4798.5,889.0,Initial Jobless Claims,1
2016-09-01 08:30:00,-70.0,timed,4785.75,4782.25,899.0,Initial Jobless Claims,1
2016-09-08 08:30:00,25.0,timed,4826.5,4827.75,899.0,Initial Jobless Claims,1
2016-09-22 08:30:00,95.0,timed,4869.5,4874.25,900.0,Initial Jobless Claims,1
2016-09-29 08:30:00,30.0,timed,4858.0,4859.5,896.0,Initial Jobless Claims,1
2016-10-06 08:30:00,40.0,timed,4864.5,4866.5,896.0,Initial Jobless Claims,1
2016-10-13 08:30:00,-35.0,timed,4781.0,4779.25,890.0,Initial Jobless Claims,1
2016-10-20 08:30:00,-100.0,stopped_post,4830.75,4825.75,496.0,Initial Jobless Claims,1
2016-11-03 08:30:00,-55.0,timed,4719.25,4716.5,896.0,Initial Jobless Claims,1
2016-11-10 08:30:00,-100.0,stopped_post,4853.25,4848.25,238.0,Initial Jobless Claims,1
2016-12-01 08:30:00,105.0,timed,4808.5,4813.75,898.0,Initial Jobless Claims,1
2016-12-08 08:30:00,75.0,timed,4842.75,4846.5,900.0,Initial Jobless Claims,1
2016-12-29 08:30:00,35.0,timed,4923.25,4925.0,899.0,Initial Jobless Claims,1
2017-01-05 08:30:00,90.0,timed,4924.75,4929.25,889.0,Initial Jobless Claims,1
