et,pnl_usd,outcome,entry,exit_price,exit_s,block,tier
2016-01-27 14:00:00,335.0200000000041,tp,4187.75,4204.501,79.0,POSCTRL Fed Interest Rate Decision,1
2016-03-16 14:00:00,348.3799999999974,tp,4354.75,4372.169,29.0,POSCTRL Fed Interest Rate Decision,1
2016-04-27 14:00:00,-87.77500000000146,stopped_pre,4388.75,4384.36125,-22.0,POSCTRL Fed Interest Rate Decision,1
2016-06-15 14:00:00,-88.48500000000058,stopped_post,4424.25,4419.82575,778.0,POSCTRL Fed Interest Rate Decision,1
2016-07-27 14:00:00,-93.76500000000306,stopped_post,4688.25,4683.56175,24.0,POSCTRL Fed Interest Rate Decision,1
2016-09-21 14:00:00,-96.02999999999156,stopped_post,4801.5,4796.6985,2.0,POSCTRL Fed Interest Rate Decision,1
2016-11-02 14:00:00,-94.56000000000131,stopped_post,4728.0,4723.272,159.0,POSCTRL Fed Interest Rate Decision,1
2016-12-14 14:00:00,-98.93000000000029,stopped_post,4946.5,4941.5535,0.0,POSCTRL Fed Interest Rate Decision,1
2017-02-01 14:00:00,-102.72499999999127,stopped_post,5136.25,5131.11375,0.0,POSCTRL Fed Interest Rate Decision,1
2017-03-15 14:00:00,431.6400000000067,tp,5395.5,5417.082,286.0,POSCTRL Fed Interest Rate Decision,1
2017-05-03 14:00:00,80.0,timed,5615.0,5619.0,896.0,POSCTRL Fed Interest Rate Decision,1
2017-06-14 14:00:00,-115.31999999999243,stopped_pre,5766.0,5760.234,-158.0,POSCTRL Fed Interest Rate Decision,1
2017-07-26 14:00:00,-118.94000000000233,stopped_pre,5947.0,5941.053,-33.0,POSCTRL Fed Interest Rate Decision,1
2017-09-20 14:00:00,-119.50000000000728,stopped_post,5975.0,5969.025,69.0,POSCTRL Fed Interest Rate Decision,1
2017-11-01 14:00:00,270.0,timed,6231.0,6244.5,900.0,POSCTRL Fed Interest Rate Decision,1
2017-12-13 14:00:00,180.0,timed,6411.5,6420.5,900.0,POSCTRL Fed Interest Rate Decision,1
2018-01-31 14:00:00,-139.35499999999593,stopped_post,6967.75,6960.78225,866.0,POSCTRL Fed Interest Rate Decision,1
2018-03-21 14:00:00,553.4000000000015,tp,6917.5,6945.17,22.0,POSCTRL Fed Interest Rate Decision,1
2018-05-02 14:00:00,534.5000000000073,tp,6681.25,6707.975,463.0,POSCTRL Fed Interest Rate Decision,1
2018-06-13 14:00:00,-145.5500000000029,stopped_post,7277.5,7270.2225,2.0,POSCTRL Fed Interest Rate Decision,1
2018-08-01 14:00:00,-145.27500000000146,stopped_post,7263.75,7256.48625,320.0,POSCTRL Fed Interest Rate Decision,1
2018-09-26 14:00:00,460.0,timed,7627.75,7650.75,900.0,POSCTRL Fed Interest Rate Decision,1
2018-11-08 14:00:00,-143.13500000000204,stopped_post,7156.75,7149.59325,275.0,POSCTRL Fed Interest Rate Decision,1
2018-12-19 14:00:00,524.7199999999975,tp,6559.0,6585.236,-2.0,POSCTRL Fed Interest Rate Decision,1
2019-01-30 14:00:00,-134.96499999999287,stopped_post,6748.25,6741.50175,2.0,POSCTRL Fed Interest Rate Decision,1
2019-03-20 14:00:00,589.7799999999916,tp,7372.25,7401.739,30.0,POSCTRL Fed Interest Rate Decision,1
2019-05-01 14:00:00,315.0,timed,7840.0,7855.75,900.0,POSCTRL Fed Interest Rate Decision,1
2019-06-19 14:00:00,-153.075000000008,stopped_pre,7653.75,7646.09625,-70.0,POSCTRL Fed Interest Rate Decision,1
2019-07-31 14:00:00,-159.325000000008,stopped_post,7966.25,7958.28375,11.0,POSCTRL Fed Interest Rate Decision,1
2019-09-18 14:00:00,-157.5250000000051,stopped_post,7876.25,7868.37375,6.0,POSCTRL Fed Interest Rate Decision,1
2019-10-30 14:00:00,-160.93999999999141,stopped_pre,8047.0,8038.953,-12.0,POSCTRL Fed Interest Rate Decision,1
2019-12-11 14:00:00,165.0,timed,8381.5,8389.75,900.0,POSCTRL Fed Interest Rate Decision,1
2020-01-29 14:00:00,-182.71499999998923,stopped_post,9135.75,9126.61425,17.0,POSCTRL Fed Interest Rate Decision,1
2020-04-29 14:00:00,-179.12000000000262,stopped_post,8956.0,8947.044,201.0,POSCTRL Fed Interest Rate Decision,1
2020-06-10 14:00:00,-201.15499999999884,stopped_post,10057.75,10047.69225,27.0,POSCTRL Fed Interest Rate Decision,1
2020-07-29 14:00:00,-212.400000000016,stopped_post,10620.0,10609.38,80.0,POSCTRL Fed Interest Rate Decision,1
2020-09-16 14:00:00,907.1600000000035,tp,11339.5,11384.858,158.0,POSCTRL Fed Interest Rate Decision,1
2020-11-05 14:00:00,60.0,timed,12057.0,12060.0,900.0,POSCTRL Fed Interest Rate Decision,1
2020-12-16 14:00:00,-252.99999999999272,stopped_post,12650.0,12637.35,42.0,POSCTRL Fed Interest Rate Decision,1
2021-01-27 14:00:00,-265.7050000000163,stopped_pre,13285.25,13271.96475,-56.0,POSCTRL Fed Interest Rate Decision,1
2021-03-17 14:00:00,1038.3799999999974,tp,12979.75,13031.669,24.0,POSCTRL Fed Interest Rate Decision,1
