et,pnl_usd,outcome,entry,exit_price,exit_s,block,tier
2017-07-20 08:30:00,-75.0,stopped_post,1444.2,1442.7,780.0,Initial Jobless Claims,1
2017-08-10 08:30:00,-75.0,stopped_post,1393.5,1392.0,140.0,Initial Jobless Claims,1
2017-08-17 08:30:00,64.99999999999773,timed,1377.0,1378.3,898.0,Initial Jobless Claims,1
2017-08-24 08:30:00,-10.000000000002274,timed,1373.8,1373.6,849.0,Initial Jobless Claims,1
2017-08-31 08:30:00,-35.000000000002274,timed,1395.7,1395.0,900.0,Initial Jobless Claims,1
2017-09-07 08:30:00,-5.000000000006821,timed,1400.7,1400.6,712.0,Initial Jobless Claims,1
2017-09-21 08:30:00,-29.999999999995453,timed,1446.6,1446.0,900.0,Initial Jobless Claims,1
2017-09-28 08:30:00,20.000000000004547,timed,1484.6,1485.0,896.0,Initial Jobless Claims,1
2017-10-05 08:30:00,-35.000000000002274,timed,1513.8,1513.1,878.0,Initial Jobless Claims,1
2017-10-12 08:30:00,0.0,timed,1505.4,1505.4,900.0,Initial Jobless Claims,1
2017-10-19 08:30:00,100.0,timed,1495.5,1497.5,900.0,Initial Jobless Claims,1
2017-10-26 08:30:00,-39.999999999997726,timed,1500.0,1499.2,894.0,Initial Jobless Claims,1
2017-11-02 08:30:00,79.99999999999545,timed,1490.0,1491.6,899.0,Initial Jobless Claims,1
2017-11-09 08:30:00,50.0,timed,1472.0,1473.0,884.0,Initial Jobless Claims,1
2017-11-16 08:30:00,0.0,timed,1469.8,1469.8,900.0,Initial Jobless Claims,1
2017-11-30 08:30:00,-25.0,timed,1548.6,1548.1,877.0,Initial Jobless Claims,1
2017-12-07 08:30:00,15.000000000009095,timed,1509.6,1509.9,896.0,Initial Jobless Claims,1
2017-12-21 08:30:00,19.99999999999318,timed,1544.7,1545.1,886.0,Initial Jobless Claims,1
2017-12-28 08:30:00,-14.999999999997726,timed,1545.5,1545.2,896.0,Initial Jobless Claims,1
2018-01-04 08:30:00,15.000000000009095,timed,1562.1,1562.4,900.0,Initial Jobless Claims,1
2018-01-11 08:30:00,-44.99999999999318,timed,1563.3,1562.4,898.0,Initial Jobless Claims,1
2018-01-18 08:30:00,-35.000000000002274,timed,1586.2,1585.5,900.0,Initial Jobless Claims,1
2018-01-25 08:30:00,-29.999999999995453,timed,1609.5,1608.9,900.0,Initial Jobless Claims,1
2018-02-01 08:30:00,-78.72999999999593,stopped_post,1574.6,1573.0254,16.0,Initial Jobless Claims,1
2018-02-08 08:30:00,-79.99999999999545,stopped_pre,1508.6,1507.0,-168.0,Initial Jobless Claims,1
2018-02-15 08:30:00,-76.37499999999591,stopped_post,1527.5,1525.9725,3.0,Initial Jobless Claims,1
2018-02-22 08:30:00,160.00000000000227,timed,1531.3,1534.5,881.0,Initial Jobless Claims,1
2018-03-01 08:30:00,220.00000000000455,timed,1505.1,1509.5,899.0,Initial Jobless Claims,1
2018-03-08 08:30:00,-25.0,timed,1577.2,1576.7,893.0,Initial Jobless Claims,1
2018-03-15 08:30:00,89.99999999999773,timed,1589.0,1590.8,899.0,Initial Jobless Claims,1
2018-03-22 08:30:00,-78.66999999999962,stopped_post,1573.4,1571.8266,221.0,Initial Jobless Claims,1
2018-03-29 08:30:00,50.0,timed,1522.3,1523.3,898.0,Initial Jobless Claims,1
2018-04-05 08:30:00,-80.00000000000682,stopped_post,1541.9,1540.3,93.0,Initial Jobless Claims,1
2018-04-12 08:30:00,4.9999999999954525,timed,1554.7,1554.8,898.0,Initial Jobless Claims,1
2018-04-19 08:30:00,25.0,timed,1584.4,1584.9,900.0,Initial Jobless Claims,1
2018-05-03 08:30:00,100.0,timed,1547.3,1549.3,900.0,Initial Jobless Claims,1
2018-05-17 08:30:00,-14.999999999997726,timed,1617.8,1617.5,898.0,Initial Jobless Claims,1
2018-05-24 08:30:00,30.00000000000682,timed,1627.8,1628.4,900.0,Initial Jobless Claims,1
2018-05-31 08:30:00,-30.00000000000682,timed,1653.7,1653.1,894.0,Initial Jobless Claims,1
2018-06-07 08:30:00,-29.999999999995453,timed,1676.8,1676.2,899.0,Initial Jobless Claims,1
2018-06-21 08:30:00,-85.69499999999834,stopped_post,1713.9,1712.1861000000001,181.0,Initial Jobless Claims,1
2018-06-28 08:30:00,-81.91000000000486,stopped_post,1638.2,1636.5618,22.0,Initial Jobless Claims,1
2018-07-05 08:30:00,-85.00000000000227,stopped_post,1677.3,1675.6,607.0,Initial Jobless Claims,1
2018-07-19 08:30:00,0.0,timed,1688.2,1688.2,868.0,Initial Jobless Claims,1
2018-08-02 08:30:00,60.000000000002274,timed,1661.3,1662.5,891.0,Initial Jobless Claims,1
2018-08-09 08:30:00,20.000000000004547,timed,1689.1,1689.5,898.0,Initial Jobless Claims,1
2018-08-16 08:30:00,-44.99999999999318,timed,1680.8,1679.9,900.0,Initial Jobless Claims,1
2018-08-23 08:30:00,4.9999999999954525,timed,1724.0,1724.1,900.0,Initial Jobless Claims,1
2018-08-30 08:30:00,4.9999999999954525,timed,1733.7,1733.8,895.0,Initial Jobless Claims,1
2018-09-06 08:30:00,-10.000000000002274,timed,1729.8,1729.6,900.0,Initial Jobless Claims,1
2018-09-20 08:30:00,10.000000000002274,timed,1714.5,1714.7,900.0,Initial Jobless Claims,1
2018-10-04 08:30:00,25.0,timed,1666.2,1666.7,884.0,Initial Jobless Claims,1
