set,instrument,lead_min,stop_pct,direction,et,title,pnl_usd,stopped_pre_release,pre_usd,resolution_usd
RELEASES,ES,5,0.1,long,2016-01-08 08:30:00,Non Farm Payrolls,325.0,False,0.0,325.0
RELEASES,ES,5,0.1,long,2016-01-15 08:30:00,Retail Sales MoM,-93.94999999999527,False,87.5,-362.5
RELEASES,ES,5,0.1,long,2016-01-20 08:30:00,Inflation Rate MoM,-92.12499999999864,False,25.0,75.0
RELEASES,ES,5,0.1,long,2016-01-27 14:00:00,Fed Interest Rate Decision,-95.00000000000455,False,200.0,-737.5
RELEASES,ES,5,0.1,long,2016-01-28 08:30:00,Durable Goods Orders MoM,-94.11250000000564,False,-50.0,-212.5
RELEASES,ES,5,0.1,long,2016-02-05 08:30:00,Non Farm Payrolls,-95.2874999999949,False,162.5,-325.0
RELEASES,ES,5,0.1,long,2016-02-12 08:30:00,Retail Sales MoM,287.5,False,37.5,250.0
RELEASES,ES,5,0.1,long,2016-02-19 08:30:00,Inflation Rate MoM,-95.50000000000409,False,25.0,-75.0
RELEASES,ES,5,0.1,long,2016-02-25 08:30:00,Durable Goods Orders MoM,12.5,False,0.0,12.5
RELEASES,ES,5,0.1,long,2016-03-04 08:30:00,Non Farm Payrolls,112.5,False,37.5,75.0
RELEASES,ES,5,0.1,long,2016-03-15 08:30:00,Retail Sales MoM,-99.91250000000491,False,-12.5,-12.5
RELEASES,ES,5,0.1,long,2016-03-16 08:30:00,Inflation Rate MoM,-100.22500000000036,False,0.0,-175.0
RELEASES,ES,5,0.1,long,2016-03-16 14:00:00,Fed Interest Rate Decision,312.5,False,50.0,262.5
RELEASES,ES,5,0.1,long,2016-03-24 08:30:00,Durable Goods Orders MoM,-100.90000000000146,False,0.0,-187.5
RELEASES,ES,5,0.1,long,2016-04-01 08:30:00,Non Farm Payrolls,-102.14999999999463,False,37.5,-137.5
RELEASES,ES,5,0.1,long,2016-04-13 08:30:00,Retail Sales MoM,-103.32499999999527,False,12.5,-112.5
RELEASES,ES,5,0.1,long,2016-04-14 08:30:00,Inflation Rate MoM,162.5,False,-12.5,175.0
RELEASES,ES,5,0.1,long,2016-04-26 08:30:00,Durable Goods Orders MoM,-104.40000000000964,False,-12.5,-75.0
RELEASES,ES,5,0.1,long,2016-04-27 14:00:00,Fed Interest Rate Decision,-104.15000000000418,True,-100.0,337.5
RELEASES,ES,5,0.1,long,2016-05-06 08:30:00,Non Farm Payrolls,-101.92500000000564,False,0.0,-375.0
RELEASES,ES,5,0.1,long,2016-05-13 08:30:00,Retail Sales MoM,150.0,False,0.0,150.0
RELEASES,ES,5,0.1,long,2016-05-17 08:30:00,Inflation Rate MoM,-103.01249999999982,False,0.0,-112.5
RELEASES,ES,5,0.1,long,2016-05-26 08:30:00,Durable Goods Orders MoM,-12.5,False,37.5,-50.0
RELEASES,ES,5,0.1,long,2016-06-03 08:30:00,Non Farm Payrolls,-105.22499999999582,False,25.0,-512.5
RELEASES,ES,5,0.1,long,2016-06-14 08:30:00,Retail Sales MoM,25.0,False,-25.0,50.0
RELEASES,ES,5,0.1,long,2016-06-15 14:00:00,Fed Interest Rate Decision,-103.70000000000346,False,0.0,-25.0
RELEASES,ES,5,0.1,long,2016-06-16 08:30:00,Inflation Rate MoM,0.0,False,0.0,0.0
RELEASES,ES,5,0.1,long,2016-06-24 08:30:00,Durable Goods Orders MoM,87.5,False,137.5,-50.0
RELEASES,ES,5,0.1,long,2016-07-08 08:30:00,Non Farm Payrolls,562.5,False,0.0,562.5
RELEASES,ES,5,0.1,long,2016-07-15 08:30:00,Retail Sales MoM,112.5,False,-12.5,125.0
RELEASES,ES,5,0.1,long,2016-07-27 08:30:00,Durable Goods Orders MoM,37.5,False,37.5,0.0
RELEASES,ES,5,0.1,long,2016-07-27 14:00:00,Fed Interest Rate Decision,-107.86250000001019,False,75.0,100.0
RELEASES,ES,5,0.1,long,2016-08-05 08:30:00,Non Farm Payrolls,200.0,False,-12.5,212.5
RELEASES,ES,5,0.1,long,2016-08-12 08:30:00,Retail Sales MoM,-109.0750000000071,False,-12.5,-112.5
RELEASES,ES,5,0.1,long,2016-08-16 08:30:00,Inflation Rate MoM,-109.13749999999709,False,-25.0,-62.5
RELEASES,ES,5,0.1,long,2016-08-25 08:30:00,Durable Goods Orders MoM,25.0,False,37.5,-12.5
RELEASES,ES,5,0.1,long,2016-09-02 08:30:00,Non Farm Payrolls,350.0,False,12.5,337.5
RELEASES,ES,5,0.1,long,2016-09-15 08:30:00,Retail Sales MoM,-106.12499999999727,False,0.0,-100.0
RELEASES,ES,5,0.1,long,2016-09-16 08:30:00,Inflation Rate MoM,-106.64999999999054,False,12.5,-37.5
RELEASES,ES,5,0.1,long,2016-09-21 14:00:00,Fed Interest Rate Decision,-106.73750000000837,False,25.0,412.5
RELEASES,ES,5,0.1,long,2016-09-28 08:30:00,Durable Goods Orders MoM,-12.5,False,12.5,-25.0
RELEASES,ES,5,0.1,long,2016-10-07 08:30:00,Non Farm Payrolls,-107.62500000000728,False,25.0,175.0
RELEASES,ES,5,0.1,long,2016-10-14 08:30:00,Retail Sales MoM,200.0,False,100.0,100.0
RELEASES,ES,5,0.1,long,2016-10-18 08:30:00,Inflation Rate MoM,162.5,False,12.5,150.0
RELEASES,ES,5,0.1,long,2016-10-27 08:30:00,Durable Goods Orders MoM,25.0,False,-12.5,37.5
RELEASES,ES,5,0.1,long,2016-11-02 14:00:00,Fed Interest Rate Decision,-104.72500000000764,False,37.5,-125.0
RELEASES,ES,5,0.1,long,2016-11-04 08:30:00,Non Farm Payrolls,162.5,False,62.5,100.0
RELEASES,ES,5,0.1,long,2016-11-15 08:30:00,Retail Sales MoM,25.0,False,37.5,-12.5
RELEASES,ES,5,0.1,long,2016-11-17 08:30:00,Inflation Rate MoM,-87.5,False,-25.0,-62.5
RELEASES,ES,5,0.1,long,2016-11-23 08:30:00,Durable Goods Orders MoM,-109.92499999999836,False,50.0,-75.0
RELEASES,ES,5,0.1,long,2016-12-02 08:30:00,Non Farm Payrolls,-109.51250000000528,False,-12.5,-112.5
RELEASES,ES,5,0.1,long,2016-12-14 08:30:00,Retail Sales MoM,-113.33749999998872,False,-50.0,-50.0
RELEASES,ES,5,0.1,long,2016-12-14 14:00:00,Fed Interest Rate Decision,-113.32500000000891,False,100.0,-437.5
RELEASES,ES,5,0.1,long,2016-12-15 08:30:00,Inflation Rate MoM,112.5,False,0.0,112.5
RELEASES,ES,5,0.1,long,2016-12-22 08:30:00,Durable Goods Orders MoM,-75.0,False,-12.5,-62.5
RELEASES,ES,5,0.1,long,2017-01-06 08:30:00,Non Farm Payrolls,137.5,False,-12.5,150.0
RELEASES,ES,5,0.1,long,2017-01-13 08:30:00,Retail Sales MoM,75.0,False,-12.5,87.5
RELEASES,ES,5,0.1,long,2017-01-18 08:30:00,Inflation Rate MoM,0.0,False,37.5,-37.5
RELEASES,ES,5,0.1,long,2017-01-27 08:30:00,Durable Goods Orders MoM,-50.0,False,12.5,-62.5
RELEASES,ES,5,0.1,long,2017-02-01 14:00:00,Fed Interest Rate Decision,-113.59999999999673,False,-12.5,200.0
RELEASES,ES,5,0.1,long,2017-02-03 08:30:00,Non Farm Payrolls,250.0,False,25.0,225.0
RELEASES,ES,5,0.1,long,2017-02-15 08:30:00,Inflation Rate MoM,-25.0,False,37.5,-62.5
RELEASES,ES,5,0.1,long,2017-02-27 08:30:00,Durable Goods Orders MoM,75.0,False,0.0,75.0
RELEASES,ES,5,0.1,long,2017-03-10 08:30:00,Non Farm Payrolls,137.5,False,50.0,87.5
RELEASES,ES,5,0.1,long,2017-03-15 08:30:00,Retail Sales MoM,0.0,False,-50.0,50.0
RELEASES,ES,5,0.1,long,2017-03-15 14:00:00,Fed Interest Rate Decision,337.5,False,-50.0,387.5
RELEASES,ES,5,0.1,long,2017-03-24 08:30:00,Durable Goods Orders MoM,25.0,False,25.0,0.0
RELEASES,ES,5,0.1,long,2017-04-07 08:30:00,Non Farm Payrolls,-117.53750000000309,False,50.0,-262.5
RELEASES,ES,5,0.1,long,2017-04-27 08:30:00,Durable Goods Orders MoM,37.5,False,12.5,25.0
RELEASES,ES,5,0.1,long,2017-05-03 14:00:00,Fed Interest Rate Decision,112.5,False,37.5,75.0
RELEASES,ES,5,0.1,long,2017-05-05 08:30:00,Non Farm Payrolls,162.5,False,-37.5,200.0
RELEASES,ES,5,0.1,long,2017-05-12 08:30:00,Retail Sales MoM,75.0,False,25.0,50.0
RELEASES,ES,5,0.1,long,2017-05-26 08:30:00,Durable Goods Orders MoM,62.5,False,-12.5,75.0
RELEASES,ES,5,0.1,long,2017-06-02 08:30:00,Non Farm Payrolls,-121.70000000000982,False,12.5,-225.0
RELEASES,ES,5,0.1,long,2017-06-14 08:30:00,Inflation Rate MoM,150.0,False,-12.5,162.5
RELEASES,ES,5,0.1,long,2017-06-14 14:00:00,Fed Interest Rate Decision,-121.82499999998981,False,-12.5,12.5
RELEASES,ES,5,0.1,long,2017-06-26 08:30:00,Durable Goods Orders MoM,-50.0,False,-25.0,-25.0
RELEASES,ES,5,0.1,long,2017-07-07 08:30:00,Non Farm Payrolls,137.5,False,-75.0,212.5
RELEASES,ES,5,0.1,long,2017-07-14 08:30:00,Retail Sales MoM,100.0,False,62.5,37.5
RELEASES,ES,5,0.1,long,2017-07-26 14:00:00,Fed Interest Rate Decision,25.0,False,-87.5,112.5
RELEASES,ES,5,0.1,long,2017-07-27 08:30:00,Durable Goods Orders MoM,0.0,False,12.5,-12.5
RELEASES,ES,5,0.1,long,2017-08-04 08:30:00,Non Farm Payrolls,12.5,False,-37.5,50.0
RELEASES,ES,5,0.1,long,2017-08-11 08:30:00,Inflation Rate MoM,137.5,False,-37.5,175.0
RELEASES,ES,5,0.1,long,2017-08-15 08:30:00,Retail Sales MoM,-12.5,False,-12.5,0.0
RELEASES,ES,5,0.1,long,2017-08-25 08:30:00,Durable Goods Orders MoM,-25.0,False,25.0,-50.0
