set,instrument,lead_min,stop_pct,direction,et,title,pnl_usd,stopped_pre_release,pre_usd,resolution_usd
RELEASES,GC,5,0.1,long,2016-01-08 08:30:00,Non Farm Payrolls,-109.84000000000833,True,50.0,-270.00000000000455
RELEASES,GC,5,0.1,long,2016-01-15 08:30:00,Retail Sales MoM,450.0,False,-50.0,500.0
RELEASES,GC,5,0.1,long,2016-01-20 08:30:00,Inflation Rate MoM,350.0,False,79.99999999999545,270.00000000000455
RELEASES,GC,5,0.1,long,2016-01-27 14:00:00,Fed Interest Rate Decision,650.0,False,100.0,550.0
RELEASES,GC,5,0.1,long,2016-01-28 08:30:00,Durable Goods Orders MoM,340.0000000000091,False,9.999999999990905,330.0000000000182
RELEASES,GC,5,0.1,long,2016-02-05 08:30:00,Non Farm Payrolls,-115.94000000000051,True,-90.0000000000091,-659.9999999999909
RELEASES,GC,5,0.1,long,2016-02-12 08:30:00,Retail Sales MoM,-124.03999999999087,False,-20.000000000004547,-479.99999999999545
RELEASES,GC,5,0.1,long,2016-02-19 08:30:00,Inflation Rate MoM,-122.849999999994,False,159.9999999999909,-300.0
RELEASES,GC,5,0.1,long,2016-02-25 08:30:00,Durable Goods Orders MoM,-123.8700000000108,True,-200.0,20.000000000004547
RELEASES,GC,5,0.1,long,2016-03-04 08:30:00,Non Farm Payrolls,-126.08999999999924,False,59.999999999990905,-170.00000000000455
RELEASES,GC,5,0.1,long,2016-03-15 08:30:00,Retail Sales MoM,500.0,False,70.00000000000455,429.99999999999545
RELEASES,GC,5,0.1,long,2016-03-16 08:30:00,Inflation Rate MoM,-123.45000000000255,True,-70.00000000000455,-489.99999999998636
RELEASES,GC,5,0.1,long,2016-03-16 14:00:00,Fed Interest Rate Decision,1700.0,False,40.000000000009095,1659.999999999991
RELEASES,GC,5,0.1,long,2016-03-24 08:30:00,Durable Goods Orders MoM,239.99999999998636,False,79.99999999999545,159.9999999999909
RELEASES,GC,5,0.1,long,2016-04-01 08:30:00,Non Farm Payrolls,-123.25000000000728,False,200.0,-1000.0
RELEASES,GC,5,0.1,long,2016-04-13 08:30:00,Retail Sales MoM,279.99999999999545,False,-70.00000000000455,350.0
RELEASES,GC,5,0.1,long,2016-04-14 08:30:00,Inflation Rate MoM,110.00000000001364,False,40.000000000009095,70.00000000000455
RELEASES,GC,5,0.1,long,2016-04-26 08:30:00,Durable Goods Orders MoM,250.0,False,-20.000000000004547,270.00000000000455
RELEASES,GC,5,0.1,long,2016-04-27 14:00:00,Fed Interest Rate Decision,-125.10999999999513,False,30.00000000001819,-630.0000000000182
RELEASES,GC,5,0.1,long,2016-05-06 08:30:00,Non Farm Payrolls,-128.00999999999476,True,460.00000000001364,779.9999999999955
RELEASES,GC,5,0.1,long,2016-05-13 08:30:00,Retail Sales MoM,-127.25000000000364,True,-220.00000000000455,-220.00000000000455
RELEASES,GC,5,0.1,long,2016-05-17 08:30:00,Inflation Rate MoM,-127.3300000000063,False,-20.000000000004547,270.00000000000455
RELEASES,GC,5,0.1,long,2016-05-26 08:30:00,Durable Goods Orders MoM,-122.63000000000375,False,0.0,150.0
RELEASES,GC,5,0.1,long,2016-06-03 08:30:00,Non Farm Payrolls,2079.9999999999955,False,100.0,1979.9999999999955
RELEASES,GC,5,0.1,long,2016-06-14 08:30:00,Retail Sales MoM,-128.76000000001113,False,20.000000000004547,90.0000000000091
RELEASES,GC,5,0.1,long,2016-06-15 14:00:00,Fed Interest Rate Decision,-128.85000000001128,True,-90.0000000000091,690.0000000000091
RELEASES,GC,5,0.1,long,2016-06-16 08:30:00,Inflation Rate MoM,-131.0899999999947,True,-150.0,369.9999999999818
RELEASES,GC,5,0.1,long,2016-06-24 08:30:00,Durable Goods Orders MoM,-132.69000000000233,False,29.999999999995453,-10.000000000013642
RELEASES,GC,5,0.1,long,2016-07-08 08:30:00,Non Farm Payrolls,-135.89999999999236,True,-250.0,-1000.0
RELEASES,GC,5,0.1,long,2016-07-15 08:30:00,Retail Sales MoM,-133.47000000001117,False,-40.000000000009095,-520.0000000000045
RELEASES,GC,5,0.1,long,2016-07-27 08:30:00,Durable Goods Orders MoM,179.99999999999545,False,-40.000000000009095,220.00000000000455
RELEASES,GC,5,0.1,long,2016-07-27 14:00:00,Fed Interest Rate Decision,-132.69000000000233,False,9.999999999990905,-50.0
RELEASES,GC,5,0.1,long,2016-08-05 08:30:00,Non Farm Payrolls,-136.72999999998865,True,-559.9999999999909,-420.00000000000455
RELEASES,GC,5,0.1,long,2016-08-12 08:30:00,Retail Sales MoM,1280.0000000000182,False,50.0,1230.0000000000182
RELEASES,GC,5,0.1,long,2016-08-16 08:30:00,Inflation Rate MoM,-136.0200000000077,True,-10.000000000013642,-689.9999999999864
RELEASES,GC,5,0.1,long,2016-08-25 08:30:00,Durable Goods Orders MoM,-132.4000000000069,False,-29.999999999995453,-129.99999999999545
