set,instrument,lead_min,stop_pct,direction,et,title,pnl_usd,stopped_pre_release,pre_usd,resolution_usd
RELEASES,NQ,5,0.1,long,2016-01-08 08:30:00,Non Farm Payrolls,175.0,False,-45.0,220.0
RELEASES,NQ,5,0.1,long,2016-01-15 08:30:00,Retail Sales MoM,-83.43000000000757,False,75.0,-445.0
RELEASES,NQ,5,0.1,long,2016-01-20 08:30:00,Inflation Rate MoM,-81.32999999999811,False,10.0,100.0
RELEASES,NQ,5,0.1,long,2016-01-27 14:00:00,Fed Interest Rate Decision,-83.76500000000306,False,155.0,-580.0
RELEASES,NQ,5,0.1,long,2016-01-28 08:30:00,Durable Goods Orders MoM,-83.20999999999913,False,-25.0,-190.0
RELEASES,NQ,5,0.1,long,2016-02-05 08:30:00,Non Farm Payrolls,-83.03499999999985,False,85.0,-240.0
RELEASES,NQ,5,0.1,long,2016-02-12 08:30:00,Retail Sales MoM,195.0,False,30.0,165.0
RELEASES,NQ,5,0.1,long,2016-02-19 08:30:00,Inflation Rate MoM,-82.81999999999243,False,50.0,-85.0
RELEASES,NQ,5,0.1,long,2016-02-25 08:30:00,Durable Goods Orders MoM,30.0,False,-10.0,40.0
RELEASES,NQ,5,0.1,long,2016-03-04 08:30:00,Non Farm Payrolls,75.0,False,25.0,50.0
RELEASES,NQ,5,0.1,long,2016-03-15 08:30:00,Retail Sales MoM,-86.86499999999796,False,-10.0,-30.0
RELEASES,NQ,5,0.1,long,2016-03-16 08:30:00,Inflation Rate MoM,-87.12999999999738,False,5.0,-160.0
RELEASES,NQ,5,0.1,long,2016-03-16 14:00:00,Fed Interest Rate Decision,230.0,False,85.0,145.0
RELEASES,NQ,5,0.1,long,2016-03-24 08:30:00,Durable Goods Orders MoM,-87.46999999999389,False,-5.0,-130.0
RELEASES,NQ,5,0.1,long,2016-04-01 08:30:00,Non Farm Payrolls,-89.21000000000276,False,-15.0,-115.0
RELEASES,NQ,5,0.1,long,2016-04-13 08:30:00,Retail Sales MoM,-90.43999999999869,False,5.0,-80.0
RELEASES,NQ,5,0.1,long,2016-04-14 08:30:00,Inflation Rate MoM,125.0,False,-10.0,135.0
RELEASES,NQ,5,0.1,long,2016-04-26 08:30:00,Durable Goods Orders MoM,-50.0,False,-10.0,-40.0
RELEASES,NQ,5,0.1,long,2016-04-27 14:00:00,Fed Interest Rate Decision,-87.77500000000146,True,-90.0,285.0
RELEASES,NQ,5,0.1,long,2016-05-06 08:30:00,Non Farm Payrolls,-85.8599999999933,False,5.0,-420.0
RELEASES,NQ,5,0.1,long,2016-05-13 08:30:00,Retail Sales MoM,240.0,False,20.0,220.0
RELEASES,NQ,5,0.1,long,2016-05-17 08:30:00,Inflation Rate MoM,-87.4749999999949,False,10.0,-90.0
RELEASES,NQ,5,0.1,long,2016-05-26 08:30:00,Durable Goods Orders MoM,-30.0,False,25.0,-55.0
RELEASES,NQ,5,0.1,long,2016-06-03 08:30:00,Non Farm Payrolls,-90.625,False,15.0,-290.0
RELEASES,NQ,5,0.1,long,2016-06-14 08:30:00,Retail Sales MoM,0.0,False,-20.0,20.0
RELEASES,NQ,5,0.1,long,2016-06-15 14:00:00,Fed Interest Rate Decision,-88.48500000000058,False,-5.0,20.0
RELEASES,NQ,5,0.1,long,2016-06-16 08:30:00,Inflation Rate MoM,15.0,False,5.0,10.0
RELEASES,NQ,5,0.1,long,2016-06-24 08:30:00,Durable Goods Orders MoM,60.0,False,85.0,-25.0
RELEASES,NQ,5,0.1,long,2016-07-08 08:30:00,Non Farm Payrolls,410.0,False,5.0,405.0
RELEASES,NQ,5,0.1,long,2016-07-15 08:30:00,Retail Sales MoM,50.0,False,30.0,20.0
RELEASES,NQ,5,0.1,long,2016-07-27 08:30:00,Durable Goods Orders MoM,40.0,False,35.0,5.0
RELEASES,NQ,5,0.1,long,2016-07-27 14:00:00,Fed Interest Rate Decision,-93.76500000000306,False,35.0,60.0
RELEASES,NQ,5,0.1,long,2016-08-05 08:30:00,Non Farm Payrolls,280.0,False,60.0,220.0
RELEASES,NQ,5,0.1,long,2016-08-12 08:30:00,Retail Sales MoM,-90.0,False,-10.0,-80.0
RELEASES,NQ,5,0.1,long,2016-08-16 08:30:00,Inflation Rate MoM,-75.0,False,-15.0,-60.0
RELEASES,NQ,5,0.1,long,2016-08-25 08:30:00,Durable Goods Orders MoM,20.0,False,10.0,10.0
RELEASES,NQ,5,0.1,long,2016-09-02 08:30:00,Non Farm Payrolls,315.0,False,15.0,300.0
RELEASES,NQ,5,0.1,long,2016-09-15 08:30:00,Retail Sales MoM,-94.98999999999796,False,5.0,-55.0
RELEASES,NQ,5,0.1,long,2016-09-16 08:30:00,Inflation Rate MoM,-96.10000000000582,False,5.0,-15.0
RELEASES,NQ,5,0.1,long,2016-09-21 14:00:00,Fed Interest Rate Decision,-96.02500000000873,False,80.0,360.0
RELEASES,NQ,5,0.1,long,2016-09-28 08:30:00,Durable Goods Orders MoM,-25.0,False,15.0,-40.0
RELEASES,NQ,5,0.1,long,2016-10-07 08:30:00,Non Farm Payrolls,-97.2650000000067,False,15.0,160.0
RELEASES,NQ,5,0.1,long,2016-10-14 08:30:00,Retail Sales MoM,145.0,False,60.0,85.0
RELEASES,NQ,5,0.1,long,2016-10-18 08:30:00,Inflation Rate MoM,160.0,False,-10.0,170.0
RELEASES,NQ,5,0.1,long,2016-10-27 08:30:00,Durable Goods Orders MoM,65.0,False,-20.0,85.0
RELEASES,NQ,5,0.1,long,2016-11-02 14:00:00,Fed Interest Rate Decision,-94.56000000000131,False,45.0,-55.0
RELEASES,NQ,5,0.1,long,2016-11-04 08:30:00,Non Farm Payrolls,100.0,False,15.0,85.0
RELEASES,NQ,5,0.1,long,2016-11-15 08:30:00,Retail Sales MoM,165.0,False,60.0,105.0
RELEASES,NQ,5,0.1,long,2016-11-17 08:30:00,Inflation Rate MoM,-95.79999999999927,False,-25.0,-115.0
RELEASES,NQ,5,0.1,long,2016-11-23 08:30:00,Durable Goods Orders MoM,-97.3949999999968,False,30.0,-145.0
RELEASES,NQ,5,0.1,long,2016-12-02 08:30:00,Non Farm Payrolls,-94.58000000000538,False,10.0,-95.0
