set,instrument,lead_min,stop_pct,direction,n,gross_mean,gross_ci_lo,gross_ci_hi,gross_sd,mde_usd,stopped_pre_release,stopped_total,net_optimistic,net_realistic,net_stressed
RELEASES,ES,5,0.1,long,574,37.207055749129154,0.15601278160838206,74.25809871664993,452.8979057823522,52.930061382172525,0.08188153310104529,0.5505226480836237,22.207055749129154,9.707055749129154,-15.292944250870846
RELEASES,ES,5,0.1,short,574,-17.487020905923302,-51.34393255739529,16.369890745548688,413.8540552462031,48.36701664495999,0.11672473867595819,0.5853658536585366,-32.4870209059233,-44.9870209059233,-69.9870209059233
RELEASES,ES,5,0.2,long,574,41.30583623693368,-1.3661892328550351,83.9778617067224,521.606665369714,60.96003638541245,0.017421602787456445,0.313588850174216,26.30583623693368,13.80583623693368,-11.19416376306632
RELEASES,ES,5,0.2,short,574,-40.27460801393695,-82.75539100533311,2.206174977459213,519.2689898004584,60.68683284485166,0.0313588850174216,0.3693379790940767,-55.27460801393695,-67.77460801393696,-92.77460801393696
RELEASES,ES,5,0.4,long,574,64.12874564459936,16.373637154928623,111.88385413427011,583.7403455643703,68.22158355667248,0.003484320557491289,0.1132404181184669,49.12874564459936,36.62874564459936,11.628745644599363
RELEASES,ES,5,0.4,short,574,-48.15322299651538,-103.83477035130198,7.528324358271227,680.6301298943209,79.54506764969516,0.008710801393728223,0.17247386759581881,-63.15322299651538,-75.65322299651538,-100.65322299651538
RELEASES,ES,15,0.1,long,574,40.16846689895453,3.7475153095597165,76.58941848834934,445.1959075996042,52.02993084199258,0.17073170731707318,0.5522648083623694,25.168466898954527,12.668466898954527,-12.331533101045473
RELEASES,ES,15,0.1,short,574,-39.40707752613277,-70.37547496611316,-8.438680086152381,378.5459523581443,44.24056777140055,0.22473867595818817,0.6132404181184669,-54.40707752613277,-66.90707752613277,-91.90707752613277
RELEASES,ES,15,0.2,long,574,60.28262195121941,17.436062081452327,103.1291818209865,523.7401077212958,61.209371242524405,0.033101045296167246,0.30313588850174217,45.28262195121941,32.78262195121941,7.7826219512194115
RELEASES,ES,15,0.2,short,574,-51.06554878048786,-94.02051845815583,-8.11057910281989,525.0652681225189,61.36424239666852,0.06445993031358885,0.38501742160278746,-66.06554878048786,-78.56554878048786,-103.56554878048786
RELEASES,ES,15,0.4,long,574,81.01794425087117,31.771367714866457,130.2645207868759,601.971485651792,70.35225219429245,0.0017421602787456446,0.12020905923344948,66.01794425087117,53.51794425087117,28.517944250871167
RELEASES,ES,15,0.4,short,574,-74.30548780487791,-127.98741007729245,-20.623565532463367,656.1874708050734,76.68846038916364,0.013937282229965157,0.18989547038327526,-89.30548780487791,-101.80548780487791,-126.80548780487791
