set,instrument,lead_min,stop_pct,direction,n,gross_mean,gross_ci_lo,gross_ci_hi,gross_sd,mde_usd,stopped_pre_release,stopped_total,net_optimistic,net_realistic,net_stressed
RELEASES,GC,5,0.1,long,571,52.13658493870389,2.44461572492569,101.8285541524821,605.8263939499399,70.98852744825457,0.1786339754816112,0.6882661996497373,39.63658493870389,29.63658493870389,9.63658493870389
RELEASES,GC,5,0.1,short,571,5.7033099824867985,-41.544171583350575,52.950791548324176,576.0240906756205,67.49640223691054,0.18213660245183888,0.7215411558669002,-6.7966900175132015,-16.7966900175132,-36.7966900175132
RELEASES,GC,5,0.2,long,571,67.18059544658512,4.1161631030243555,130.24502779014588,768.8585950143004,90.0920462050868,0.03327495621716287,0.4921190893169877,54.680595446585116,44.680595446585116,24.680595446585116
RELEASES,GC,5,0.2,short,571,-25.402556917687523,-80.63593630232309,29.83082246694804,673.3852489183438,78.90482769233651,0.047285464098073555,0.5026269702276708,-37.90255691768752,-47.90255691768752,-67.90255691768752
RELEASES,GC,5,0.4,long,571,65.95642732049045,-7.5944946610022015,139.50734930198308,896.7060581568995,105.07274568784663,0.008756567425569177,0.2521891418563923,53.45642732049045,43.45642732049045,23.456427320490448
RELEASES,GC,5,0.4,short,571,-50.28525394045521,-117.04035551328465,16.469847632374233,813.8538903468486,95.36443081832778,0.0070052539404553416,0.26970227670753066,-62.78525394045521,-72.78525394045522,-92.78525394045522
RELEASES,GC,15,0.1,long,571,21.9127145359016,-31.552498413130998,75.37792748493419,651.8284075910001,76.37887564147513,0.4080560420315236,0.7425569176882661,9.4127145359016,-0.5872854640984002,-20.5872854640984
RELEASES,GC,15,0.1,short,571,-6.728739054291117,-44.876153380369374,31.418675271787137,465.079384563297,54.496306180111795,0.36427320490367776,0.7320490367775832,-19.22873905429112,-29.22873905429112,-49.22873905429112
RELEASES,GC,15,0.2,long,571,37.73040280210225,-26.784522672383332,102.24532827658783,786.542479087739,92.1641792492651,0.15061295971978983,0.5499124343257443,25.230402802102248,15.230402802102248,-4.7695971978977525
RELEASES,GC,15,0.2,short,571,-0.4694921190893742,-57.84228733874143,56.90330310056268,699.4682277375464,81.96113602807436,0.07880910683012259,0.521891418563923,-12.969492119089374,-22.969492119089374,-42.969492119089374
RELEASES,GC,15,0.4,long,571,46.86164623467635,-28.610012368022304,122.33330483737501,920.1229796306047,107.81665514671235,0.02276707530647986,0.27495621716287216,34.36164623467635,24.36164623467635,4.36164623467635
RELEASES,GC,15,0.4,short,571,-30.151033274955928,-97.77769108880216,37.475624538890294,824.4795866711022,96.60951116263746,0.012259194395796848,0.2732049036777583,-42.65103327495593,-52.65103327495593,-72.65103327495592
RELEASES,GC,30,0.1,long,571,13.769999999999888,-33.76495675958482,61.3049567595846,579.5288835573185,67.907081085121,0.4903677758318739,0.7460595446584939,1.2699999999998877,-8.730000000000112,-28.73000000000011
RELEASES,GC,30,0.1,short,571,-14.318091068301865,-52.190410228098585,23.55422809149486,461.72552446843093,54.103313085423885,0.4763572679509632,0.7565674255691769,-26.818091068301865,-36.81809106830187,-56.81809106830187
RELEASES,GC,30,0.2,long,571,16.912924693521006,-42.36589250560391,76.19174189264592,722.7057536573925,84.68402457017845,0.2084063047285464,0.5551663747810858,4.412924693521006,-5.587075306478994,-25.587075306478994
RELEASES,GC,30,0.2,short,571,-12.440105078809605,-65.71845707632781,40.83824691870859,649.5502669131976,76.111931425026,0.19614711033274956,0.5464098073555166,-24.940105078809605,-34.94010507880961,-54.94010507880961
RELEASES,GC,30,0.4,long,571,23.617723292470014,-49.81927896608141,97.05472555102145,895.317190377232,104.91000322650204,0.05604203152364273,0.30823117338003503,11.117723292470014,1.1177232924700142,-18.882276707529986
RELEASES,GC,30,0.4,short,571,-40.02612959719824,-104.53453571937516,24.48227652497868,786.4629975183319,92.15486588882418,0.024518388791593695,0.29246935201401053,-52.52612959719824,-62.52612959719824,-82.52612959719823
CONTROL,GC,5,0.1,long,547,25.027202925045113,-2.9283273119110724,52.982733162001296,333.5840874261238,39.93647176708026,0.10054844606946983,0.3510054844606947,12.527202925045113,2.5272029250451133,-17.472797074954887
CONTROL,GC,5,0.1,short,547,-4.528903107861081,-27.36474601038638,18.30693979466422,272.49255337589494,32.62263271789328,0.113345521023766,0.38939670932358317,-17.02890310786108,-27.02890310786108,-47.02890310786108
CONTROL,GC,5,0.2,long,547,38.1777696526502,6.653464772439495,69.7020745328609,376.1690937740188,45.03472125744386,0.005484460694698354,0.12431444241316271,25.6777696526502,15.677769652650198,-4.322230347349802
CONTROL,GC,5,0.2,short,547,-15.923839122486243,-42.97349443400272,11.125816189030232,322.774581837654,38.64236473073782,0.025594149908592323,0.13893967093235832,-28.423839122486243,-38.42383912248624,-58.42383912248624
CONTROL,GC,5,0.4,long,547,33.084680073125625,-0.7258109368922447,66.8951710831435,403.4493960016549,48.30070144288267,0.0,0.025594149908592323,20.584680073125625,10.584680073125625,-9.415319926874375
