title,et,unverified,jump_pct,res_pct,pred,abs_fp
Non Farm Payrolls,2019-09-06 08:30:00,False,0.09228740936058609,0.03295978905735003,0.10315798687779593,1.0
Inflation Rate MoM,2019-09-12 08:30:00,False,0.006343970056455564,0.1014970819588879,0.08420006717827605,0.19999999999999998
Retail Sales MoM,2019-09-13 08:30:00,False,0.037761973692485934,0.01888098684625728,0.05204606274633948,0.6000000000000001
Durable Goods Orders MoM,2019-09-27 08:30:00,False,0.03893322951139683,0.006488871585240182,0.00999554019671908,3.0
Non Farm Payrolls,2019-10-04 08:30:00,False,0.5000337860666169,0.6285482562854948,0.09228740936058609,23.0
Inflation Rate MoM,2019-10-10 08:30:00,False,0.027006954290736008,0.1012965964343598,0.06598046978094484,0.0
Retail Sales MoM,2019-10-16 08:30:00,False,0.07220216606497598,0.1378133613335024,0.052035904774306085,0.3
Durable Goods Orders MoM,2019-10-24 08:30:00,False,0.01284274064085568,0.05137096256340811,0.013575889220747046,1.1
Non Farm Payrolls,2019-11-01 08:30:00,False,0.2557381241608593,0.4731457800511567,0.11286819924224673,91.0
Inflation Rate MoM,2019-11-13 08:30:00,False,0.0,0.006301991429285925,0.05552580890373768,0.3
Retail Sales MoM,2019-11-15 08:30:00,False,0.04386239739332323,0.050125313283205165,0.05204606274633948,0.5
Durable Goods Orders MoM,2019-11-27 08:30:00,False,0.06139112284363681,0.09208668426545522,0.013209314930801363,0.5999999999999999
Non Farm Payrolls,2019-12-06 08:30:00,False,0.2778635381290522,0.6545230009262062,0.13344898912390737,24.0
Inflation Rate MoM,2019-12-11 08:30:00,False,0.00611658205394269,0.042813455657495135,0.04507114802653052,0.2
Retail Sales MoM,2019-12-13 08:30:00,False,0.0,0.030237058538945333,0.052035904774306085,0.09999999999999998
Durable Goods Orders MoM,2019-12-23 08:30:00,False,0.0,0.023857807467499166,0.013575889220747046,1.3
Non Farm Payrolls,2020-01-10 08:30:00,False,0.0419689429821959,0.25179856115108185,0.13888876668686498,92.0
Inflation Rate MoM,2020-01-14 08:30:00,False,0.05998440405494572,0.04198908283846473,0.03603905115863326,0.0
Retail Sales MoM,2020-01-16 08:30:00,False,0.023587687227272728,0.14741435226133615,0.05144868542803149,0.0
Durable Goods Orders MoM,2020-01-28 08:30:00,False,0.030158634417033595,0.05427899402930243,0.013209314930801363,3.5
Fed Interest Rate Decision,2020-01-29 14:00:00,False,0.036205648081108883,0.012068549360369628,0.022395200459743803,0.0
Non Farm Payrolls,2020-02-07 08:30:00,False,0.10139568173685111,0.20280345958843368,0.13344898912390737,13.0
Inflation Rate MoM,2020-02-13 08:30:00,False,0.017849705479856877,0.07734872374605548,0.04507114802653052,0.0
Retail Sales MoM,2020-02-14 08:30:00,False,0.05295986818877786,0.21768547390716275,0.05086146608175691,0.09999999999999998
Durable Goods Orders MoM,2020-02-27 08:30:00,False,0.04576359832636281,0.013076168682578979,0.013575889220747046,4.4
Non Farm Payrolls,2020-03-06 08:30:00,False,0.09770395701024939,0.013970382788491581,0.11742233543037925,98.0
Inflation Rate MoM,2020-03-11 08:30:00,False,0.030663089306254575,0.1686469911843653,0.03603905115863326,0.1
Retail Sales MoM,2020-03-17 08:30:00,False,0.0,0.0,0.05144868542803149,0.39999999999999997
Durable Goods Orders MoM,2020-03-25 08:30:00,False,0.04642956634785031,0.10213556174558115,0.021867261818890323,0.9
Non Farm Payrolls,2020-04-03 08:30:00,False,0.0,0.30927835051545965,0.10139568173685111,375.0
Retail Sales MoM,2020-04-15 08:30:00,False,0.0587445451493828,0.830815709969777,0.05086146608175691,7.6
Durable Goods Orders MoM,2020-04-24 08:30:00,False,0.1238850346878097,0.48732138432310756,0.030158634417033595,13.0
Fed Interest Rate Decision,2020-04-29 14:00:00,False,0.05138368934889859,0.3524229074889835,0.025467974022672292,0.0
Non Farm Payrolls,2020-05-08 08:30:00,False,0.6004618937644307,0.6544502617801047,0.09954981937355026,21130.0
Inflation Rate MoM,2020-05-12 08:30:00,False,0.015077271013949903,0.18096817976171495,0.030663089306254575,0.4
Retail Sales MoM,2020-05-15 08:30:00,False,0.14798980514675283,0.2630281111293807,0.05144868542803149,3.6999999999999993
Durable Goods Orders MoM,2020-05-28 08:30:00,False,0.020738282870175206,0.08295313148071655,0.03454593196421521,2.3999999999999986
Non Farm Payrolls,2020-06-05 08:30:00,False,0.7744039127776708,2.2001901398886385,0.10139568173685111,12687.0
Inflation Rate MoM,2020-06-10 08:30:00,False,0.05301524188203807,0.02650937769234963,0.028835021798495293,0.8
Fed Interest Rate Decision,2020-06-10 14:00:00,False,0.17571129282963685,0.8785564641481381,0.030836811051890588,0.0
Retail Sales MoM,2020-06-16 08:30:00,False,0.37581141100102494,0.7791675210170249,0.052035904774306085,22.7
Durable Goods Orders MoM,2020-06-25 08:30:00,False,0.15955903684363543,0.09430540442509644,0.030158634417033595,29.0
Non Farm Payrolls,2020-07-02 08:30:00,False,0.6808392385716239,0.8756080611535726,0.11742233543037925,301.0
Inflation Rate MoM,2020-07-14 08:30:00,False,0.14213630872006255,0.19185674696227142,0.030663089306254575,0.6
Retail Sales MoM,2020-07-16 08:30:00,False,0.1292429086456611,0.31284004352558054,0.05204606274633948,13.2
Durable Goods Orders MoM,2020-07-27 08:30:00,False,0.0408218805279568,0.33337869097835515,0.03454593196421521,8.1
Fed Interest Rate Decision,2020-07-29 14:00:00,False,0.10749798441278613,0.13434540202861556,0.036205648081108883,0.0
Non Farm Payrolls,2020-08-07 08:30:00,False,0.26645869890166435,0.1689847913687857,0.13344898912390737,3200.0
Inflation Rate MoM,2020-08-12 08:30:00,False,0.006285355122558708,0.3393665158370955,0.037867118666392544,0.3
Retail Sales MoM,2020-08-14 08:30:00,False,0.08272351256760767,0.03182281059063136,0.05205622071837288,6.5
Durable Goods Orders MoM,2020-08-26 08:30:00,False,0.0,0.006380399412997451,0.03893322951139683,3.4000000000000004
Non Farm Payrolls,2020-09-04 08:30:00,False,0.07038648579472159,0.3775033591400514,0.13888876668686498,334.0
Inflation Rate MoM,2020-09-11 08:30:00,False,0.02647954455183973,0.03969304048689528,0.030663089306254575,0.3
Retail Sales MoM,2020-09-16 08:30:00,False,0.045248868778283484,0.20682523267838968,0.052508044453575375,0.09999999999999998
Fed Interest Rate Decision,2020-09-16 14:00:00,False,0.019235701461910396,0.4167735316747885,0.04379466871500373,0.0
Durable Goods Orders MoM,2020-09-25 08:30:00,False,0.04167534903105761,0.013890818169193324,0.03454593196421521,10.2
Non Farm Payrolls,2020-10-02 08:30:00,False,0.19240976645435848,0.4644065547668016,0.13344898912390737,639.0
Inflation Rate MoM,2020-10-13 08:30:00,False,0.0,0.018349746161855886,0.028835021798495293,0.2
Retail Sales MoM,2020-10-16 08:30:00,False,0.08543878921030704,0.23800805565727398,0.05205622071837288,0.09999999999999998
Durable Goods Orders MoM,2020-10-27 08:30:00,False,0.043632737019263575,0.08104232903185304,0.03893322951139683,0.09999999999999998
Fed Interest Rate Decision,2020-11-05 14:00:00,False,0.07235017484625862,0.0783982631769361,0.036205648081108883,0.0
Non Farm Payrolls,2020-11-06 08:30:00,False,0.23077857403134838,0.43098215369672865,0.13888876668686498,72.0
Inflation Rate MoM,2020-11-12 08:30:00,False,0.011642798928865146,0.1571777855396464,0.027006954290736008,0.1
Retail Sales MoM,2020-11-17 08:30:00,False,0.011321822813475543,0.27170836635344475,0.052508044453575375,1.1
Durable Goods Orders MoM,2020-11-25 08:30:00,False,0.021649707728950585,0.01082368221669258,0.039046304091298736,1.2000000000000002
Non Farm Payrolls,2020-12-04 08:30:00,False,0.07001292546315999,0.059238515805908186,0.14432854424982258,141.0
Inflation Rate MoM,2020-12-10 08:30:00,False,0.02627430373095113,0.25222006200409625,0.02674324942128787,0.1
Retail Sales MoM,2020-12-16 08:30:00,False,0.06603342307105982,0.11174319382365125,0.05205622071837288,0.19999999999999998
Fed Interest Rate Decision,2020-12-16 14:00:00,False,0.03590111806339345,0.28722367543725374,0.04379466871500373,0.0
Durable Goods Orders MoM,2020-12-23 08:30:00,False,0.06524466750313448,0.14055519301240813,0.03893322951139683,1.2000000000000002
Non Farm Payrolls,2021-01-08 08:30:00,False,0.19502449697951593,0.09041591320072764,0.13888876668686498,265.0
Inflation Rate MoM,2021-01-13 08:30:00,False,0.04719875395289565,0.13686992637340173,0.02647954455183973,0.2
Retail Sales MoM,2021-01-15 08:30:00,False,0.03756397614688369,0.11268134654209544,0.052508044453575375,1.4
Durable Goods Orders MoM,2021-01-27 08:30:00,False,0.08087535680303606,0.004757147614286145,0.039046304091298736,0.29999999999999993
Fed Interest Rate Decision,2021-01-27 14:00:00,False,0.11697548193898559,0.23871934094738387,0.036205648081108883,0.0
Non Farm Payrolls,2021-02-05 08:30:00,False,0.09466708740929376,0.14876256592887263,0.13888876668686498,277.0
Inflation Rate MoM,2021-02-10 08:30:00,False,0.0,0.2122774336091338,0.02674324942128787,0.09999999999999998
Retail Sales MoM,2021-02-17 08:30:00,False,0.026445698166447627,0.22478843441468455,0.05204606274633948,2.1
Durable Goods Orders MoM,2021-02-25 08:30:00,False,0.026290421523087772,0.23223205678731848,0.039046304091298736,0.09999999999999987
Non Farm Payrolls,2021-03-05 08:30:00,False,0.3710575139146568,0.913856287980715,0.12286211299333685,16.0
Inflation Rate MoM,2021-03-10 08:30:00,False,0.1953732072288127,0.35517670040845317,0.02637692414139543,0.10000000000000003
Retail Sales MoM,2021-03-16 08:30:00,False,0.05110514884375763,0.012775743122380001,0.05204606274633948,8.1
Fed Interest Rate Decision,2021-03-17 14:00:00,False,0.4392068185771399,1.0133518897055505,0.04379466871500373,0.0
Durable Goods Orders MoM,2021-03-24 08:30:00,False,0.0,0.11783901377809594,0.039046304091298736,2.7
Non Farm Payrolls,2021-04-02 08:30:00,False,0.22104332449160036,1.5202404101113502,0.1469027240956048,179.0
Inflation Rate MoM,2021-04-13 08:30:00,False,0.009027307605498448,0.42422601317806824,0.02674324942128787,0.09999999999999998
Retail Sales MoM,2021-04-15 08:30:00,False,0.07062146892654966,0.09709594845089031,0.05157052680903186,8.600000000000001
Durable Goods Orders MoM,2021-04-26 08:30:00,False,0.0,0.00438327342859249,0.039046304091298736,3.4
Fed Interest Rate Decision,2021-04-28 14:00:00,False,0.060949063996521155,0.23073574227253732,0.05138368934889859,0.0
Non Farm Payrolls,2021-05-07 08:30:00,False,0.1690391459074814,0.56509744593754,0.1469027240956048,208.0
Inflation Rate MoM,2021-05-12 08:30:00,False,0.771243630353954,0.03214400514303247,0.02637692414139543,0.39999999999999997
Retail Sales MoM,2021-05-14 08:30:00,False,0.05496518871380626,0.09160445197636605,0.05204606274633948,9.7
Durable Goods Orders MoM,2021-05-27 08:30:00,False,0.02221136333348141,0.31985784095956543,0.039046304091298736,0.6000000000000001
Non Farm Payrolls,2021-06-04 08:30:00,False,0.24562480810561468,0.2455709524644759,0.18072445618091992,372.0
Inflation Rate MoM,2021-06-10 08:30:00,False,0.20205494174798236,0.32245582355217334,0.02674324942128787,0.4
Retail Sales MoM,2021-06-15 08:30:00,False,0.034411562284935554,0.043016303178904806,0.052508044453575375,1.7000000000000002
Fed Interest Rate Decision,2021-06-16 14:00:00,False,0.477389115528166,0.47300815830585363,0.05616637667270987,0.0
Durable Goods Orders MoM,2021-06-24 08:30:00,False,0.017292810514032725,0.09511868217390604,0.03454593196421521,3.5999999999999996
Non Farm Payrolls,2021-07-02 08:30:00,False,0.22378103886044987,0.4259530160915623,0.19371713171693722,117.0
