set,instrument,et,title,stop,tp,bars_pre_release,long_usd,long_outcome,long_exit_s,short_usd,short_outcome,short_exit_s,straddle_usd,both_stopped
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.05,0.2,107,-43.377500000005966,stopped_pre,-5.0,-43.377500000005966,stopped_pre,-158.0,-86.75500000001193,True
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.05,0.4,107,-43.377500000005966,stopped_pre,-5.0,-43.377500000005966,stopped_pre,-158.0,-86.75500000001193,True
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.05,0.0,107,-43.377500000005966,stopped_pre,-5.0,-43.377500000005966,stopped_pre,-158.0,-86.75500000001193,True
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.1,0.2,107,173.51000000000568,tp,3.0,-86.75499999999374,stopped_post,1.0,86.75500000001193,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.1,0.4,107,347.01999999999316,tp,176.0,-86.75499999999374,stopped_post,1.0,260.2649999999994,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.1,0.0,107,115.0,timed,900.0,-86.75499999999374,stopped_post,1.0,28.245000000006257,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.2,0.2,107,173.51000000000568,tp,3.0,-173.51000000000568,stopped_post,3.0,0.0,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.2,0.4,107,347.01999999999316,tp,176.0,-173.51000000000568,stopped_post,3.0,173.50999999998749,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.2,0.0,107,115.0,timed,900.0,-173.51000000000568,stopped_post,3.0,-58.510000000005675,False
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.05,0.2,112,-40.664999999999054,stopped_post,20.0,-40.664999999999054,stopped_post,78.0,-81.32999999999811,True
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.05,0.4,112,-40.664999999999054,stopped_post,20.0,-40.664999999999054,stopped_post,78.0,-81.32999999999811,True
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.05,0.0,112,-40.664999999999054,stopped_post,20.0,-40.664999999999054,stopped_post,78.0,-81.32999999999811,True
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.1,0.2,112,-81.32999999999811,stopped_post,22.0,-81.32999999999811,stopped_post,81.0,-162.65999999999622,True
