set,instrument,et,title,stop,tp,long_usd,long_outcome,long_t,short_usd,short_outcome,short_t,straddle_usd,both_stopped
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.05,0.2,-43.377500000005966,stopped_pre,105,-43.377500000005966,stopped_pre,56,-86.75500000001193,True
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.05,0.4,-43.377500000005966,stopped_pre,105,-43.377500000005966,stopped_pre,56,-86.75500000001193,True
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.05,0.0,-43.377500000005966,stopped_pre,105,-43.377500000005966,stopped_pre,56,-86.75500000001193,True
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.1,0.2,173.51000000000568,tp,109,-86.75499999999374,stopped_post,107,86.75500000001193,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.1,0.4,347.01999999999316,tp,276,-86.75499999999374,stopped_post,107,260.2649999999994,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.1,0.0,115.0,timed,919,-86.75499999999374,stopped_post,107,28.245000000006257,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.2,0.2,173.51000000000568,tp,109,-173.51000000000568,stopped_post,109,0.0,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.2,0.4,347.01999999999316,tp,276,-173.51000000000568,stopped_post,109,173.50999999998749,False
RELEASES,NQ,2016-01-08 08:30:00,Non Farm Payrolls,0.2,0.0,115.0,timed,919,-173.51000000000568,stopped_post,109,-58.510000000005675,False
RELEASES,NQ,2016-01-15 08:30:00,Retail Sales MoM,0.05,0.2,-41.71500000000378,stopped_post,96,-41.71500000000378,stopped_pre,51,-83.43000000000757,True
RELEASES,NQ,2016-01-15 08:30:00,Retail Sales MoM,0.05,0.4,-41.71500000000378,stopped_post,96,-41.71500000000378,stopped_pre,51,-83.43000000000757,True
RELEASES,NQ,2016-01-15 08:30:00,Retail Sales MoM,0.05,0.0,-41.71500000000378,stopped_post,96,-41.71500000000378,stopped_pre,51,-83.43000000000757,True
RELEASES,NQ,2016-01-15 08:30:00,Retail Sales MoM,0.1,0.2,-83.43000000000757,stopped_post,135,-85.0,stopped_pre,73,-168.43000000000757,True
RELEASES,NQ,2016-01-15 08:30:00,Retail Sales MoM,0.1,0.4,-83.43000000000757,stopped_post,135,-85.0,stopped_pre,73,-168.43000000000757,True
RELEASES,NQ,2016-01-15 08:30:00,Retail Sales MoM,0.1,0.0,-83.43000000000757,stopped_post,135,-85.0,stopped_pre,73,-168.43000000000757,True
RELEASES,NQ,2016-01-15 08:30:00,Retail Sales MoM,0.2,0.2,-166.85999999999694,stopped_post,147,166.85999999999694,tp,147,0.0,False
RELEASES,NQ,2016-01-15 08:30:00,Retail Sales MoM,0.2,0.4,-166.85999999999694,stopped_post,147,335.0,tp,583,168.14000000000306,False
RELEASES,NQ,2016-01-15 08:30:00,Retail Sales MoM,0.2,0.0,-166.85999999999694,stopped_post,147,350.0,timed,851,183.14000000000306,False
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.05,0.2,-40.664999999999054,stopped_post,122,-40.664999999999054,stopped_post,163,-81.32999999999811,True
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.05,0.4,-40.664999999999054,stopped_post,122,-40.664999999999054,stopped_post,163,-81.32999999999811,True
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.05,0.0,-40.664999999999054,stopped_post,122,-40.664999999999054,stopped_post,163,-81.32999999999811,True
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.1,0.2,-81.32999999999811,stopped_post,124,-81.32999999999811,stopped_post,166,-162.65999999999622,True
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.1,0.4,-81.32999999999811,stopped_post,124,-81.32999999999811,stopped_post,166,-162.65999999999622,True
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.1,0.0,-81.32999999999811,stopped_post,124,-81.32999999999811,stopped_post,166,-162.65999999999622,True
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.2,0.2,45.0,timed,525,-45.0,timed,525,0.0,False
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.2,0.4,45.0,timed,525,-45.0,timed,525,0.0,False
RELEASES,NQ,2016-01-20 08:30:00,Inflation Rate MoM,0.2,0.0,45.0,timed,525,-45.0,timed,525,0.0,False
RELEASES,NQ,2016-01-27 14:00:00,Fed Interest Rate Decision,0.05,0.2,170.0,tp,113,-41.877499999991414,stopped_pre,53,128.12250000000859,False
RELEASES,NQ,2016-01-27 14:00:00,Fed Interest Rate Decision,0.05,0.4,335.0200000000041,tp,222,-41.877499999991414,stopped_pre,53,293.14250000001266,False
RELEASES,NQ,2016-01-27 14:00:00,Fed Interest Rate Decision,0.05,0.0,-41.877499999991414,stopped_post,293,-41.877499999991414,stopped_pre,53,-83.75499999998283,True
RELEASES,NQ,2016-01-27 14:00:00,Fed Interest Rate Decision,0.1,0.2,170.0,tp,113,-83.75500000000102,stopped_pre,80,86.24499999999898,False
RELEASES,NQ,2016-01-27 14:00:00,Fed Interest Rate Decision,0.1,0.4,335.0200000000041,tp,222,-83.75500000000102,stopped_pre,80,251.26500000000306,False
RELEASES,NQ,2016-01-27 14:00:00,Fed Interest Rate Decision,0.1,0.0,-83.75500000000102,stopped_post,315,-83.75500000000102,stopped_pre,80,-167.51000000000204,True
RELEASES,NQ,2016-01-27 14:00:00,Fed Interest Rate Decision,0.2,0.2,170.0,tp,113,-170.0,stopped_pre,113,0.0,False
RELEASES,NQ,2016-01-27 14:00:00,Fed Interest Rate Decision,0.2,0.4,335.0200000000041,tp,222,-170.0,stopped_pre,113,165.02000000000407,False
RELEASES,NQ,2016-01-27 14:00:00,Fed Interest Rate Decision,0.2,0.0,-167.51000000000204,stopped_post,627,-170.0,stopped_pre,113,-337.51000000000204,True
RELEASES,NQ,2016-01-28 08:30:00,Durable Goods Orders MoM,0.05,0.2,-41.60499999999956,stopped_pre,70,166.41999999999825,tp,79,124.81499999999869,False
RELEASES,NQ,2016-01-28 08:30:00,Durable Goods Orders MoM,0.05,0.4,-41.60499999999956,stopped_pre,70,332.8399999999965,tp,147,291.23499999999694,False
RELEASES,NQ,2016-01-28 08:30:00,Durable Goods Orders MoM,0.05,0.0,-41.60499999999956,stopped_pre,70,235.0,timed,629,193.39500000000044,False
RELEASES,NQ,2016-01-28 08:30:00,Durable Goods Orders MoM,0.1,0.2,-83.20999999999913,stopped_post,78,166.41999999999825,tp,79,83.20999999999913,False
RELEASES,NQ,2016-01-28 08:30:00,Durable Goods Orders MoM,0.1,0.4,-83.20999999999913,stopped_post,78,332.8399999999965,tp,147,249.62999999999738,False
RELEASES,NQ,2016-01-28 08:30:00,Durable Goods Orders MoM,0.1,0.0,-83.20999999999913,stopped_post,78,235.0,timed,629,151.79000000000087,False
RELEASES,NQ,2016-01-28 08:30:00,Durable Goods Orders MoM,0.2,0.2,-166.41999999999825,stopped_post,79,166.41999999999825,tp,79,0.0,False
RELEASES,NQ,2016-01-28 08:30:00,Durable Goods Orders MoM,0.2,0.4,-166.41999999999825,stopped_post,79,332.8399999999965,tp,147,166.41999999999825,False
RELEASES,NQ,2016-01-28 08:30:00,Durable Goods Orders MoM,0.2,0.0,-166.41999999999825,stopped_post,79,235.0,timed,629,68.58000000000175,False
RELEASES,NQ,2016-02-05 08:30:00,Non Farm Payrolls,0.05,0.2,-41.52249999999185,stopped_post,119,-41.52249999999185,stopped_pre,70,-83.0449999999837,True
RELEASES,NQ,2016-02-05 08:30:00,Non Farm Payrolls,0.05,0.4,-41.52249999999185,stopped_post,119,-41.52249999999185,stopped_pre,70,-83.0449999999837,True
RELEASES,NQ,2016-02-05 08:30:00,Non Farm Payrolls,0.05,0.0,-41.52249999999185,stopped_post,119,-41.52249999999185,stopped_pre,70,-83.0449999999837,True
RELEASES,NQ,2016-02-05 08:30:00,Non Farm Payrolls,0.1,0.2,-83.04500000000189,stopped_post,119,-85.0,stopped_pre,98,-168.0450000000019,True
