set,instrument,et,title,stop,tp,bars_pre_release,long_usd,long_outcome,long_exit_s,short_usd,short_outcome,short_exit_s,straddle_usd,both_stopped
RELEASES,RTY,2019-01-04 08:30:00,Non Farm Payrolls,0.05,0.2,76,-33.69000000000142,stopped_post,32.0,-35.000000000002274,stopped_pre,-234.0,-68.69000000000369,True
RELEASES,RTY,2019-01-04 08:30:00,Non Farm Payrolls,0.05,0.4,76,-33.69000000000142,stopped_post,32.0,-35.000000000002274,stopped_pre,-234.0,-68.69000000000369,True
RELEASES,RTY,2019-01-04 08:30:00,Non Farm Payrolls,0.05,0.0,76,-33.69000000000142,stopped_post,32.0,-35.000000000002274,stopped_pre,-234.0,-68.69000000000369,True
RELEASES,RTY,2019-01-04 08:30:00,Non Farm Payrolls,0.1,0.2,76,-69.99999999999318,stopped_post,38.0,-70.00000000000455,stopped_pre,-157.0,-139.99999999999773,True
RELEASES,RTY,2019-01-04 08:30:00,Non Farm Payrolls,0.1,0.4,76,-69.99999999999318,stopped_post,38.0,-70.00000000000455,stopped_pre,-157.0,-139.99999999999773,True
RELEASES,RTY,2019-01-04 08:30:00,Non Farm Payrolls,0.1,0.0,76,-69.99999999999318,stopped_post,38.0,-70.00000000000455,stopped_pre,-157.0,-139.99999999999773,True
RELEASES,RTY,2019-01-04 08:30:00,Non Farm Payrolls,0.2,0.2,76,-134.9999999999909,stopped_post,44.0,134.9999999999909,tp,44.0,0.0,False
RELEASES,RTY,2019-01-04 08:30:00,Non Farm Payrolls,0.2,0.4,76,-134.9999999999909,stopped_post,44.0,-135.00000000000227,stopped_post,133.0,-269.9999999999932,True
RELEASES,RTY,2019-01-04 08:30:00,Non Farm Payrolls,0.2,0.0,76,-134.9999999999909,stopped_post,44.0,-135.00000000000227,stopped_post,133.0,-269.9999999999932,True
RELEASES,RTY,2019-01-11 08:30:00,Inflation Rate MoM,0.05,0.2,58,-36.007500000005166,stopped_pre,-68.0,-36.007500000005166,stopped_post,17.0,-72.01500000001033,True
RELEASES,RTY,2019-01-11 08:30:00,Inflation Rate MoM,0.05,0.4,58,-36.007500000005166,stopped_pre,-68.0,-36.007500000005166,stopped_post,17.0,-72.01500000001033,True
RELEASES,RTY,2019-01-11 08:30:00,Inflation Rate MoM,0.05,0.0,58,-36.007500000005166,stopped_pre,-68.0,-36.007500000005166,stopped_post,17.0,-72.01500000001033,True
RELEASES,RTY,2019-01-11 08:30:00,Inflation Rate MoM,0.1,0.2,58,20.000000000004547,timed,900.0,-75.0,stopped_post,59.0,-54.99999999999545,False
RELEASES,RTY,2019-01-11 08:30:00,Inflation Rate MoM,0.1,0.4,58,20.000000000004547,timed,900.0,-75.0,stopped_post,59.0,-54.99999999999545,False
