release,instrument,n,mde_r,bonferroni_alpha
EIA Crude Oil Stocks Change,CL,549,0.20228489228560564,7.776049766718508e-05
Initial Jobless Claims,CL,548,0.20246528041501022,7.776049766718508e-05
EIA Gasoline Stocks Change,CL,541,0.2037416537227553,7.776049766718508e-05
EIA Natural Gas Stocks Change,CL,540,0.20392597012249197,7.776049766718508e-05
Continuing Jobless Claims,CL,531,0.20560764108408877,7.776049766718508e-05
EIA Distillate Stocks Change,CL,334,0.25750768600986784,7.776049766718508e-05
API Crude Oil Stock Change,CL,288,0.2765127887644907,7.776049766718508e-05
Balance of Trade,CL,128,0.4042200102428221,7.776049766718508e-05
Factory Orders MoM,CL,128,0.4042200102428221,7.776049766718508e-05
ISM Manufacturing PMI,CL,128,0.4042200102428221,7.776049766718508e-05
Business Inventories MoM,CL,127,0.40566222334560903,7.776049766718508e-05
CB Consumer Confidence,CL,127,0.40566222334560903,7.776049766718508e-05
Chicago PMI,CL,127,0.40566222334560903,7.776049766718508e-05
Consumer Credit Change,CL,127,0.40566222334560903,7.776049766718508e-05
Durable Goods Orders MoM,CL,127,0.40566222334560903,7.776049766718508e-05
Existing Home Sales,CL,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Final,CL,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Prel,CL,127,0.40566222334560903,7.776049766718508e-05
NAHB Housing Market Index,CL,127,0.40566222334560903,7.776049766718508e-05
NY Empire State Manufacturing Index,CL,127,0.40566222334560903,7.776049766718508e-05
Pending Home Sales MoM,CL,127,0.40566222334560903,7.776049766718508e-05
Philadelphia Fed Manufacturing Index,CL,127,0.40566222334560903,7.776049766718508e-05
Retail Sales Ex Autos MoM,CL,127,0.40566222334560903,7.776049766718508e-05
Retail Sales MoM,CL,127,0.40566222334560903,7.776049766718508e-05
S&P/Case-Shiller Home Price YoY,CL,127,0.40566222334560903,7.776049766718508e-05
Wholesale Inventories MoM,CL,127,0.40566222334560903,7.776049766718508e-05
Average Hourly Earnings MoM,CL,126,0.40711993474820624,7.776049766718508e-05
Average Weekly Hours,CL,126,0.40711993474820624,7.776049766718508e-05
Capacity Utilization,CL,126,0.40711993474820624,7.776049766718508e-05
Core PPI MoM,CL,126,0.40711993474820624,7.776049766718508e-05
Durable Goods Orders Ex Transp MoM,CL,126,0.40711993474820624,7.776049766718508e-05
Industrial Production MoM,CL,126,0.40711993474820624,7.776049766718508e-05
Manufacturing Payrolls,CL,126,0.40711993474820624,7.776049766718508e-05
Non Farm Payrolls,CL,126,0.40711993474820624,7.776049766718508e-05
Nonfarm Payrolls Private,CL,126,0.40711993474820624,7.776049766718508e-05
PPI MoM,CL,126,0.40711993474820624,7.776049766718508e-05
Personal Spending MoM,CL,126,0.40711993474820624,7.776049766718508e-05
Unemployment Rate,CL,126,0.40711993474820624,7.776049766718508e-05
ADP Employment Change,CL,125,0.4085934230131286,7.776049766718508e-05
CB Leading Index MoM,CL,125,0.4085934230131286,7.776049766718508e-05
Construction Spending MoM,CL,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate YoY,CL,125,0.4085934230131286,7.776049766718508e-05
