n,mde_r,grid,judge_at_r,at_mde_rate,min_hits_required,pass_,smallest_detected,reason,instrument,release,n_matrix
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.409,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,CL,ADP Employment Change,125
286,0.2774373861772326,"[0.05, 0.1, 0.15, 0.2, 0.277, 0.3, 0.347, 0.4]",0.3,1.0,17,True,0.3,detection at its MDE (0.277) is 100% — consistent with the nominal 80% power,CL,API Crude Oil Stock Change,288
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.92,17,True,0.4,detection at its MDE (0.410) is 92% — consistent with the nominal 80% power,CL,Average Hourly Earnings MoM,126
104,0.4437602858410957,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.444, 0.555]",0.444,0.8,17,True,0.444,detection at its MDE (0.444) is 80% — consistent with the nominal 80% power,CL,Average Hourly Earnings YoY,106
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,CL,Average Weekly Hours,126
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.4,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,CL,Balance of Trade,128
81,0.49501400145984564,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.495, 0.619]",0.619,1.0,17,True,0.495,detection at its MDE (0.495) is 100% — consistent with the nominal 80% power,CL,Building Permits,82
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.407,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,CL,Business Inventories MoM,127
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.4,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,CL,CB Consumer Confidence,127
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.4,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,CL,CB Leading Index MoM,125
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.88,17,True,0.554,detection at its MDE (0.554) is 88% — consistent with the nominal 80% power,CL,CPI,62
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.409,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,CL,Capacity Utilization,126
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,1.0,17,True,0.509,detection at its MDE (0.407) is 100% — consistent with the nominal 80% power,CL,Chicago PMI,127
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.92,17,True,0.4,detection at its MDE (0.409) is 92% — consistent with the nominal 80% power,CL,Construction Spending MoM,125
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.88,17,True,0.406,detection at its MDE (0.406) is 88% — consistent with the nominal 80% power,CL,Consumer Credit Change,127
531,0.20560764108408877,"[0.05, 0.1, 0.15, 0.2, 0.206, 0.257, 0.3, 0.4]",0.206,0.8,17,True,0.206,detection at its MDE (0.206) is 80% — consistent with the nominal 80% power,CL,Continuing Jobless Claims,531
