instrument,release,n,pearson_r,pearson_p,spearman_r,spearman_p,passes_alpha,hit_rate,rule_accuracy,rule_ci_lo,rule_ci_hi,tradeable_possible,provenance_verified,perm_p,control_spearman_r,control_spearman_p
CL,ADP Employment Change,101,0.32220184284229036,0.0010166683221566298,0.15410599883517764,0.12388354624039936,False,0.53,0.53,0.43288856967879374,0.6248918204277839,False,True,,,
CL,API Crude Oil Stock Change,262,-0.4714049512449473,6.702088130162542e-16,-0.5117642212431344,6.842097049649076e-19,True,0.31225296442687744,0.6877470355731226,0.6281955570644426,0.741682423054236,True,False,0.000999000999000999,,
CL,Average Hourly Earnings MoM,100,-0.09589545610000604,0.3425760235287367,-0.15062751463468524,0.13468327196748694,False,0.3979591836734694,0.6020408163265306,0.5030495272059645,0.6933341482759303,False,True,,,
CL,Average Hourly Earnings YoY,80,-0.10927831822434203,0.3345820741633333,-0.17218806955329402,0.12668892216617147,False,0.3974358974358974,0.6025641025641026,0.4916185828871782,0.7038813535778085,False,True,,,
CL,Average Weekly Hours,100,-0.061579381531085206,0.5427698557807942,-0.05523568927624404,0.5851832308968521,False,0.46938775510204084,0.5306122448979591,0.4325246720221616,0.6263904306224068,False,True,,,
CL,Balance of Trade,104,-0.05956690164904554,0.5480682304282839,-0.07907841427109712,0.4249003407652787,False,0.5,0.5,0.40474447238758343,0.5952555276124165,False,True,,,
CL,Building Permits,57,-0.04689133569863328,0.729065244667617,0.04932590095929479,0.7155788287740223,False,0.43859649122807015,0.5614035087719298,0.4327800945131579,0.6822730310278037,False,True,,,
CL,Business Inventories MoM,103,0.049119065016761984,0.622212004759551,0.057769186838290215,0.5621693217863138,False,0.49019607843137253,0.5098039215686274,0.4142102142587605,0.6046859727576536,False,True,,,
CL,CB Consumer Confidence,103,0.07539185156187603,0.44911945845373563,0.09712139351059665,0.3290869220779274,False,0.53,0.53,0.43288856967879374,0.6248918204277839,False,True,,,
CL,CB Leading Index MoM,100,0.14561918128563103,0.14828896018129442,0.1187998799879988,0.23910091057328134,False,0.52,0.52,0.4231657776301876,0.6153544824408641,False,True,,,
CL,CPI,38,-0.45941453472907895,0.003713080887993237,-0.4822190611664296,0.002170598086345867,False,0.39473684210526316,0.6052631578947368,0.44717867992453986,0.7440192425460459,True,True,,,
CL,Capacity Utilization,101,-0.1170291828077647,0.2438170555117902,-0.10471875037111557,0.2973285248421428,False,0.41836734693877553,0.5816326530612245,0.48269880397872866,0.6744081364067871,False,True,,,
CL,Chicago PMI,102,-0.038224939097284485,0.7028808756454947,-0.04059360872617659,0.6854116270446413,False,0.54,0.54,0.4426486032113423,0.6343919169307612,False,True,,,
CL,Construction Spending MoM,101,0.04847698764243153,0.6302274571242052,0.16297029702970295,0.10345057029172626,False,0.5,0.5,0.4038315303442626,0.5961684696557374,False,True,,,
CL,Consumer Credit Change,103,0.06379524823101855,0.522041265420265,-0.01581008133534653,0.8740577249873333,False,0.47474747474747475,0.5252525252525253,0.427793082355566,0.6208254422866205,False,True,,,
CL,Continuing Jobless Claims,507,0.034341665000245394,0.44036405728276184,0.07883685268954652,0.0761422037704141,False,0.5131313131313131,0.5131313131313131,0.469168219794904,0.556892164261157,False,True,,,
CL,Core Inflation Rate MoM,99,-0.27036667634017314,0.0067986055532916175,-0.3684724799010513,0.00017498989323542124,False,0.30303030303030304,0.696969696969697,0.6004873885336595,0.7787371036753965,True,True,,,
CL,Core Inflation Rate YoY,100,-0.23088883140945518,0.02082283812657406,-0.35345934593459344,0.0003093665205701371,False,0.32,0.6799999999999999,0.5833738138720235,0.7633085267674424,True,True,,,
CL,Core PCE Price Index MoM,100,-0.09185027179621866,0.36341450753553994,-0.16120660428096642,0.10908993357388506,False,0.4897959183673469,0.5102040816326531,0.41273047098073423,0.6069078965674553,False,True,,,
CL,Core PCE Price Index YoY,91,-0.19170612002458315,0.06869761565841433,-0.11117260380962388,0.2941252885148936,False,0.38202247191011235,0.6179775280898876,0.5141411985991992,0.7120508525204386,True,True,,,
CL,Core PPI MoM,102,0.07490376181065912,0.4543277818647912,0.021899853265981598,0.8270567362951394,False,0.5,0.5,0.4038315303442626,0.5961684696557374,False,True,,,
CL,Durable Goods Orders Ex Transp MoM,102,0.20949573128924165,0.03458050023262896,-0.04450639238681149,0.65691755455436,False,0.4411764705882353,0.5588235294117647,0.462070448320427,0.6513066737780577,False,True,,,
