et,pnl_usd,outcome,entry,exit_price,exit_s,block
2016-01-20 08:30:00,-92.12499999999864,stopped_post,1842.5,1840.6575,20.0,CPI-alone
2016-02-19 08:30:00,-95.50000000000409,stopped_post,1910.0,1908.09,47.0,CPI-alone
2016-03-16 08:30:00,-100.22500000000036,stopped_post,2004.5,2002.4955,351.0,CPI-alone
2016-04-14 08:30:00,162.5,timed,2075.5,2078.75,898.0,CPI-alone
2016-05-17 08:30:00,-103.02500000000236,stopped_post,2060.5,2058.4395,103.0,CPI-alone
2016-06-16 08:30:00,25.0,timed,2052.5,2053.0,900.0,CPI-alone
2016-08-16 08:30:00,-109.13749999999709,stopped_post,2182.75,2180.56725,839.0,CPI-alone
2016-09-16 08:30:00,-106.64999999999054,stopped_post,2133.0,2130.867,26.0,CPI-alone
2016-10-18 08:30:00,150.0,timed,2135.5,2138.5,900.0,CPI-alone
2016-11-17 08:30:00,-50.0,timed,2173.75,2172.75,900.0,CPI-alone
2016-12-15 08:30:00,112.5,timed,2249.0,2251.25,900.0,CPI-alone
2017-01-18 08:30:00,-12.5,timed,2267.5,2267.25,881.0,CPI-alone
2017-02-15 08:30:00,-37.5,timed,2334.25,2333.5,900.0,CPI-alone
2017-06-14 08:30:00,150.0,timed,2440.0,2443.0,900.0,CPI-alone
2017-08-11 08:30:00,125.0,timed,2436.5,2439.0,900.0,CPI-alone
2017-09-14 08:30:00,-124.53749999999673,stopped_post,2490.75,2488.25925,692.0,CPI-alone
2017-12-13 08:30:00,62.5,timed,2668.0,2669.25,896.0,CPI-alone
2018-02-14 08:30:00,-133.6999999999989,stopped_post,2674.0,2671.326,1.0,CPI-alone
2018-03-13 08:30:00,558.5499999999911,tp,2792.75,2803.921,120.0,CPI-alone
2018-04-11 08:30:00,-131.68749999999818,stopped_post,2633.75,2631.11625,327.0,CPI-alone
2018-05-10 08:30:00,250.0,timed,2699.0,2704.0,899.0,CPI-alone
2018-06-12 08:30:00,25.0,timed,2787.5,2788.0,899.0,CPI-alone
2018-07-12 08:30:00,50.0,timed,2788.25,2789.25,900.0,CPI-alone
2018-08-10 08:30:00,62.5,timed,2840.75,2842.0,900.0,CPI-alone
2018-09-13 08:30:00,175.0,timed,2895.5,2899.0,900.0,CPI-alone
2018-10-11 08:30:00,554.1999999999916,tp,2771.0,2782.084,36.0,CPI-alone
2018-11-14 08:30:00,546.1000000000013,tp,2730.5,2741.422,420.0,CPI-alone
2018-12-12 08:30:00,112.5,timed,2664.75,2667.0,900.0,CPI-alone
2019-01-11 08:30:00,-129.3374999999969,stopped_post,2586.75,2584.16325,520.0,CPI-alone
2019-02-13 08:30:00,-137.5500000000102,stopped_post,2751.0,2748.249,8.0,CPI-alone
2019-03-12 08:30:00,300.0,timed,2789.0,2795.0,899.0,CPI-alone
2019-04-10 08:30:00,-144.337500000006,stopped_post,2886.75,2883.86325,575.0,CPI-alone
2019-05-10 08:30:00,-142.7500000000009,stopped_post,2855.0,2852.145,25.0,CPI-alone
