et,pnl_usd,outcome,entry,exit_price,exit_s,block
2016-01-20 08:30:00,40.0,timed,15639.0,15647.0,899.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-02-19 08:30:00,-81.68499999999767,stopped_post,16337.0,16320.663,1.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-03-16 08:30:00,-90.0,stopped_post,17138.0,17120.0,627.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-04-14 08:30:00,125.0,timed,17828.0,17853.0,900.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-05-17 08:30:00,-88.23500000000422,stopped_post,17647.0,17629.353,150.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-06-16 08:30:00,10.0,timed,17469.0,17471.0,893.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-08-16 08:30:00,-60.0,timed,18552.0,18540.0,900.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-09-16 08:30:00,-100.0,stopped_post,18073.0,18053.0,37.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-10-18 08:30:00,110.0,timed,18096.0,18118.0,900.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-11-17 08:30:00,-30.0,timed,18832.0,18826.0,900.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2016-12-15 08:30:00,65.0,timed,19763.0,19776.0,900.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2017-01-18 08:30:00,25.0,timed,19775.0,19780.0,883.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2017-02-15 08:30:00,0.0,timed,20492.0,20492.0,897.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2017-06-14 08:30:00,-110.0,stopped_post,21316.0,21294.0,288.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2017-08-11 08:30:00,45.0,timed,21831.0,21840.0,900.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2017-09-14 08:30:00,-90.0,timed,22099.0,22081.0,900.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2017-12-13 08:30:00,0.0,timed,24556.0,24556.0,889.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2018-02-14 08:30:00,-123.83499999999913,stopped_post,24767.0,24742.233,1.0,YM-CPI-DESCRIPTIVE-VOID-GATE
2018-03-13 08:30:00,505.4199999999946,tp,25271.0,25372.084,123.0,YM-CPI-DESCRIPTIVE-VOID-GATE
