et,title,direction,qty,entry,exit_price,outcome,exit_s_from_release,pnl_points,pnl_usd,net_stressed_usd
2024-01-05 08:30:00,Non Farm Payrolls,long,1,16410.75,16394.33925,stopped_post,0.0,-16.410749999999098,-328.21499999998196,-350.71499999998196
2024-01-11 08:30:00,Inflation Rate MoM,long,1,17013.0,16995.987,stopped_post,1.0,-17.01299999999901,-340.2599999999802,-362.7599999999802
2024-01-31 14:00:00,Fed Interest Rate Decision,long,1,17376.75,17359.37325,stopped_post,7.0,-17.376749999999447,-347.53499999998894,-370.03499999998894
2024-02-02 08:30:00,Non Farm Payrolls,long,1,17607.75,17590.14225,stopped_post,1.0,-17.607749999999214,-352.1549999999843,-374.6549999999843
2024-02-13 08:30:00,Inflation Rate MoM,long,1,17850.5,17832.6495,stopped_post,1.0,-17.850500000000466,-357.0100000000093,-379.5100000000093
2024-03-08 08:30:00,Non Farm Payrolls,long,1,18297.5,18279.2025,stopped_pre,-63.0,-18.297500000000582,-365.95000000001164,-388.45000000001164
2024-03-12 08:30:00,Inflation Rate MoM,long,1,18299.0,18280.701,stopped_pre,-7.0,-18.29899999999907,-365.9799999999814,-388.4799999999814
2024-03-20 14:00:00,Fed Interest Rate Decision,long,1,18271.25,18344.335,tp,80.0,73.08499999999913,1461.6999999999825,1439.1999999999825
2024-04-05 08:30:00,Non Farm Payrolls,long,1,18142.0,18123.858,stopped_post,1.0,-18.141999999999825,-362.8399999999965,-385.3399999999965
2024-04-10 08:30:00,Inflation Rate MoM,long,1,18382.75,18456.281,tp,-10.0,73.53099999999904,1470.6199999999808,1448.1199999999808
2024-05-01 14:00:00,Fed Interest Rate Decision,long,1,17471.25,17485.5,timed,900.0,14.25,285.0,262.5
2024-05-03 08:30:00,Non Farm Payrolls,long,1,17759.75,17830.789,tp,1.0,71.03900000000067,1420.7800000000134,1398.2800000000134
2024-05-15 08:30:00,Inflation Rate MoM,long,1,18405.5,18479.122,tp,0.0,73.62199999999939,1472.4399999999878,1449.9399999999878
2024-06-07 08:30:00,Non Farm Payrolls,long,1,19089.25,19070.16075,stopped_post,1.0,-19.089250000000902,-381.78500000001804,-404.28500000001804
2024-06-12 08:30:00,Inflation Rate MoM,long,1,19265.5,19342.562,tp,1.0,77.06200000000172,1541.2400000000343,1518.7400000000343
2024-06-12 14:00:00,Fed Interest Rate Decision,long,1,19514.0,19494.486,stopped_post,1.0,-19.513999999999214,-390.2799999999843,-412.7799999999843
2024-07-05 08:30:00,Non Farm Payrolls,long,1,20442.75,20422.30725,stopped_post,1.0,-20.44274999999834,-408.8549999999668,-431.3549999999668
2024-07-11 08:30:00,Inflation Rate MoM,long,1,20874.5,20957.998,tp,1.0,83.49799999999959,1669.9599999999919,1647.4599999999919
2024-07-31 14:00:00,Fed Interest Rate Decision,long,1,19438.25,19418.5,stopped_pre,-50.0,-19.75,-395.0,-417.5
2024-08-02 08:30:00,Non Farm Payrolls,long,1,18710.25,18691.53975,stopped_post,1.0,-18.710250000000087,-374.20500000000175,-396.70500000000175
2024-08-14 08:30:00,Inflation Rate MoM,long,1,19102.0,19082.898,stopped_post,1.0,-19.101999999998952,-382.03999999997905,-404.53999999997905
2024-09-06 08:30:00,Non Farm Payrolls,long,1,18798.5,18779.7015,stopped_pre,-1.0,-18.798500000000786,-375.9700000000157,-398.4700000000157
2024-09-11 08:30:00,Inflation Rate MoM,long,1,18841.75,18822.90825,stopped_post,1.0,-18.841749999999593,-376.83499999999185,-399.33499999999185
2024-09-18 14:00:00,Fed Interest Rate Decision,long,1,19688.75,19669.06125,stopped_post,0.0,-19.688750000001164,-393.7750000000233,-416.2750000000233
2024-10-04 08:30:00,Non Farm Payrolls,long,1,20066.0,20146.264,tp,1.0,80.26399999999921,1605.2799999999843,1582.7799999999843
2024-10-10 08:30:00,Inflation Rate MoM,long,1,20438.25,20417.81175,stopped_post,1.0,-20.438249999999243,-408.76499999998487,-431.26499999998487
2024-11-01 08:30:00,Non Farm Payrolls,long,1,20117.5,20097.3825,stopped_pre,-158.0,-20.11750000000029,-402.3500000000058,-424.8500000000058
2024-11-07 14:00:00,Fed Interest Rate Decision,long,1,21192.75,21171.55725,stopped_post,17.0,-21.19274999999834,-423.8549999999668,-446.3549999999668
2024-11-13 08:30:00,Inflation Rate MoM,long,1,21141.0,21225.564,tp,414.0,84.56399999999849,1691.2799999999697,1668.7799999999697
2024-12-06 08:30:00,Non Farm Payrolls,long,1,21472.5,21451.0275,stopped_post,2.0,-21.472499999999854,-429.4499999999971,-451.9499999999971
2024-12-11 08:30:00,Inflation Rate MoM,long,1,21461.25,21527.25,timed,900.0,66.0,1320.0,1297.5
2024-12-18 14:00:00,Fed Interest Rate Decision,long,1,22295.75,22273.45425,stopped_post,1.0,-22.295750000001135,-445.9150000000227,-468.4150000000227
2025-01-10 08:30:00,Non Farm Payrolls,long,1,21286.25,21264.96375,stopped_post,0.0,-21.28625000000102,-425.7250000000204,-448.2250000000204
2025-01-15 08:30:00,Inflation Rate MoM,long,1,20998.75,21082.745,tp,1.0,83.99499999999898,1679.8999999999796,1657.3999999999796
2025-01-29 14:00:00,Fed Interest Rate Decision,long,1,21476.25,21454.77375,stopped_post,0.0,-21.47624999999971,-429.5249999999942,-452.0249999999942
2025-02-07 08:30:00,Non Farm Payrolls,long,1,21843.75,21821.90625,stopped_post,17.0,-21.84375,-436.875,-459.375
2025-02-12 08:30:00,Inflation Rate MoM,long,1,21817.0,21795.183,stopped_post,1.0,-21.816999999999098,-436.33999999998196,-458.83999999998196
