et,title,direction,qty,entry,exit_price,outcome,exit_s_from_release,pnl_points,pnl_usd,net_stressed_usd
2016-01-20 08:30:00,Inflation Rate MoM,long,1,15639.0,15647.0,timed,899.0,8.0,40.0,17.5
2016-02-19 08:30:00,Inflation Rate MoM,long,1,16337.0,16320.663,stopped_post,1.0,-16.336999999999534,-81.68499999999767,-104.18499999999767
2016-03-16 08:30:00,Inflation Rate MoM,long,1,17138.0,17120.0,stopped_post,627.0,-18.0,-90.0,-112.5
2016-04-14 08:30:00,Inflation Rate MoM,long,1,17828.0,17853.0,timed,900.0,25.0,125.0,102.5
2016-05-17 08:30:00,Inflation Rate MoM,long,1,17647.0,17629.353,stopped_post,150.0,-17.647000000000844,-88.23500000000422,-110.73500000000422
2016-06-16 08:30:00,Inflation Rate MoM,long,1,17469.0,17471.0,timed,893.0,2.0,10.0,-12.5
2016-08-16 08:30:00,Inflation Rate MoM,long,1,18552.0,18540.0,timed,900.0,-12.0,-60.0,-82.5
2016-09-16 08:30:00,Inflation Rate MoM,long,1,18073.0,18053.0,stopped_post,37.0,-20.0,-100.0,-122.5
2016-10-18 08:30:00,Inflation Rate MoM,long,1,18096.0,18118.0,timed,900.0,22.0,110.0,87.5
2016-11-17 08:30:00,Inflation Rate MoM,long,1,18832.0,18826.0,timed,900.0,-6.0,-30.0,-52.5
2016-12-15 08:30:00,Inflation Rate MoM,long,1,19763.0,19776.0,timed,900.0,13.0,65.0,42.5
2017-01-18 08:30:00,Inflation Rate MoM,long,1,19775.0,19780.0,timed,883.0,5.0,25.0,2.5
2017-02-15 08:30:00,Inflation Rate MoM,long,1,20492.0,20492.0,timed,897.0,0.0,0.0,-22.5
2017-06-14 08:30:00,Inflation Rate MoM,long,1,21316.0,21294.0,stopped_post,288.0,-22.0,-110.0,-132.5
2017-08-11 08:30:00,Inflation Rate MoM,long,1,21831.0,21840.0,timed,900.0,9.0,45.0,22.5
2017-09-14 08:30:00,Inflation Rate MoM,long,1,22099.0,22081.0,timed,900.0,-18.0,-90.0,-112.5
2017-12-13 08:30:00,Inflation Rate MoM,long,1,24556.0,24556.0,timed,889.0,0.0,0.0,-22.5
2018-02-14 08:30:00,Inflation Rate MoM,long,1,24767.0,24742.233,stopped_post,1.0,-24.766999999999825,-123.83499999999913,-146.33499999999913
2018-03-13 08:30:00,Inflation Rate MoM,long,1,25271.0,25372.084,tp,123.0,101.08399999999892,505.4199999999946,482.9199999999946
2018-04-11 08:30:00,Inflation Rate MoM,long,1,24144.0,24119.856,stopped_post,227.0,-24.144000000000233,-120.72000000000116,-143.22000000000116
2018-05-10 08:30:00,Inflation Rate MoM,long,1,24508.0,24548.0,timed,899.0,40.0,200.0,177.5
2018-06-12 08:30:00,Inflation Rate MoM,long,1,25342.0,25347.0,timed,898.0,5.0,25.0,2.5
2018-07-12 08:30:00,Inflation Rate MoM,long,1,24874.0,24876.0,timed,900.0,2.0,10.0,-12.5
2018-08-10 08:30:00,Inflation Rate MoM,long,1,25375.0,25384.0,timed,900.0,9.0,45.0,22.5
