et,entry_bar_age_s,next_gap_s,entry_bar_vol,window_vol,window_seconds,post_seconds,post_vol,pnl_base,pnl_nextopen,entry_base,entry_nextopen
2016-01-20 08:30:00,0.0,3.0,8.0,337.0,98,427,2358.0,40.0,50.0,15639.0,15637.0
2016-02-19 08:30:00,2.0,13.0,3.0,187.0,44,461,2675.0,-81.68499999999767,-81.69499999999971,16337.0,16339.0
2016-03-16 08:30:00,0.0,1.0,1.0,113.0,29,284,1859.0,-90.0,-85.69499999999607,17138.0,17139.0
2016-04-14 08:30:00,14.0,1.0,9.0,244.0,61,369,2353.0,125.0,125.0,17828.0,17828.0
2016-05-17 08:30:00,0.0,1.0,1.0,310.0,70,436,2992.0,-88.23500000000422,-88.2300000000032,17647.0,17646.0
2016-06-16 08:30:00,1.0,3.0,1.0,207.0,89,237,1071.0,10.0,5.0,17469.0,17470.0
2016-08-16 08:30:00,9.0,3.0,1.0,141.0,40,294,1798.0,-60.0,-60.0,18552.0,18552.0
2016-09-16 08:30:00,0.0,1.0,12.0,335.0,67,364,2584.0,-100.0,-95.0,18073.0,18074.0
2016-10-18 08:30:00,0.0,1.0,2.0,187.0,54,408,2882.0,110.0,110.0,18096.0,18096.0
2016-11-17 08:30:00,0.0,9.0,2.0,139.0,47,348,1836.0,-30.0,-25.0,18832.0,18831.0
2016-12-15 08:30:00,0.0,2.0,9.0,332.0,83,326,1760.0,65.0,65.0,19763.0,19763.0
2017-01-18 08:30:00,2.0,3.0,1.0,484.0,132,260,1339.0,25.0,20.0,19775.0,19776.0
2017-02-15 08:30:00,4.0,1.0,1.0,293.0,69,382,2762.0,0.0,0.0,20492.0,20492.0
2017-06-14 08:30:00,4.0,2.0,1.0,186.0,37,463,3774.0,-110.0,-106.57499999999345,21316.0,21315.0
2017-08-11 08:30:00,0.0,1.0,11.0,317.0,83,550,4447.0,45.0,45.0,21831.0,21831.0
2017-09-14 08:30:00,0.0,1.0,5.0,700.0,122,429,4381.0,-90.0,-95.0,22099.0,22100.0
2017-12-13 08:30:00,0.0,24.0,7.0,101.0,31,331,2941.0,0.0,0.0,24556.0,24556.0
2018-02-14 08:30:00,0.0,3.0,5.0,631.0,159,884,19104.0,-123.83499999999913,-123.84000000000015,24767.0,24768.0
2018-03-13 08:30:00,4.0,1.0,3.0,382.0,103,760,12654.0,505.4199999999946,505.4399999999987,25271.0,25272.0
2018-04-11 08:30:00,4.0,1.0,4.0,607.0,156,536,2822.0,-120.72000000000116,-125.0,24144.0,24146.0
2018-05-10 08:30:00,0.0,2.0,6.0,195.0,75,548,3934.0,200.0,200.0,24508.0,24508.0
2018-06-12 08:30:00,0.0,1.0,4.0,140.0,48,299,1222.0,25.0,30.0,25342.0,25341.0
2018-07-12 08:30:00,0.0,1.0,1.0,288.0,57,344,1763.0,10.0,10.0,24874.0,24874.0
2018-08-10 08:30:00,2.0,2.0,1.0,182.0,56,430,2223.0,45.0,50.0,25375.0,25374.0
2018-09-13 08:30:00,3.0,1.0,2.0,220.0,62,497,3319.0,155.0,150.0,26095.0,26096.0
2018-10-11 08:30:00,1.0,2.0,3.0,714.0,129,850,13331.0,507.80000000000655,507.7599999999984,25390.0,25388.0
2018-11-14 08:30:00,0.0,2.0,1.0,300.0,110,653,4788.0,507.09999999999127,507.0800000000054,25355.0,25354.0
2018-12-12 08:30:00,0.0,1.0,1.0,161.0,71,491,2306.0,-123.24500000000626,-123.24500000000626,24649.0,24649.0
2019-01-11 08:30:00,0.0,3.0,5.0,329.0,110,534,2325.0,-119.48500000000422,-119.4800000000032,23897.0,23896.0
2019-02-13 08:30:00,1.0,8.0,1.0,92.0,52,444,2215.0,30.0,35.0,25476.0,25475.0
2019-03-12 08:30:00,0.0,1.0,4.0,259.0,75,536,2989.0,200.0,200.0,25617.0,25617.0
2019-04-10 08:30:00,6.0,6.0,1.0,187.0,64,526,2474.0,-130.93999999999141,-130.93999999999141,26188.0,26188.0
2019-05-10 08:30:00,3.0,1.0,2.0,433.0,120,606,3726.0,-128.44499999999243,-128.43999999999141,25689.0,25688.0
2019-06-12 08:30:00,1.0,1.0,1.0,233.0,68,442,2049.0,0.0,0.0,26008.0,26008.0
2019-07-11 08:30:00,1.0,3.0,1.0,408.0,101,552,3489.0,-134.87999999999374,-134.87499999999272,26976.0,26975.0
2019-08-13 08:30:00,0.0,1.0,3.0,441.0,115,683,4841.0,-129.03000000000247,-129.03000000000247,25806.0,25806.0
2019-09-12 08:30:00,0.0,6.0,2.0,452.0,103,512,2055.0,80.0,75.0,27195.0,27196.0
2019-10-10 08:30:00,0.0,2.0,1.0,263.0,74,375,1387.0,150.0,145.0,26244.0,26245.0
2019-11-13 08:30:00,0.0,2.0,2.0,132.0,49,286,1213.0,-35.0,-35.0,27574.0,27574.0
2019-12-11 08:30:00,1.0,3.0,7.0,372.0,88,328,2566.0,20.0,25.0,27887.0,27886.0
2020-01-14 08:30:00,2.0,2.0,4.0,175.0,77,444,2139.0,90.0,90.0,28864.0,28864.0
2020-02-13 08:30:00,0.0,1.0,5.0,503.0,120,468,2343.0,30.0,35.0,29356.0,29355.0
2020-03-11 08:30:00,0.0,1.0,1.0,809.0,188,636,3416.0,-120.9900000000016,-125.0,24198.0,24194.0
2020-05-12 08:30:00,0.0,1.0,8.0,364.0,111,475,1923.0,-121.17000000000189,-121.17500000000291,24234.0,24235.0
2020-06-10 08:30:00,0.0,2.0,2.0,523.0,126,490,2099.0,-80.0,-140.0,27292.0,27293.0
2020-07-14 08:30:00,0.0,1.0,4.0,286.0,101,684,4591.0,-130.40499999999156,-130.40000000000873,26081.0,26080.0
2020-08-12 08:30:00,0.0,3.0,2.0,330.0,85,591,2440.0,-139.32000000000698,-139.31500000000597,27864.0,27863.0
2020-09-11 08:30:00,3.0,3.0,1.0,219.0,57,327,1277.0,-137.75499999999738,-137.76499999999942,27551.0,27553.0
2020-10-13 08:30:00,2.0,1.0,1.0,527.0,142,434,2155.0,-145.0,-145.0,28671.0,28670.0
2020-11-12 08:30:00,0.0,1.0,5.0,608.0,177,526,2673.0,260.0,265.0,29053.0,29052.0
2020-12-10 08:30:00,1.0,3.0,1.0,283.0,96,543,3219.0,-150.22499999999127,-150.2349999999933,30045.0,30047.0
2021-01-13 08:30:00,0.0,7.0,2.0,275.0,80,388,1428.0,80.0,80.0,30918.0,30918.0
2021-02-10 08:30:00,12.0,2.0,1.0,308.0,82,530,3469.0,330.0,330.0,31367.0,31367.0
2021-03-10 08:30:00,5.0,1.0,3.0,252.0,97,772,6036.0,250.0,250.0,31913.0,31913.0
2021-04-13 08:30:00,2.0,1.0,2.0,454.0,120,610,3779.0,165.0,160.0,33523.0,33524.0
2021-05-12 08:30:00,11.0,1.0,4.0,449.0,136,827,13498.0,-170.43000000001484,-170.4149999999936,34086.0,34083.0
2021-06-10 08:30:00,0.0,1.0,1.0,494.0,122,782,7239.0,-172.5249999999869,-172.52000000000407,34505.0,34504.0
2021-07-13 08:30:00,8.0,2.0,3.0,217.0,85,712,5669.0,-174.22500000000582,-174.22999999998865,34845.0,34846.0
2021-08-11 08:30:00,1.0,1.0,1.0,188.0,62,672,5552.0,305.0,310.0,35158.0,35157.0
2021-09-14 08:30:00,0.0,1.0,6.0,282.0,70,747,7331.0,694.6199999999953,694.6399999999994,34731.0,34732.0
2021-10-13 08:30:00,0.0,2.0,2.0,243.0,90,702,5545.0,-171.45000000000437,-171.45000000000437,34290.0,34290.0
2021-11-10 08:30:00,0.0,4.0,3.0,225.0,82,682,4586.0,-180.84500000000844,-180.84500000000844,36169.0,36169.0
2021-12-10 08:30:00,0.0,2.0,5.0,175.0,54,656,4354.0,590.0,585.0,35840.0,35841.0
