layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735812000,1735815600,short,73.38,73.21269686744499,TAKE_PROFIT_HARD,167.3
L1,1736323200,1736323920,short,74.78,74.612696867445,TAKE_PROFIT_HARD,167.3
L1,1736481600,1736483040,short,74.93,75.22,STOP_LOSS_SOFT,-290.0
L1,1736712000,1736712420,short,78.21,78.04269686744499,TAKE_PROFIT_HARD,167.3
L1,1736784000,1736786700,long,78.67,78.75,END_OF_DAY,80.0
L1,1736906400,1736906820,short,78.11,77.942696867445,TAKE_PROFIT_HARD,167.3
L1,1736942400,1736945940,short,79.48,79.75,STOP_LOSS_SOFT,-270.0
L1,1737432000,1737432480,long,76.06,76.22730313255501,TAKE_PROFIT_HARD,167.3
L1,1737453600,1737456000,short,75.77,76.12,STOP_LOSS_SOFT,-350.0
L1,1737604800,1737607260,short,75.54,75.372696867445,TAKE_PROFIT_HARD,167.3
L1,1737633600,1737635160,long,74.79,74.95730313255501,TAKE_PROFIT_HARD,167.3
L1,1737734400,1737737100,long,74.61,74.56,END_OF_DAY,-50.0
L1,1738224000,1738224420,short,72.67,72.502696867445,TAKE_PROFIT_HARD,167.3
L1,1738332000,1738332360,short,73.12,72.952696867445,TAKE_PROFIT_HARD,167.3
L1,1738821600,1738824480,short,71.64,71.472696867445,TAKE_PROFIT_HARD,167.3
L1,1738836000,1738836000,long,70.75,70.917303132555,TAKE_PROFIT_HARD,167.3
L1,1738850400,1738850880,long,70.45,70.61730313255501,TAKE_PROFIT_HARD,167.3
L1,1739188800,1739194860,short,72.35,72.18269686744499,TAKE_PROFIT_HARD,167.3
L1,1739318400,1739326440,long,73.0,73.167303132555,TAKE_PROFIT_HARD,167.3
L1,1739484000,1739497140,short,71.39,71.36,TIME_CAP,30.0
L1,1739901600,1739914140,short,71.78,71.98,TIME_CAP,-200.0
L1,1739966400,1739971260,long,72.33,72.05,STOP_LOSS_SOFT,-280.0
L1,1740132000,1740134100,long,71.34,71.04,STOP_LOSS_SOFT,-300.0
L1,1740146400,1740153420,long,70.5,70.22,STOP_LOSS_SOFT,-280.0
L1,1740492000,1740501900,short,68.92,69.1,END_OF_DAY,-180.0
L1,1741075200,1741075200,long,67.13,67.297303132555,TAKE_PROFIT_HARD,167.3
L1,1741089600,1741090140,short,67.88,67.71269686744499,TAKE_PROFIT_HARD,167.3
L1,1741168800,1741168800,long,65.96,66.127303132555,TAKE_PROFIT_HARD,167.3
L1,1741341600,1741342440,short,67.87,68.14,STOP_LOSS_SOFT,-270.0
L1,1741780800,1741792860,short,67.65,67.62,TIME_CAP,30.0
L1,1742184000,1742185680,short,67.47,67.302696867445,TAKE_PROFIT_HARD,167.3
L1,1742191200,1742196420,short,67.6,67.87,STOP_LOSS_SOFT,-270.0
