layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735808760,1735808820,short,72.95,72.9805154441815,STOP_LOSS_HARD,-30.52
L1,1735808880,1735808880,short,73.01,72.9504247192004,TAKE_PROFIT_HARD,59.58
L1,1735809240,1735809240,short,72.97,73.0005154441815,STOP_LOSS_HARD,-30.52
L1,1735882080,1735882560,short,72.94,72.9705154441815,STOP_LOSS_HARD,-30.52
L1,1735883040,1735883400,short,72.91,72.85042471920039,TAKE_PROFIT_HARD,59.58
L1,1735886520,1735886520,short,72.92,72.9505154441815,STOP_LOSS_HARD,-30.52
L1,1735906800,1735907160,long,74.1,74.1595752807996,TAKE_PROFIT_HARD,59.58
L1,1735908840,1735908960,long,74.21,74.2695752807996,TAKE_PROFIT_HARD,59.58
L1,1735909920,1735909920,long,74.2,74.1694845558185,STOP_LOSS_HARD,-30.52
L1,1735910280,1735910340,long,74.21,74.17948455581849,STOP_LOSS_HARD,-30.52
L1,1735910520,1735910520,long,74.08,74.0494845558185,STOP_LOSS_HARD,-30.52
L1,1735911600,1735911600,long,74.02,73.98948455581849,STOP_LOSS_HARD,-30.52
L1,1735913400,1735913880,long,74.06,74.0294845558185,STOP_LOSS_HARD,-30.52
L1,1735916640,1735916880,long,74.1,74.06948455581849,STOP_LOSS_HARD,-30.52
L1,1736100120,1736100120,long,74.01,74.06957528079961,TAKE_PROFIT_HARD,59.58
L1,1736104800,1736104980,long,74.1,74.06948455581849,STOP_LOSS_HARD,-30.52
L1,1736111040,1736111220,long,74.02,74.0795752807996,TAKE_PROFIT_HARD,59.58
L1,1736111400,1736111520,long,74.08,74.0494845558185,STOP_LOSS_HARD,-30.52
L1,1736144760,1736144880,long,74.08,74.1395752807996,TAKE_PROFIT_HARD,59.58
L1,1736156760,1736157000,short,74.77,74.8005154441815,STOP_LOSS_HARD,-30.52
L1,1736157240,1736157240,long,74.82,74.78948455581849,STOP_LOSS_HARD,-30.52
L1,1736157720,1736157900,long,74.85,74.9095752807996,TAKE_PROFIT_HARD,59.58
L1,1736158680,1736158800,long,74.85,74.81948455581849,STOP_LOSS_HARD,-30.52
L1,1736161320,1736161380,long,74.01,74.06957528079961,TAKE_PROFIT_HARD,59.58
L1,1736161560,1736161800,long,74.05,74.1095752807996,TAKE_PROFIT_HARD,59.58
L1,1736162520,1736162520,long,74.02,73.98948455581849,STOP_LOSS_HARD,-30.52
L1,1736165160,1736165280,long,74.08,74.0494845558185,STOP_LOSS_HARD,-30.52
L1,1736165760,1736165760,long,74.04,74.0094845558185,STOP_LOSS_HARD,-30.52
L1,1736232720,1736232840,long,74.08,74.1395752807996,TAKE_PROFIT_HARD,59.58
L1,1736232960,1736233140,long,74.1,74.1595752807996,TAKE_PROFIT_HARD,59.58
