layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735809300,1735810380,short,5972.0,5958.7015368851,TAKE_PROFIT_HARD,664.92
L1,1736171100,1736172060,short,6034.25,6020.9515368851,TAKE_PROFIT_HARD,664.92
L1,1736173800,1736175600,short,6022.5,6009.2015368851,TAKE_PROFIT_HARD,664.92
L1,1736399700,1736403180,long,5955.25,5946.0,STOP_LOSS_SOFT,-462.5
L1,1736742600,1736746740,short,5811.25,5821.0,STOP_LOSS_SOFT,-487.5
L1,1736843400,1736843400,short,5877.75,5896.7909546083,STOP_LOSS_HARD,-952.05
L1,1737086400,1737101220,long,5990.5,6003.7984631149,TAKE_PROFIT_HARD,664.92
L1,1737343800,1737361800,short,6034.5,6021.2015368851,TAKE_PROFIT_HARD,664.92
L1,1737452700,1737452880,short,6059.0,6070.75,STOP_LOSS_SOFT,-587.5
L1,1737710100,1737711900,long,6146.0,6159.2984631149,TAKE_PROFIT_HARD,664.92
L1,1738052100,1738056720,long,6060.0,6047.25,STOP_LOSS_SOFT,-637.5
L1,1738652400,1738653060,short,6012.5,6021.5,STOP_LOSS_SOFT,-450.0
L1,1738749600,1738749840,short,6044.75,6031.4515368851,TAKE_PROFIT_HARD,664.92
L1,1738856700,1738857300,long,6094.0,6107.2984631149,TAKE_PROFIT_HARD,664.92
L1,1738882800,1738917000,short,6102.5,6089.2015368851,TAKE_PROFIT_HARD,664.92
L1,1738941300,1738943580,short,6044.25,6052.75,STOP_LOSS_SOFT,-425.0
L1,1739127600,1739163840,long,6059.5,6072.7984631149,TAKE_PROFIT_HARD,664.92
L1,1739180700,1739181900,short,6071.5,6085.0,STOP_LOSS_SOFT,-675.0
L1,1739196000,1739205900,long,6091.5,6087.5,END_OF_DAY,-200.0
L1,1739223000,1739269740,short,6071.0,6081.0,STOP_LOSS_SOFT,-500.0
L1,1739375100,1739376480,short,6066.75,6076.75,STOP_LOSS_SOFT,-500.0
L1,1739430000,1739435640,short,6070.75,6079.25,STOP_LOSS_SOFT,-425.0
L1,1740453300,1740455460,long,6004.5,5993.25,STOP_LOSS_SOFT,-562.5
L1,1740558600,1740559860,long,6002.75,5991.5,STOP_LOSS_SOFT,-562.5
L1,1740716100,1740731100,long,5894.0,5883.75,STOP_LOSS_SOFT,-512.5
L1,1741591800,1741592460,long,5720.25,5709.25,STOP_LOSS_SOFT,-550.0
L1,1741893300,1741906440,long,5556.0,5569.2984631149,TAKE_PROFIT_HARD,664.92
L1,1742189400,1742194200,long,5667.25,5680.5484631149,TAKE_PROFIT_HARD,664.92
L1,1742282100,1742283540,long,5721.25,5711.25,STOP_LOSS_SOFT,-500.0
L1,1742376600,1742377380,long,5687.5,5677.75,STOP_LOSS_SOFT,-487.5
L1,1742537700,1742538660,long,5703.5,5694.25,STOP_LOSS_SOFT,-462.5
L1,1742822100,1742827980,short,5801.0,5810.75,STOP_LOSS_SOFT,-487.5
L1,1743571800,1743573720,short,5655.25,5641.9515368851,TAKE_PROFIT_HARD,664.92
L1,1745305200,1745308440,short,5232.25,5218.9515368851,TAKE_PROFIT_HARD,664.92
L1,1745475300,1745477040,long,5380.25,5393.5484631149,TAKE_PROFIT_HARD,664.92
L1,1745951400,1745959740,short,5576.25,5562.9515368851,TAKE_PROFIT_HARD,664.92
L1,1745998200,1746000900,short,5567.75,5554.4515368851,TAKE_PROFIT_HARD,664.92
L1,1746432900,1746439200,long,5665.0,5678.2984631149,TAKE_PROFIT_HARD,664.92
L1,1746511200,1746517920,long,5633.5,5618.25,STOP_LOSS_SOFT,-762.5
L1,1746621900,1746623580,long,5641.75,5655.0484631149,TAKE_PROFIT_HARD,664.92
L1,1746711900,1746713040,short,5724.75,5711.4515368851,TAKE_PROFIT_HARD,664.92
L1,1746767700,1746772320,long,5688.75,5702.0484631149,TAKE_PROFIT_HARD,664.92
L1,1746792000,1746792240,long,5690.75,5676.0,STOP_LOSS_SOFT,-737.5
L1,1747215900,1747217520,short,5912.5,5899.2015368851,TAKE_PROFIT_HARD,664.92
L1,1747226700,1747228860,short,5908.75,5895.4515368851,TAKE_PROFIT_HARD,664.92
L1,1747323000,1747324260,short,5922.0,5933.75,STOP_LOSS_SOFT,-587.5
L1,1747411200,1747413900,long,5975.25,5968.25,END_OF_DAY,-350.0
L1,1747703700,1747706160,long,5971.0,5962.5,STOP_LOSS_SOFT,-425.0
L1,1747970100,1747978020,long,5859.25,5849.5,STOP_LOSS_SOFT,-487.5
L1,1748484900,1748490240,short,5991.75,6001.0,STOP_LOSS_SOFT,-462.5
L1,1749052800,1749055500,short,5978.25,5978.75,END_OF_DAY,-25.0
L1,1749100500,1749113340,short,5984.0,6003.0409546083,STOP_LOSS_HARD,-952.05
L1,1749587400,1749603600,short,6036.25,6022.9515368851,TAKE_PROFIT_HARD,664.92
L1,1749670200,1749677220,short,6017.0,6003.7015368851,TAKE_PROFIT_HARD,664.92
L1,1749820500,1749823620,short,6011.25,5997.9515368851,TAKE_PROFIT_HARD,664.92
L1,1750238100,1750239120,long,6046.5,6037.5,STOP_LOSS_SOFT,-450.0
L1,1750367700,1750372440,short,6010.0,6019.25,STOP_LOSS_SOFT,-462.5
L1,1750662900,1750668840,short,6015.75,6024.75,STOP_LOSS_SOFT,-450.0
L1,1750681800,1750682100,short,6017.75,6004.4515368851,TAKE_PROFIT_HARD,664.92
L1,1750788900,1750828860,short,6141.0,6150.0,STOP_LOSS_SOFT,-450.0
L1,1751323500,1751341860,short,6252.25,6238.75,TAKE_PROFIT_HARD,675.0
L1,1751422500,1751428200,long,6265.75,6257.0,STOP_LOSS_SOFT,-437.5
L1,1752199200,1752206700,short,6302.0,6288.7015368851,TAKE_PROFIT_HARD,664.92
L1,1752535800,1752542580,long,6317.0,6330.2984631149,TAKE_PROFIT_HARD,664.92
