layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735814040,1735815000,short,2664.5,2667.7,STOP_LOSS_SOFT,-320.0
L1,1735816200,1735816680,short,2666.1,2669.0,STOP_LOSS_SOFT,-290.0
L1,1736329080,1736329500,short,2682.9,2679.1715841804803,TAKE_PROFIT_HARD,372.84
L1,1736329920,1736330220,short,2681.8,2678.0715841804804,TAKE_PROFIT_HARD,372.84
L1,1736331480,1736336460,short,2681.1,2683.8,STOP_LOSS_SOFT,-270.0
L1,1736351760,1736354700,short,2681.1,2680.2,END_OF_DAY,90.0
L1,1736396400,1736401080,short,2681.1,2683.7,STOP_LOSS_SOFT,-260.0
L1,1736483160,1736485200,short,2707.6,2703.87158418048,TAKE_PROFIT_HARD,372.84
L1,1736485920,1736490720,short,2708.4,2710.7,STOP_LOSS_SOFT,-230.0
L1,1736495400,1736496120,short,2706.9,2703.1715841804803,TAKE_PROFIT_HARD,372.84
L1,1736747760,1736751420,short,2705.8,2702.0715841804804,TAKE_PROFIT_HARD,372.84
L1,1736754120,1736754780,short,2688.9,2692.3,STOP_LOSS_SOFT,-340.0
L1,1736798520,1736800500,short,2688.7,2684.97158418048,TAKE_PROFIT_HARD,372.84
L1,1736868600,1736871600,short,2688.6,2692.0,STOP_LOSS_SOFT,-340.0
L1,1736923320,1736928000,short,2708.0,2704.27158418048,TAKE_PROFIT_HARD,372.84
L1,1736941320,1736941860,short,2707.5,2710.8,STOP_LOSS_SOFT,-330.0
L1,1737021120,1737022440,short,2748.3,2744.5715841804804,TAKE_PROFIT_HARD,372.84
L1,1737023160,1737025200,short,2749.2,2752.8,STOP_LOSS_SOFT,-360.0
L1,1737065400,1737073500,short,2747.9,2744.1715841804803,TAKE_PROFIT_HARD,372.84
L1,1737109200,1737109620,short,2746.3,2749.0,STOP_LOSS_SOFT,-270.0
L1,1737109680,1737111780,short,2749.0,2753.13975566383,STOP_LOSS_HARD,-413.98
L1,1737342360,1737344400,short,2748.2,2750.7,STOP_LOSS_SOFT,-250.0
L1,1737348120,1737361800,short,2747.9,2744.1715841804803,TAKE_PROFIT_HARD,372.84
L1,1737363480,1737363780,short,2729.6,2733.6,STOP_LOSS_SOFT,-400.0
L1,1737380040,1737380520,short,2728.5,2731.3,STOP_LOSS_SOFT,-280.0
L1,1737403320,1737403920,short,2728.3,2732.1,STOP_LOSS_SOFT,-380.0
L1,1737433080,1737433200,short,2729.0,2732.1,STOP_LOSS_SOFT,-310.0
L1,1737503280,1737507240,short,2768.8,2771.4,STOP_LOSS_SOFT,-260.0
L1,1737544680,1737545820,short,2769.4,2772.0,STOP_LOSS_SOFT,-260.0
L1,1737664800,1737666000,short,2768.6,2772.73975566383,STOP_LOSS_HARD,-413.98
L1,1738007280,1738011480,short,2748.0,2744.27158418048,TAKE_PROFIT_HARD,372.84
L1,1738023000,1738026000,short,2748.3,2744.5715841804804,TAKE_PROFIT_HARD,372.84
L1,1738041720,1738052100,short,2748.3,2751.1,STOP_LOSS_SOFT,-280.0
L1,1738068600,1738071120,short,2766.7,2769.6,STOP_LOSS_SOFT,-290.0
L1,1738206120,1738209180,short,2807.6,2811.73975566383,STOP_LOSS_HARD,-413.98
L1,1738253040,1738255500,short,2850.3,2849.7,END_OF_DAY,60.0
L1,1738281840,1738284420,short,2848.9,2845.1715841804803,TAKE_PROFIT_HARD,372.84
L1,1738293120,1738293900,short,2849.4,2845.6715841804803,TAKE_PROFIT_HARD,372.84
L1,1738315320,1738316640,short,2849.5,2852.2,STOP_LOSS_SOFT,-270.0
L1,1738553040,1738557480,short,2831.2,2833.8,STOP_LOSS_SOFT,-260.0
L1,1738703160,1738703460,short,2877.0,2881.13975566383,STOP_LOSS_HARD,-413.98
L1,1738840680,1738841580,short,2877.7,2873.97158418048,TAKE_PROFIT_HARD,372.84
L1,1738847040,1738854420,short,2877.0,2881.13975566383,STOP_LOSS_HARD,-413.98
L1,1738923360,1738923960,short,2903.1,2906.2,STOP_LOSS_SOFT,-310.0
L1,1739212440,1739212560,short,2941.5,2944.7,STOP_LOSS_SOFT,-320.0
L1,1739221440,1739221980,short,2962.8,2966.93975566383,STOP_LOSS_HARD,-413.98
L1,1739239800,1739240100,short,2941.6,2944.1,STOP_LOSS_SOFT,-250.0
L1,1739312640,1739313900,short,2918.3,2914.5715841804804,TAKE_PROFIT_HARD,372.84
L1,1739316120,1739317560,short,2915.9,2912.1715841804803,TAKE_PROFIT_HARD,372.84
L1,1739326680,1739329800,short,2918.5,2914.77158418048,TAKE_PROFIT_HARD,372.84
L1,1739410920,1739413860,short,2942.3,2946.43975566383,STOP_LOSS_HARD,-413.98
L1,1739415720,1739416380,short,2943.7,2939.97158418048,TAKE_PROFIT_HARD,372.84
L1,1739421360,1739423400,short,2941.6,2944.0,STOP_LOSS_SOFT,-240.0
L1,1739447880,1739448780,short,2942.0,2944.8,STOP_LOSS_SOFT,-280.0
L1,1739507160,1739508120,short,2962.0,2958.27158418048,TAKE_PROFIT_HARD,372.84
L1,1739766120,1739768460,short,2917.6,2913.87158418048,TAKE_PROFIT_HARD,372.84
L1,1739837400,1739846760,short,2926.3,2922.5715841804804,TAKE_PROFIT_HARD,372.84
L1,1739854920,1739856840,short,2926.0,2922.27158418048,TAKE_PROFIT_HARD,372.84
L1,1739879640,1739882820,short,2952.2,2948.47158418048,TAKE_PROFIT_HARD,372.84
L1,1739928240,1739929800,short,2952.4,2948.6715841804803,TAKE_PROFIT_HARD,372.84
L1,1739933280,1739934720,short,2952.1,2954.6,STOP_LOSS_SOFT,-250.0
L1,1739938800,1739947080,short,2963.0,2959.27158418048,TAKE_PROFIT_HARD,372.84
