layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735869600,1735899540,short,2674.8,2655.6452966169004,TAKE_PROFIT_HARD,1915.47
L1,1736172000,1736181900,long,2645.7,2646.7,END_OF_DAY,100.0
L1,1736388000,1736441100,long,2683.6,2692.4,END_OF_DAY,880.0
L1,1736488800,1736497860,long,2709.2,2693.0,STOP_LOSS_SOFT,-1620.0
L1,1736503200,1736527500,long,2723.4,2716.1,END_OF_DAY,-730.0
L1,1737093600,1737107340,short,2729.6,2745.2,STOP_LOSS_SOFT,-1560.0
L1,1737338400,1737362160,long,2752.5,2733.3,STOP_LOSS_SOFT,-1920.0
L1,1737597600,1737620760,short,2761.7,2742.5452966169,TAKE_PROFIT_HARD,1915.47
L1,1737640800,1737650700,long,2764.0,2761.2,END_OF_DAY,-280.0
L1,1737684000,1737737100,short,2779.6,2777.7,END_OF_DAY,190.0
L1,1737943200,1737961080,short,2760.9,2775.7,STOP_LOSS_SOFT,-1480.0
L1,1737972000,1737978960,short,2754.6,2735.4452966169,TAKE_PROFIT_HARD,1915.47
L1,1738058400,1738082700,long,2758.4,2771.4,END_OF_DAY,1300.0
L1,1738130400,1738169100,short,2793.6,2794.5,END_OF_DAY,-90.0
L1,1738231200,1738255500,long,2834.4,2849.7,END_OF_DAY,1530.0
L1,1738260000,1738327500,long,2851.9,2835.5,STOP_LOSS_SOFT,-1640.0
L1,1738332000,1738341900,short,2834.2,2832.1,END_OF_DAY,210.0
L1,1738533600,1738552500,short,2811.5,2826.7,STOP_LOSS_SOFT,-1520.0
L1,1738764000,1738773900,short,2888.2,2883.2,END_OF_DAY,500.0
L1,1738836000,1738839000,short,2861.9,2877.0,STOP_LOSS_SOFT,-1510.0
L1,1738850400,1738860300,long,2877.6,2880.7,END_OF_DAY,310.0
L1,1738922400,1738929600,long,2900.3,2881.9,STOP_LOSS_SOFT,-1840.0
L1,1739253600,1739261580,short,2929.1,2909.9452966169,TAKE_PROFIT_HARD,1915.47
L1,1739296800,1739338380,short,2926.5,2907.3452966169,TAKE_PROFIT_HARD,1915.47
L1,1739340000,1739349000,short,2907.4,2888.2452966169003,TAKE_PROFIT_HARD,1915.47
L1,1739354400,1739378700,long,2921.1,2928.1,END_OF_DAY,700.0
L1,1739455200,1739465100,long,2951.9,2958.1,END_OF_DAY,620.0
L1,1739872800,1739897100,long,2944.9,2954.3,END_OF_DAY,940.0
L1,1739901600,1739969100,long,2954.4,2937.8,STOP_LOSS_SOFT,-1660.0
L1,1740002400,1740042780,long,2958.6,2940.9,STOP_LOSS_SOFT,-1770.0
L1,1740535200,1740588300,short,2919.6,2933.2,END_OF_DAY,-1360.0
L1,1740650400,1740674700,short,2884.2,2887.8,END_OF_DAY,-360.0
L1,1741024800,1741058940,long,2904.1,2923.2547033830997,TAKE_PROFIT_HARD,1915.47
L1,1741082400,1741101000,short,2914.0,2928.8,STOP_LOSS_SOFT,-1480.0
L1,1741212000,1741229700,long,2934.8,2918.9,STOP_LOSS_SOFT,-1590.0
L1,1741586400,1741592400,long,2918.1,2903.2,STOP_LOSS_SOFT,-1490.0
L1,1741615200,1741625100,short,2892.1,2893.4,END_OF_DAY,-130.0
L1,1741672800,1741711500,long,2916.8,2923.2,END_OF_DAY,640.0
L1,1741788000,1741797900,long,2944.0,2942.8,END_OF_DAY,-120.0
L1,1741845600,1741862640,long,2956.5,2975.6547033831,TAKE_PROFIT_HARD,1915.47
L1,1742335200,1742395020,short,3036.9,3054.1,STOP_LOSS_SOFT,-1720.0
L1,1742839200,1742895720,long,3017.6,3036.7547033830997,TAKE_PROFIT_HARD,1915.47
L1,1743112800,1743180300,long,3114.8,3117.8,END_OF_DAY,300.0
L1,1743372000,1743382380,long,3127.6,3146.7547033830997,TAKE_PROFIT_HARD,1915.47
L1,1743472800,1743508860,short,3161.1,3141.9452966169,TAKE_PROFIT_HARD,1915.47
L1,1743616800,1743616860,long,3190.3,3155.9046628545,STOP_LOSS_HARD,-3439.53
L1,1743645600,1743660480,short,3154.1,3134.9452966169,TAKE_PROFIT_HARD,1915.47
L1,1743674400,1743674640,short,3106.9,3122.6,STOP_LOSS_SOFT,-1570.0
L1,1743775200,1743781560,short,3043.8,3061.5,STOP_LOSS_SOFT,-1770.0
L1,1744020000,1744020960,short,3032.4,3054.7,STOP_LOSS_SOFT,-2230.0
L1,1744063200,1744098840,long,3013.9,3033.0547033831,TAKE_PROFIT_HARD,1915.47
L1,1744135200,1744148340,short,2998.3,3013.2,STOP_LOSS_SOFT,-1490.0
L1,1744164000,1744165980,long,3032.1,3051.2547033830997,TAKE_PROFIT_HARD,1915.47
L1,1744178400,1744183260,long,3062.1,3081.2547033830997,TAKE_PROFIT_HARD,1915.47
L1,1744192800,1744203360,long,3092.0,3111.1547033831,TAKE_PROFIT_HARD,1915.47
L1,1744207200,1744211100,short,3076.1,3095.5,STOP_LOSS_SOFT,-1940.0
L1,1744250400,1744256340,long,3139.4,3124.3,STOP_LOSS_SOFT,-1510.0
L1,1744322400,1744335900,long,3226.3,3211.0,STOP_LOSS_SOFT,-1530.0
L1,1744380000,1744389900,long,3251.9,3253.5,END_OF_DAY,160.0
L1,1744610400,1744620000,short,3239.9,3220.7452966169003,TAKE_PROFIT_HARD,1915.47
L1,1744639200,1744649100,long,3229.4,3226.9,END_OF_DAY,-250.0
L1,1744653600,1744666620,short,3226.8,3241.7,STOP_LOSS_SOFT,-1490.0
L1,1744840800,1744844280,short,3337.0,3352.5,STOP_LOSS_SOFT,-1550.0
L1,1744898400,1744908300,long,3332.5,3340.9,END_OF_DAY,840.0
L1,1745200800,1745221380,long,3396.8,3415.9547033831,TAKE_PROFIT_HARD,1915.47
L1,1745244000,1745253900,long,3434.1,3436.0,END_OF_DAY,190.0
L1,1745258400,1745264100,long,3435.1,3454.2547033830997,TAKE_PROFIT_HARD,1915.47
L1,1745272800,1745275560,long,3462.6,3481.7547033830997,TAKE_PROFIT_HARD,1915.47
L1,1745445600,1745448060,long,3366.5,3347.6,STOP_LOSS_SOFT,-1890.0
L1,1745460000,1745470140,short,3334.3,3350.3,STOP_LOSS_SOFT,-1600.0
L1,1745532000,1745539140,short,3356.2,3337.0452966169,TAKE_PROFIT_HARD,1915.47
L1,1745546400,1745550900,short,3303.9,3321.1,STOP_LOSS_SOFT,-1720.0
L1,1745776800,1745781720,long,3330.2,3315.1,STOP_LOSS_SOFT,-1510.0
L1,1745791200,1745801220,short,3290.8,3307.0,STOP_LOSS_SOFT,-1620.0
L1,1745834400,1745835720,long,3303.5,3322.6547033831,TAKE_PROFIT_HARD,1915.47
L1,1745992800,1746001380,short,3285.3,3301.9,STOP_LOSS_SOFT,-1660.0
L1,1746007200,1746010020,long,3318.9,3304.2,STOP_LOSS_SOFT,-1470.0
L1,1746036000,1746038400,short,3299.2,3280.0452966169,TAKE_PROFIT_HARD,1915.47
L1,1746122400,1746152340,long,3248.3,3267.4547033831,TAKE_PROFIT_HARD,1915.47
L1,1746381600,1746393300,long,3247.4,3266.5547033831,TAKE_PROFIT_HARD,1915.47
L1,1746424800,1746439560,long,3317.3,3336.4547033831,TAKE_PROFIT_HARD,1915.47
L1,1746496800,1746502500,short,3369.3,3384.4,STOP_LOSS_SOFT,-1510.0
L1,1746511200,1746534180,long,3390.9,3410.0547033831,TAKE_PROFIT_HARD,1915.47
L1,1746540000,1746549900,long,3422.0,3437.6,END_OF_DAY,1560.0
L1,1746741600,1746745200,short,3295.9,3312.9,STOP_LOSS_SOFT,-1700.0
L1,1747058400,1747063740,short,3226.8,3242.1,STOP_LOSS_SOFT,-1530.0
L1,1747116000,1747129200,short,3257.8,3238.6452966169004,TAKE_PROFIT_HARD,1915.47
