layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735768920,1735769100,short,4.054,4.05015054990472,TAKE_PROFIT_HARD,96.24
L1,1735770000,1735770060,short,4.054,4.05551290474319,STOP_LOSS_HARD,-37.82
L1,1735894200,1735894200,short,4.0535,4.055012904743189,STOP_LOSS_HARD,-37.82
L1,1735899840,1735900020,short,4.0535,4.055012904743189,STOP_LOSS_HARD,-37.82
L1,1735900080,1735900260,short,4.0545,4.05065054990472,TAKE_PROFIT_HARD,96.24
L1,1735900440,1735900500,short,4.0535,4.055012904743189,STOP_LOSS_HARD,-37.82
L1,1735900800,1735901220,short,4.0535,4.04965054990472,TAKE_PROFIT_HARD,96.24
L1,1735901640,1735901760,short,4.0565,4.058012904743189,STOP_LOSS_HARD,-37.82
L1,1735907760,1735907820,long,4.0745,4.07298709525681,STOP_LOSS_HARD,-37.82
L1,1735908240,1735908480,long,4.074,4.078,TAKE_PROFIT_HARD,100.0
L1,1735908600,1735908660,long,4.0755,4.07398709525681,STOP_LOSS_HARD,-37.82
L1,1735909200,1735909200,long,4.0735,4.0719870952568105,STOP_LOSS_HARD,-37.82
L1,1735911840,1735913820,long,4.071,4.07484945009528,TAKE_PROFIT_HARD,96.24
L1,1735918680,1735918980,long,4.0755,4.07398709525681,STOP_LOSS_HARD,-37.82
L1,1736145480,1736145480,short,4.1465,4.14265054990472,TAKE_PROFIT_HARD,96.24
L1,1736152680,1736152740,long,4.182,4.180487095256811,STOP_LOSS_HARD,-37.82
L1,1736153040,1736153040,short,4.1805,4.17665054990472,TAKE_PROFIT_HARD,96.24
L1,1736153400,1736153460,short,4.1805,4.17665054990472,TAKE_PROFIT_HARD,96.24
L1,1736154000,1736154000,short,4.179,4.18051290474319,STOP_LOSS_HARD,-37.82
L1,1736154120,1736154120,short,4.183,4.1845129047431895,STOP_LOSS_HARD,-37.82
L1,1736154840,1736154900,long,4.1825,4.1809870952568104,STOP_LOSS_HARD,-37.82
L1,1736156040,1736156040,long,4.1565,4.154987095256811,STOP_LOSS_HARD,-37.82
L1,1736156400,1736156460,long,4.159,4.16284945009528,TAKE_PROFIT_HARD,96.24
L1,1736157480,1736157480,short,4.1805,4.18201290474319,STOP_LOSS_HARD,-37.82
L1,1736164560,1736164920,short,4.18,4.17615054990472,TAKE_PROFIT_HARD,96.24
L1,1736168400,1736168400,long,4.1605,4.15898709525681,STOP_LOSS_HARD,-37.82
L1,1736200560,1736200680,short,4.1425,4.14401290474319,STOP_LOSS_HARD,-37.82
L1,1736210520,1736211420,long,4.162,4.16048709525681,STOP_LOSS_HARD,-37.82
L1,1736212560,1736212800,long,4.162,4.16584945009528,TAKE_PROFIT_HARD,96.24
L1,1736213160,1736213280,long,4.161,4.1648494500952795,TAKE_PROFIT_HARD,96.24
L1,1736217360,1736217660,long,4.1855,4.183987095256811,STOP_LOSS_HARD,-37.82
L1,1736217720,1736217840,long,4.183,4.18684945009528,TAKE_PROFIT_HARD,96.24
L1,1736218200,1736218380,long,4.1855,4.183987095256811,STOP_LOSS_HARD,-37.82
L1,1736220120,1736220180,long,4.1855,4.183987095256811,STOP_LOSS_HARD,-37.82
L1,1736220240,1736220300,long,4.1845,4.18298709525681,STOP_LOSS_HARD,-37.82
L1,1736220840,1736220960,long,4.1845,4.18298709525681,STOP_LOSS_HARD,-37.82
L1,1736222160,1736222160,long,4.185,4.18348709525681,STOP_LOSS_HARD,-37.82
L1,1736226240,1736226300,long,4.185,4.1888494500952795,TAKE_PROFIT_HARD,96.24
L1,1736231400,1736231820,short,4.1815,4.183012904743189,STOP_LOSS_HARD,-37.82
L1,1736234400,1736234400,short,4.18,4.181512904743189,STOP_LOSS_HARD,-37.82
L1,1736245080,1736245200,long,4.1855,4.18934945009528,TAKE_PROFIT_HARD,96.24
