layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735768800,1735783440,long,4.054,4.0306170986313,STOP_LOSS_HARD,-584.57
L1,1736157600,1736168400,long,4.181,4.1576170986313,STOP_LOSS_HARD,-584.57
L1,1736215200,1736237520,long,4.166,4.2019932978657,TAKE_PROFIT_HARD,899.83
L1,1736287200,1736317980,long,4.197,4.1736170986313,STOP_LOSS_HARD,-584.57
L1,1736330400,1736370060,long,4.2485,4.2844932978656995,TAKE_PROFIT_HARD,899.83
L1,1736805600,1736842800,long,4.3435,4.320117098631299,STOP_LOSS_HARD,-584.57
L1,1736863200,1736901240,long,4.3475,4.3241170986313,STOP_LOSS_HARD,-584.57
L1,1736906400,1736932920,long,4.338,4.3739932978657,TAKE_PROFIT_HARD,899.83
L1,1736935200,1736937900,long,4.3835,4.360117098631299,STOP_LOSS_HARD,-584.57
L1,1736949600,1736993340,long,4.3955,4.4314932978657,TAKE_PROFIT_HARD,899.83
L1,1737453600,1737538260,long,4.3145,4.291117098631299,STOP_LOSS_HARD,-584.57
L1,1737612000,1737631260,long,4.28,4.3159932978657,TAKE_PROFIT_HARD,899.83
L1,1737957600,1737974340,long,4.2775,4.2541170986312995,STOP_LOSS_HARD,-584.57
L1,1738144800,1738227720,long,4.2825,4.318493297865699,TAKE_PROFIT_HARD,899.83
L1,1738519200,1738519200,long,4.273,4.249617098631299,STOP_LOSS_HARD,-584.57
L1,1738591200,1738620660,long,4.3175,4.3534932978656995,TAKE_PROFIT_HARD,899.83
L1,1738663200,1738722660,long,4.3435,4.379493297865699,TAKE_PROFIT_HARD,899.83
L1,1738749600,1738755900,long,4.3815,4.4174932978656996,TAKE_PROFIT_HARD,899.83
L1,1738792800,1738821420,long,4.4925,4.469117098631299,STOP_LOSS_HARD,-584.57
L1,1738922400,1738925760,long,4.605,4.5816170986313,STOP_LOSS_HARD,-584.57
L1,1739181600,1739184720,long,4.67,4.7059932978656995,TAKE_PROFIT_HARD,899.83
L1,1739484000,1739511540,long,4.8045,4.7811170986313,STOP_LOSS_HARD,-584.57
L1,1739930400,1739962680,long,4.583,4.5596170986313,STOP_LOSS_HARD,-584.57
L1,1740002400,1740024120,long,4.5765,4.6124932978657,TAKE_PROFIT_HARD,899.83
L1,1740506400,1740515280,long,4.7,4.7359932978657,TAKE_PROFIT_HARD,899.83
L1,1741096800,1741126080,long,4.5685,4.6044932978657,TAKE_PROFIT_HARD,899.83
L1,1741140000,1741140120,long,4.69,4.7259932978657,TAKE_PROFIT_HARD,899.83
L1,1741183200,1741222020,long,4.8015,4.7781170986312995,STOP_LOSS_HARD,-584.57
L1,1741255200,1741256280,long,4.8105,4.7871170986313,STOP_LOSS_HARD,-584.57
L1,1741327200,1741330020,long,4.782,4.7586170986313,STOP_LOSS_HARD,-584.57
L1,1741629600,1741667160,long,4.646,4.6819932978656995,TAKE_PROFIT_HARD,899.83
L1,1741672800,1741678080,long,4.724,4.7599932978657,TAKE_PROFIT_HARD,899.83
L1,1741716000,1741734960,long,4.7965,4.8324932978657,TAKE_PROFIT_HARD,899.83
L1,1741744800,1741747860,long,4.8155,4.7921170986313,STOP_LOSS_HARD,-584.57
L1,1741759200,1741762200,long,4.8205,4.8564932978657,TAKE_PROFIT_HARD,899.83
L1,1741845600,1741860420,long,4.8355,4.871493297865699,TAKE_PROFIT_HARD,899.83
L1,1742220000,1742285760,long,4.974,5.0099932978657,TAKE_PROFIT_HARD,899.83
L1,1742349600,1742378400,long,5.037,5.0729932978656995,TAKE_PROFIT_HARD,899.83
L1,1742407200,1742449980,long,5.122,5.0986170986312995,STOP_LOSS_HARD,-584.57
L1,1742508000,1742511900,long,5.125,5.1016170986313,STOP_LOSS_HARD,-584.57
L1,1742767200,1742784180,long,5.1245,5.1604932978657,TAKE_PROFIT_HARD,899.83
L1,1742868000,1742890440,long,5.122,5.1579932978656995,TAKE_PROFIT_HARD,899.83
L1,1742896800,1742921940,long,5.19,5.2259932978657,TAKE_PROFIT_HARD,899.83
L1,1742940000,1742945460,long,5.271,5.2476170986312995,STOP_LOSS_HARD,-584.57
L1,1743156000,1743157920,long,5.1615,5.1381170986313,STOP_LOSS_HARD,-584.57
L1,1743415200,1743434580,short,5.0335,5.0568829013687004,STOP_LOSS_HARD,-584.57
L1,1743444000,1743461580,long,5.0525,5.0884932978657,TAKE_PROFIT_HARD,899.83
L1,1743544800,1743563160,long,5.059,5.0356170986313,STOP_LOSS_HARD,-584.57
L1,1744610400,1744616580,long,4.5805,4.616493297865699,TAKE_PROFIT_HARD,899.83
L1,1745200800,1745217660,long,4.758,4.7939932978657,TAKE_PROFIT_HARD,899.83
L1,1745272800,1745284080,long,4.7525,4.7884932978657,TAKE_PROFIT_HARD,899.83
L1,1745287200,1745288400,long,4.7835,4.7601170986313,STOP_LOSS_HARD,-584.57
L1,1745474400,1745485080,long,4.8675,4.8425,STOP_LOSS_HARD,-625.0
L1,1745503200,1745517600,long,4.865,4.937,TAKE_PROFIT_HARD,1800.0
L1,1745575200,1745777940,long,4.8745,4.9104932978657,TAKE_PROFIT_HARD,899.83
L1,1745906400,1745917260,long,4.947,4.9236170986313,STOP_LOSS_HARD,-584.57
L1,1746194400,1746412260,long,4.6845,4.7204932978656995,TAKE_PROFIT_HARD,899.83
L1,1746424800,1746427020,long,4.753,4.7296170986313,STOP_LOSS_HARD,-584.57
L1,1746525600,1746556320,long,4.771,4.8069932978656995,TAKE_PROFIT_HARD,899.83
L1,1746655200,1746668400,long,4.665,4.6416170986313,STOP_LOSS_HARD,-584.57
L1,1746698400,1746699720,long,4.6435,4.6201170986313,STOP_LOSS_HARD,-584.57
L1,1746784800,1746787260,long,4.676,4.6526170986313,STOP_LOSS_HARD,-584.57
L1,1747072800,1747085700,long,4.6305,4.607117098631299,STOP_LOSS_HARD,-584.57
L1,1747101600,1747119360,long,4.6465,4.682493297865699,TAKE_PROFIT_HARD,899.83
L1,1747288800,1747301460,long,4.615,4.6509932978657,TAKE_PROFIT_HARD,899.83
L1,1747317600,1747344180,long,4.695,4.6716170986313,STOP_LOSS_HARD,-584.57
L1,1747389600,1747391220,long,4.6345,4.6111170986313,STOP_LOSS_HARD,-584.57
L1,1747404000,1747620840,short,4.5865,4.6098829013687,STOP_LOSS_HARD,-584.57
L1,1747778400,1747806000,long,4.688,4.664617098631299,STOP_LOSS_HARD,-584.57
L1,1747864800,1747874700,long,4.6925,4.7284932978656995,TAKE_PROFIT_HARD,899.83
L1,1747922400,1747972200,long,4.687,4.7229932978657,TAKE_PROFIT_HARD,899.83
L1,1748008800,1748202660,long,4.865,4.8416170986313,STOP_LOSS_HARD,-584.57
L1,1748282400,1748294220,long,4.847,4.8236170986313,STOP_LOSS_HARD,-584.57
L1,1748397600,1748401620,short,4.7115,4.7348829013687,STOP_LOSS_HARD,-584.57
L1,1748469600,1748491260,long,4.7025,4.738493297865699,TAKE_PROFIT_HARD,899.83
L1,1748570400,1748574120,long,4.6805,4.6571170986313,STOP_LOSS_HARD,-584.57
L1,1748613600,1748800800,long,4.6835,4.72,TAKE_PROFIT_HARD,912.5
L1,1748959200,1748987580,long,4.857,4.8929932978657,TAKE_PROFIT_HARD,899.83
L1,1749103200,1749114840,long,5.0005,5.036493297865699,TAKE_PROFIT_HARD,899.83
L1,1749434400,1749457740,long,4.8535,4.8894932978657,TAKE_PROFIT_HARD,899.83
L1,1749463200,1749499860,long,4.9105,4.8871170986312995,STOP_LOSS_HARD,-584.57
L1,1749549600,1749550140,long,4.918,4.8946170986313,STOP_LOSS_HARD,-584.57
L1,1749636000,1749650460,long,4.8185,4.7951170986313,STOP_LOSS_HARD,-584.57
L1,1749722400,1749758340,long,4.8205,4.8564932978657,TAKE_PROFIT_HARD,899.83
L1,1750212000,1750240080,long,4.836,4.8126170986313,STOP_LOSS_HARD,-584.57
L1,1750399200,1750407960,long,4.8325,4.868493297865699,TAKE_PROFIT_HARD,899.83
L1,1750672800,1750684620,long,4.8295,4.8654932978657,TAKE_PROFIT_HARD,899.83
L1,1750687200,1750688700,long,4.8785,4.914493297865699,TAKE_PROFIT_HARD,899.83
L1,1750730400,1750736100,long,4.9005,4.8771170986313,STOP_LOSS_HARD,-584.57
L1,1750773600,1750788000,long,4.877,4.9485,TAKE_PROFIT_HARD,1787.5
L1,1750816800,1750825200,long,4.964,4.9406170986313,STOP_LOSS_HARD,-584.57
L1,1751032800,1751234700,long,5.1195,5.0961170986313,STOP_LOSS_HARD,-584.57
L1,1751292000,1751336220,long,5.0905,5.126493297865699,TAKE_PROFIT_HARD,899.83
L1,1751464800,1751494140,long,5.205,5.1816170986313,STOP_LOSS_HARD,-584.57
L1,1751824800,1751837820,long,5.0625,5.0391170986313,STOP_LOSS_HARD,-584.57
L1,1751868000,1751876760,long,5.039,5.015617098631299,STOP_LOSS_HARD,-584.57
L1,1751925600,1751943660,long,5.021,5.0569932978656995,TAKE_PROFIT_HARD,899.83
L1,1752501600,1752508080,long,5.546,5.5226170986313,STOP_LOSS_HARD,-584.57
L1,1752530400,1752531660,long,5.542,5.5186170986312995,STOP_LOSS_HARD,-584.57
L1,1752616800,1752629460,long,5.5335,5.5101170986313,STOP_LOSS_HARD,-584.57
L1,1752818400,1752823740,long,5.589,5.5645,STOP_LOSS_HARD,-612.5
L1,1753164000,1753175340,long,5.662,5.6979932978656995,TAKE_PROFIT_HARD,899.83
L1,1753192800,1753201920,long,5.714,5.7499932978657,TAKE_PROFIT_HARD,899.83
L1,1753250400,1753261200,long,5.814,5.8499932978657,TAKE_PROFIT_HARD,899.83
L1,1754056800,1754058480,long,4.438,4.414617098631299,STOP_LOSS_HARD,-584.57
L1,1754431200,1754471880,long,4.3975,4.4334932978657,TAKE_PROFIT_HARD,899.83
L1,1754488800,1754571420,long,4.416,4.3926170986313,STOP_LOSS_HARD,-584.57
L1,1754906400,1754916000,long,4.463,4.4396170986313,STOP_LOSS_HARD,-584.57
L1,1755064800,1755072960,long,4.5385,4.5151170986313,STOP_LOSS_HARD,-584.57
L1,1755871200,1756144800,long,4.472,4.5335,TAKE_PROFIT_HARD,1537.5
L1,1756202400,1756265460,long,4.535,4.5116170986313,STOP_LOSS_HARD,-584.57
L1,1756375200,1756388760,long,4.519,4.5549932978657,TAKE_PROFIT_HARD,899.83
L1,1757282400,1757497620,long,4.5685,4.6044932978657,TAKE_PROFIT_HARD,899.83
L1,1757498400,1757589300,long,4.611,4.646993297865699,TAKE_PROFIT_HARD,899.83
L1,1757599200,1757641920,long,4.6575,4.693493297865699,TAKE_PROFIT_HARD,899.83
L1,1757944800,1757975520,long,4.723,4.6996170986312995,STOP_LOSS_HARD,-584.57
L1,1758031200,1758059280,short,4.693,4.6570067021343,TAKE_PROFIT_HARD,899.83
L1,1758103200,1758118140,long,4.626,4.6619932978657,TAKE_PROFIT_HARD,899.83
L1,1758276000,1758558360,long,4.6145,4.650493297865699,TAKE_PROFIT_HARD,899.83
L1,1758708000,1758709440,long,4.7485,4.7844932978656995,TAKE_PROFIT_HARD,899.83
L1,1758751200,1758751800,long,4.8375,4.8734932978657,TAKE_PROFIT_HARD,899.83
L1,1759140000,1759140900,long,4.8595,4.895493297865699,TAKE_PROFIT_HARD,899.83
L1,1759356000,1759377180,long,4.92,4.9559932978656995,TAKE_PROFIT_HARD,899.83
L1,1759485600,1759490880,long,5.065,5.1009932978657,TAKE_PROFIT_HARD,899.83
L1,1759701600,1759705140,long,5.121,5.0976170986313,STOP_LOSS_HARD,-584.57
L1,1759831200,1759833000,long,5.1255,5.102117098631299,STOP_LOSS_HARD,-584.57
L1,1759903200,1759911840,long,5.142,5.1186170986313,STOP_LOSS_HARD,-584.57
L1,1759975200,1759997160,long,5.159,5.194993297865699,TAKE_PROFIT_HARD,899.83
L1,1760479200,1760493840,long,5.02,5.055993297865699,TAKE_PROFIT_HARD,899.83
L1,1760508000,1760521140,short,5.0395,5.003506702134301,TAKE_PROFIT_HARD,899.83
L1,1760709600,1760911860,long,4.9865,5.0224932978657,TAKE_PROFIT_HARD,899.83
L1,1761098400,1761126000,long,4.98,5.0159932978657,TAKE_PROFIT_HARD,899.83
L1,1761184800,1761188520,long,5.02,5.055993297865699,TAKE_PROFIT_HARD,899.83
