layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735764960,1735764960,short,3.596,3.5930711097420502,TAKE_PROFIT_HARD,29.29
L1,1735765080,1735765080,short,3.596,3.59805447444533,STOP_LOSS_HARD,-20.54
L1,1735766520,1735766580,short,3.595,3.59705447444533,STOP_LOSS_HARD,-20.54
L1,1735766640,1735766640,short,3.597,3.59905447444533,STOP_LOSS_HARD,-20.54
L1,1735767480,1735767480,short,3.597,3.59407110974205,TAKE_PROFIT_HARD,29.29
L1,1735767960,1735768200,short,3.596,3.59805447444533,STOP_LOSS_HARD,-20.54
L1,1735780200,1735780200,short,3.595,3.5920711097420503,TAKE_PROFIT_HARD,29.29
L1,1735780440,1735780440,long,3.557,3.55494552555467,STOP_LOSS_HARD,-20.54
L1,1735781520,1735781580,short,3.595,3.59705447444533,STOP_LOSS_HARD,-20.54
L1,1735782720,1735782720,short,3.601,3.59807110974205,TAKE_PROFIT_HARD,29.29
L1,1735785480,1735785540,short,3.601,3.60305447444533,STOP_LOSS_HARD,-20.54
L1,1735786320,1735786320,short,3.596,3.5930711097420502,TAKE_PROFIT_HARD,29.29
L1,1735786440,1735786440,short,3.599,3.5960711097420504,TAKE_PROFIT_HARD,29.29
L1,1735787160,1735787220,short,3.601,3.60305447444533,STOP_LOSS_HARD,-20.54
L1,1735799520,1735799520,long,3.733,3.73592889025795,TAKE_PROFIT_HARD,29.29
L1,1735801080,1735801080,long,3.729,3.73192889025795,TAKE_PROFIT_HARD,29.29
L1,1735820040,1735820040,short,3.762,3.75907110974205,TAKE_PROFIT_HARD,29.29
L1,1735820280,1735820280,short,3.761,3.76305447444533,STOP_LOSS_HARD,-20.54
L1,1735822080,1735822080,short,3.756,3.75307110974205,TAKE_PROFIT_HARD,29.29
L1,1735822560,1735822560,short,3.756,3.7580544744453297,STOP_LOSS_HARD,-20.54
L1,1735822680,1735822680,short,3.759,3.75607110974205,TAKE_PROFIT_HARD,29.29
L1,1735865520,1735865520,short,3.602,3.59907110974205,TAKE_PROFIT_HARD,29.29
L1,1735866120,1735866120,long,3.574,3.571,STOP_LOSS_HARD,-30.0
L1,1735866480,1735866480,long,3.575,3.57792889025795,TAKE_PROFIT_HARD,29.29
L1,1735866720,1735866720,long,3.571,3.5689455255546703,STOP_LOSS_HARD,-20.54
L1,1735870320,1735870380,long,3.569,3.56694552555467,STOP_LOSS_HARD,-20.54
