layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735826400,1735830780,short,2239.0,2248.2,STOP_LOSS_SOFT,-460.0
L1,1735833600,1735836300,long,2249.5,2250.2,END_OF_DAY,35.0
L1,1736715600,1736720820,short,2183.3,2175.3569965790202,TAKE_PROFIT_HARD,397.15
L1,1736737200,1736741040,long,2181.1,2173.2,STOP_LOSS_SOFT,-395.0
L1,1736827200,1736838840,long,2223.9,2217.0,STOP_LOSS_SOFT,-345.0
L1,1737396000,1737396000,long,2315.4,2323.34300342098,TAKE_PROFIT_HARD,397.15
L1,1737716400,1737720420,long,2323.8,2331.74300342098,TAKE_PROFIT_HARD,397.15
L1,1738594800,1738597620,long,2273.9,2266.5,STOP_LOSS_SOFT,-370.0
L1,1738605600,1738605600,long,2282.6,2293.6,TAKE_PROFIT_HARD,550.0
L1,1738692000,1738747740,long,2301.8,2309.74300342098,TAKE_PROFIT_HARD,397.15
L1,1738753200,1738757280,long,2314.3,2322.24300342098,TAKE_PROFIT_HARD,397.15
L1,1739217600,1739242740,long,2293.7,2285.5,STOP_LOSS_SOFT,-410.0
L1,1739358000,1739358720,long,2260.7,2251.0,STOP_LOSS_SOFT,-485.0
L1,1740646800,1740650100,short,2175.0,2167.05699657902,TAKE_PROFIT_HARD,397.15
L1,1740672000,1740674700,short,2145.2,2148.8,END_OF_DAY,-180.0
L1,1741158000,1741162740,short,2099.1,2091.15699657902,TAKE_PROFIT_HARD,397.15
L1,1741348800,1741350780,short,2041.1,2051.2,STOP_LOSS_SOFT,-505.0
L1,1741618800,1741620000,short,2009.3,2018.3,STOP_LOSS_SOFT,-450.0
L1,1741640400,1741640880,short,2012.3,2004.35699657902,TAKE_PROFIT_HARD,397.15
L1,1741683600,1741685340,short,2035.5,2027.55699657902,TAKE_PROFIT_HARD,397.15
L1,1741698000,1741699620,short,2011.9,2003.9569965790201,TAKE_PROFIT_HARD,397.15
L1,1741777200,1741779360,short,2016.3,2022.9,STOP_LOSS_SOFT,-330.0
L1,1741791600,1741793700,long,2039.5,2029.1,STOP_LOSS_SOFT,-520.0
L1,1741892400,1741906440,long,2008.7,2016.64300342098,TAKE_PROFIT_HARD,397.15
L1,1741946400,1741946400,long,2024.4,2013.1948215208001,STOP_LOSS_HARD,-560.26
L1,1742205600,1742210220,long,2070.1,2078.04300342098,TAKE_PROFIT_HARD,397.15
L1,1742223600,1742227440,long,2089.6,2082.7,STOP_LOSS_SOFT,-345.0
L1,1742385600,1742390460,long,2086.5,2079.4,STOP_LOSS_SOFT,-355.0
L1,1742810400,1742814000,long,2112.9,2120.84300342098,TAKE_PROFIT_HARD,397.15
L1,1742821200,1742827440,short,2114.1,2122.1,STOP_LOSS_SOFT,-400.0
L1,1742886000,1742895180,long,2118.5,2126.44300342098,TAKE_PROFIT_HARD,397.15
L1,1743418800,1743426600,long,2012.7,2020.64300342098,TAKE_PROFIT_HARD,397.15
L1,1743595200,1743596160,long,2043.8,2051.74300342098,TAKE_PROFIT_HARD,397.15
L1,1743634800,1743645300,long,1977.0,1969.5,STOP_LOSS_SOFT,-375.0
L1,1743721200,1743723060,short,1914.4,1906.4569965790201,TAKE_PROFIT_HARD,397.15
L1,1743742800,1743746940,short,1894.2,1886.25699657902,TAKE_PROFIT_HARD,397.15
L1,1743987600,1743988260,long,1768.6,1776.5430034209799,TAKE_PROFIT_HARD,397.15
L1,1744178400,1744179600,short,1760.7,1752.5,TAKE_PROFIT_HARD,410.0
L1,1744286400,1744287360,short,1822.6,1814.65699657902,TAKE_PROFIT_HARD,397.15
L1,1744387200,1744389900,long,1869.3,1869.5,END_OF_DAY,10.0
L1,1745470800,1745476860,short,1913.2,1920.1,STOP_LOSS_SOFT,-345.0
L1,1745496000,1745497680,long,1948.3,1956.24300342098,TAKE_PROFIT_HARD,397.15
L1,1745535600,1745539500,short,1958.5,1965.2,STOP_LOSS_SOFT,-335.0
L1,1745542800,1745558220,short,1962.4,1954.4569965790201,TAKE_PROFIT_HARD,397.15
