layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735758600,1735758720,short,2249.2,2246.72591415112,TAKE_PROFIT_HARD,123.7
L1,1735831500,1735831860,short,2247.5,2250.71704707389,STOP_LOSS_HARD,-160.85
L1,1735833600,1735835100,short,2249.5,2251.8,STOP_LOSS_SOFT,-115.0
L1,1735915500,1735915980,long,2282.8,2279.58295292611,STOP_LOSS_HARD,-160.85
L1,1735918800,1735919700,long,2283.4,2285.87408584888,TAKE_PROFIT_HARD,123.7
L1,1736146800,1736147340,short,2307.1,2304.62591415112,TAKE_PROFIT_HARD,123.7
L1,1736148000,1736148600,short,2305.7,2308.1,STOP_LOSS_SOFT,-120.0
L1,1736149500,1736150100,short,2312.7,2310.22591415112,TAKE_PROFIT_HARD,123.7
L1,1736151300,1736151780,long,2306.3,2308.77408584888,TAKE_PROFIT_HARD,123.7
L1,1736163600,1736164440,short,2305.6,2308.81704707389,STOP_LOSS_HARD,-160.85
L1,1736174400,1736175360,long,2292.5,2289.28295292611,STOP_LOSS_HARD,-160.85
L1,1736253900,1736254560,long,2261.3,2263.77408584888,TAKE_PROFIT_HARD,123.7
L1,1736256000,1736257020,short,2269.8,2267.3,TAKE_PROFIT_HARD,125.0
L1,1736268900,1736273220,long,2263.6,2260.3829529261097,STOP_LOSS_HARD,-160.85
L1,1736284200,1736285640,short,2269.5,2267.02591415112,TAKE_PROFIT_HARD,123.7
L1,1736298600,1736300040,short,2269.2,2266.5,TAKE_PROFIT_HARD,135.0
L1,1736339700,1736340180,long,2236.2,2238.6740858488797,TAKE_PROFIT_HARD,123.7
L1,1736340600,1736340720,long,2236.5,2238.97408584888,TAKE_PROFIT_HARD,123.7
L1,1736342400,1736342460,short,2250.1,2247.62591415112,TAKE_PROFIT_HARD,123.7
L1,1736343600,1736343960,short,2252.1,2249.62591415112,TAKE_PROFIT_HARD,123.7
L1,1736366400,1736371140,short,2249.7,2252.2,STOP_LOSS_SOFT,-125.0
L1,1736497200,1736497260,short,2250.4,2247.92591415112,TAKE_PROFIT_HARD,123.7
L1,1736514600,1736514900,short,2202.3,2199.8259141511203,TAKE_PROFIT_HARD,123.7
L1,1736520000,1736521020,short,2203.5,2206.71704707389,STOP_LOSS_HARD,-160.85
L1,1736741100,1736741340,long,2173.2,2175.6740858488797,TAKE_PROFIT_HARD,123.7
L1,1736783400,1736783460,short,2202.3,2205.5170470738904,STOP_LOSS_HARD,-160.85
L1,1736812800,1736817420,long,2215.6,2218.07408584888,TAKE_PROFIT_HARD,123.7
L1,1736819400,1736821140,long,2215.2,2217.6740858488797,TAKE_PROFIT_HARD,123.7
L1,1736823900,1736824200,short,2223.4,2220.92591415112,TAKE_PROFIT_HARD,123.7
L1,1736824500,1736824980,short,2222.3,2225.2,STOP_LOSS_SOFT,-145.0
L1,1736829900,1736834700,short,2221.6,2219.12591415112,TAKE_PROFIT_HARD,123.7
L1,1736837100,1736838000,short,2221.8,2219.3259141511203,TAKE_PROFIT_HARD,123.7
L1,1736842200,1736843100,long,2215.4,2212.6,STOP_LOSS_SOFT,-140.0
L1,1736846100,1736846220,short,2223.1,2226.31704707389,STOP_LOSS_HARD,-160.85
L1,1736861100,1736861520,short,2222.8,2226.0170470738904,STOP_LOSS_HARD,-160.85
L1,1736879400,1736882400,long,2236.0,2238.47408584888,TAKE_PROFIT_HARD,123.7
L1,1736924400,1736925300,short,2246.8,2244.3259141511203,TAKE_PROFIT_HARD,123.7
L1,1737089100,1737090540,long,2284.2,2286.6740858488797,TAKE_PROFIT_HARD,123.7
L1,1737103800,1737105480,short,2302.6,2300.12591415112,TAKE_PROFIT_HARD,123.7
L1,1737105600,1737106080,short,2302.6,2305.81704707389,STOP_LOSS_HARD,-160.85
L1,1737109200,1737109320,long,2292.5,2289.28295292611,STOP_LOSS_HARD,-160.85
L1,1737111900,1737112200,long,2291.7,2288.4829529261096,STOP_LOSS_HARD,-160.85
L1,1737119700,1737120780,long,2292.2,2288.9829529261096,STOP_LOSS_HARD,-160.85
L1,1737343500,1737347040,long,2292.6,2289.9,STOP_LOSS_SOFT,-135.0
L1,1737365400,1737365520,short,2308.0,2305.52591415112,TAKE_PROFIT_HARD,123.7
L1,1737372600,1737374760,short,2314.8,2312.3259141511203,TAKE_PROFIT_HARD,123.7
L1,1737375600,1737375840,short,2315.9,2313.42591415112,TAKE_PROFIT_HARD,123.7
L1,1737411300,1737414240,short,2306.0,2303.52591415112,TAKE_PROFIT_HARD,123.7
L1,1737415500,1737415800,short,2306.2,2303.72591415112,TAKE_PROFIT_HARD,123.7
L1,1737432900,1737435960,short,2305.4,2308.6170470738903,STOP_LOSS_HARD,-160.85
L1,1737476100,1737482400,long,2329.6,2326.3829529261097,STOP_LOSS_HARD,-160.85
L1,1737493200,1737509460,long,2329.3,2326.8,STOP_LOSS_SOFT,-125.0
L1,1737529500,1737530400,long,2329.4,2331.87408584888,TAKE_PROFIT_HARD,123.7
L1,1737550500,1737550620,short,2314.4,2311.92591415112,TAKE_PROFIT_HARD,123.7
L1,1737561600,1737576780,short,2315.8,2318.2,STOP_LOSS_SOFT,-120.0
