layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735783200,1735836300,long,29.78,29.995,END_OF_DAY,1075.0
L1,1736172000,1736181900,short,30.495,30.48,END_OF_DAY,75.0
L1,1736388000,1736409660,long,30.805,31.137215322324,TAKE_PROFIT_HARD,1661.08
L1,1736877600,1736929800,long,30.555,30.887215322324,TAKE_PROFIT_HARD,1661.08
L1,1736949600,1736959500,long,31.55,31.595,END_OF_DAY,225.0
L1,1737021600,1737045900,short,31.765,31.595,END_OF_DAY,850.0
L1,1737410400,1737429840,long,31.42,31.105,STOP_LOSS_SOFT,-1575.0
L1,1737669600,1737708000,long,31.26,31.592215322324,TAKE_PROFIT_HARD,1661.08
L1,1738015200,1738059660,short,30.445,30.745,STOP_LOSS_SOFT,-1500.0
L1,1738936800,1738946700,short,32.265,32.2,END_OF_DAY,325.0
L1,1739138400,1739160540,long,32.36,32.692215322323996,TAKE_PROFIT_HARD,1661.08
L1,1739512800,1739522880,long,34.13,33.795,STOP_LOSS_SOFT,-1675.0
L1,1739527200,1739528340,short,33.84,33.50778467767601,TAKE_PROFIT_HARD,1661.08
L1,1739728800,1739766120,short,32.655,32.98,STOP_LOSS_SOFT,-1625.0
L1,1740045600,1740069900,short,33.43,33.445,END_OF_DAY,-75.0
L1,1740132000,1740133560,short,33.265,32.932784677676004,TAKE_PROFIT_HARD,1661.08
L1,1740477600,1740479040,short,32.325,31.992784677676003,TAKE_PROFIT_HARD,1661.08
L1,1740535200,1740573960,short,32.29,32.59,STOP_LOSS_SOFT,-1500.0
L1,1740650400,1740674700,short,32.02,31.85,END_OF_DAY,850.0
L1,1741082400,1741097220,short,32.2,32.525,STOP_LOSS_SOFT,-1625.0
L1,1741140000,1741169160,long,32.69,33.022215322323994,TAKE_PROFIT_HARD,1661.08
L1,1741183200,1741193100,long,33.135,33.22,END_OF_DAY,425.0
L1,1741269600,1741279500,short,33.24,33.2,END_OF_DAY,200.0
L1,1741615200,1741625100,short,32.39,32.46,END_OF_DAY,-350.0
L1,1741744800,1741768260,short,33.285,33.615,STOP_LOSS_SOFT,-1650.0
L1,1741816800,1741838700,long,33.74,33.445,STOP_LOSS_SOFT,-1475.0
L1,1742983200,1743007500,short,34.115,34.2,END_OF_DAY,-425.0
L1,1743055200,1743057420,long,34.41,34.74221532232399,TAKE_PROFIT_HARD,1661.08
L1,1743170400,1743180300,short,34.775,34.815,END_OF_DAY,-200.0
L1,1743516000,1743525900,short,34.33,34.375,END_OF_DAY,-225.0
L1,1743573600,1743582420,long,34.805,34.51,STOP_LOSS_SOFT,-1475.0
L1,1743631200,1743637140,short,34.14,33.807784677676004,TAKE_PROFIT_HARD,1661.08
L1,1743645600,1743650040,short,33.575,33.242784677676006,TAKE_PROFIT_HARD,1661.08
L1,1743660000,1743667800,short,32.8,32.467784677676,TAKE_PROFIT_HARD,1661.08
L1,1744020000,1744020960,long,30.26,30.592215322324,TAKE_PROFIT_HARD,1661.08
L1,1744106400,1744109820,long,30.45,30.135,STOP_LOSS_SOFT,-1575.0
L1,1744192800,1744206660,long,30.435,30.767215322324,TAKE_PROFIT_HARD,1661.08
L1,1744279200,1744279980,short,30.545,30.895,STOP_LOSS_SOFT,-1750.0
L1,1744322400,1744334640,short,31.0,31.31,STOP_LOSS_SOFT,-1550.0
L1,1744351200,1744367520,long,31.445,31.777215322324,TAKE_PROFIT_HARD,1661.08
L1,1744596000,1744605540,long,31.95,32.282215322324,TAKE_PROFIT_HARD,1661.08
L1,1744812000,1744821900,short,32.775,32.745,END_OF_DAY,150.0
L1,1745229600,1745240760,short,32.78,32.447784677676005,TAKE_PROFIT_HARD,1661.08
L1,1745474400,1745513100,long,33.39,33.565,END_OF_DAY,875.0
L1,1745992800,1746002820,short,32.425,32.77,STOP_LOSS_SOFT,-1725.0
L1,1746050400,1746056400,short,32.52,32.18778467767601,TAKE_PROFIT_HARD,1661.08
L1,1746136800,1746172860,long,32.775,32.455,STOP_LOSS_SOFT,-1600.0
L1,1746439200,1746463500,short,32.56,32.645,END_OF_DAY,-425.0
L1,1746597600,1746629160,short,32.995,32.662784677676,TAKE_PROFIT_HARD,1661.08
L1,1746756000,1746786480,long,32.625,32.957215322324,TAKE_PROFIT_HARD,1661.08
L1,1747303200,1747324320,long,32.385,32.717215322323995,TAKE_PROFIT_HARD,1661.08
L1,1747792800,1747826040,long,33.35,33.682215322324,TAKE_PROFIT_HARD,1661.08
L1,1747836000,1747845900,long,33.56,33.65,END_OF_DAY,450.0
L1,1747893600,1747896660,short,33.36,33.027784677676,TAKE_PROFIT_HARD,1661.08
L1,1747908000,1747932300,short,32.99,33.18,END_OF_DAY,-950.0
L1,1748325600,1748364300,short,33.145,33.38,END_OF_DAY,-1175.0
L1,1748498400,1748537100,long,33.435,33.425,END_OF_DAY,-50.0
L1,1748599200,1748623500,short,33.08,33.075,END_OF_DAY,25.0
L1,1748959200,1748969100,long,34.675,34.69,END_OF_DAY,75.0
L1,1749002400,1749055500,short,34.6,34.675,END_OF_DAY,-375.0
L1,1749175200,1749228300,long,36.21,36.12,END_OF_DAY,-450.0
L1,1750284000,1750299900,short,36.66,36.327784677676,TAKE_PROFIT_HARD,1661.08
