layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1737532800,1737564300,long,44361.0,44334.0,END_OF_DAY,-135.0
L1,1737727200,1737737100,short,44611.0,44578.0,END_OF_DAY,165.0
L1,1738288800,1738329600,long,45134.0,44939.095987527,STOP_LOSS_HARD,-974.52
L1,1739196000,1739205900,long,44560.0,44581.0,END_OF_DAY,105.0
L1,1739275200,1739292300,long,44614.0,44696.0,END_OF_DAY,410.0
L1,1740535200,1740574320,long,43775.0,43580.095987527,STOP_LOSS_HARD,-974.52
L1,1741766400,1741768200,long,41714.0,41998.117097061,TAKE_PROFIT_HARD,1420.59
L1,1741932000,1741949940,long,41080.0,41364.117097061,TAKE_PROFIT_HARD,1420.59
L1,1743357600,1743414480,short,41714.0,41429.882902939,TAKE_PROFIT_HARD,1420.59
L1,1746604800,1746626820,long,41186.0,40991.095987527,STOP_LOSS_HARD,-974.52
L1,1749160800,1749201480,long,42478.0,42762.117097061,TAKE_PROFIT_HARD,1420.59
L1,1750039200,1750067160,long,42597.0,42881.117097061,TAKE_PROFIT_HARD,1420.59
L1,1750852800,1750869900,short,43308.0,43280.0,END_OF_DAY,140.0
L1,1752048000,1752079500,long,44627.0,44720.0,END_OF_DAY,465.0
L1,1753920000,1753960200,long,44751.0,44556.095987527,STOP_LOSS_HARD,-974.52
L1,1754280000,1754304540,long,43915.0,44199.117097061,TAKE_PROFIT_HARD,1420.59
L1,1755057600,1755078420,long,44603.0,44887.117097061,TAKE_PROFIT_HARD,1420.59
L1,1757678400,1757695500,short,45938.0,45869.0,END_OF_DAY,345.0
L1,1758837600,1758879720,long,46270.0,46554.117097061,TAKE_PROFIT_HARD,1420.59
L1,1763013600,1763030640,short,48388.0,48103.882902939,TAKE_PROFIT_HARD,1420.59
L1,1768204800,1768217760,long,49390.0,49674.117097061,TAKE_PROFIT_HARD,1420.59
L1,1768867200,1768880100,short,49079.0,48794.882902939,TAKE_PROFIT_HARD,1420.59
L1,1771236000,1771246740,short,49706.0,49606.0,END_OF_DAY,500.0
L1,1772179200,1772185020,short,49158.0,48873.882902939,TAKE_PROFIT_HARD,1420.59
L1,1776708000,1776756780,long,49693.0,49977.117097061,TAKE_PROFIT_HARD,1420.59
L1,1777953600,1777995180,long,49184.0,49468.117097061,TAKE_PROFIT_HARD,1420.59
L1,1778018400,1778047200,long,49555.0,49839.117097061,TAKE_PROFIT_HARD,1420.59
L1,1778724000,1778745960,long,49926.0,50210.117097061,TAKE_PROFIT_HARD,1420.59
L1,1779645600,1779645600,short,50623.0,50817.904012473,STOP_LOSS_HARD,-974.52
L1,1779674400,1779713940,long,51064.0,51140.0,END_OF_DAY,380.0
L1,1780041600,1780073100,long,50902.0,51045.0,END_OF_DAY,715.0
L1,1780459200,1780481700,short,51284.0,50999.882902939,TAKE_PROFIT_HARD,1420.59
L1,1781820000,1781873940,short,51908.0,51888.0,END_OF_DAY,100.0
L1,1782086400,1782111900,short,51844.0,52038.904012473,STOP_LOSS_HARD,-974.52
