layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735756560,1735757040,long,42899.0,42857.0,STOP_LOSS_SOFT,-210.0
L1,1735758600,1735758960,short,42817.0,42783.0641461762,TAKE_PROFIT_HARD,169.68
L1,1735760640,1735760820,short,42829.0,42858.0,STOP_LOSS_SOFT,-145.0
L1,1735763160,1735764120,long,42908.0,42941.9358538238,TAKE_PROFIT_HARD,169.68
L1,1735767600,1735773720,short,42980.0,42946.0641461762,TAKE_PROFIT_HARD,169.68
L1,1735789080,1735789620,short,42988.0,43025.0,STOP_LOSS_SOFT,-185.0
L1,1735820400,1735820460,long,42904.0,42848.6774478298,STOP_LOSS_HARD,-276.61
L1,1735877760,1735878300,short,42821.0,42850.0,STOP_LOSS_SOFT,-145.0
L1,1735880880,1735882380,short,42816.0,42782.0641461762,TAKE_PROFIT_HARD,169.68
L1,1735891440,1735895520,short,42816.0,42849.0,STOP_LOSS_SOFT,-165.0
L1,1735919400,1735920540,short,42996.0,43023.0,STOP_LOSS_SOFT,-135.0
L1,1736167680,1736167860,short,43274.0,43240.0641461762,TAKE_PROFIT_HARD,169.68
L1,1736340000,1736340060,long,42621.0,42654.9358538238,TAKE_PROFIT_HARD,169.68
L1,1736344920,1736344920,short,42722.0,42688.0641461762,TAKE_PROFIT_HARD,169.68
L1,1736778600,1736778960,short,42462.0,42428.0641461762,TAKE_PROFIT_HARD,169.68
L1,1736791560,1736793240,short,42601.0,42636.0,STOP_LOSS_SOFT,-175.0
L1,1736796840,1736802660,short,42588.0,42554.0641461762,TAKE_PROFIT_HARD,169.68
L1,1736825160,1736825820,long,42668.0,42638.0,STOP_LOSS_SOFT,-150.0
L1,1736827200,1736837220,long,42673.0,42636.0,STOP_LOSS_SOFT,-185.0
L1,1736848800,1736848920,short,42592.0,42647.3225521702,STOP_LOSS_HARD,-276.61
L1,1736872560,1736879340,short,42819.0,42785.0641461762,TAKE_PROFIT_HARD,169.68
L1,1736916360,1736918160,short,42821.0,42787.0641461762,TAKE_PROFIT_HARD,169.68
L1,1736919120,1736920800,short,42819.0,42849.0,STOP_LOSS_SOFT,-150.0
L1,1737014520,1737016200,long,43324.0,43357.9358538238,TAKE_PROFIT_HARD,169.68
L1,1737017040,1737018900,long,43313.0,43346.9358538238,TAKE_PROFIT_HARD,169.68
L1,1737043920,1737053880,long,43325.0,43359.0,TAKE_PROFIT_HARD,170.0
L1,1737112200,1737113100,short,43780.0,43826.0,STOP_LOSS_SOFT,-230.0
L1,1737121080,1737122160,short,43786.0,43752.0641461762,TAKE_PROFIT_HARD,169.68
L1,1737122400,1737123360,short,43775.0,43741.0641461762,TAKE_PROFIT_HARD,169.68
L1,1737338160,1737341940,short,43724.0,43755.0,STOP_LOSS_SOFT,-155.0
L1,1737344160,1737349680,short,43731.0,43697.0641461762,TAKE_PROFIT_HARD,169.68
L1,1737365880,1737366060,short,43931.0,43967.0,STOP_LOSS_SOFT,-180.0
L1,1737367800,1737368160,short,43928.0,43894.0641461762,TAKE_PROFIT_HARD,169.68
L1,1737398880,1737400080,short,43942.0,43973.0,STOP_LOSS_SOFT,-155.0
L1,1737402000,1737402600,short,43929.0,43895.0641461762,TAKE_PROFIT_HARD,169.68
L1,1737404520,1737404820,short,43734.0,43789.3225521702,STOP_LOSS_HARD,-276.61
L1,1737442560,1737443700,long,43856.0,43889.9358538238,TAKE_PROFIT_HARD,169.68
L1,1737523440,1737526920,short,44297.0,44326.0,STOP_LOSS_SOFT,-145.0
L1,1737529200,1737530460,short,44338.0,44393.3225521702,STOP_LOSS_HARD,-276.61
L1,1737539400,1737539700,short,44305.0,44360.3225521702,STOP_LOSS_HARD,-276.61
L1,1737646560,1737647520,long,44669.0,44702.9358538238,TAKE_PROFIT_HARD,169.68
L1,1737716040,1737716220,long,44660.0,44626.0,STOP_LOSS_SOFT,-170.0
L1,1737716760,1737717180,long,44657.0,44690.9358538238,TAKE_PROFIT_HARD,169.68
L1,1737950040,1737950400,long,44070.0,44103.9358538238,TAKE_PROFIT_HARD,169.68
L1,1737966000,1737967980,short,44298.0,44264.0641461762,TAKE_PROFIT_HARD,169.68
