[NQ] gate A: pass=True coverage=1.0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0} (engine_only=0 big_only=0)
[NQ] gate B 2m: pass=True common=243503 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NQ] gate B 5m: pass=True common=97400 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NQ] gate B 15m: pass=True common=32466 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NQ] gate B 1h: pass=True common=8120 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NQ] gate B 2h: pass=True common=4235 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NQ] gate B 4h: pass=True common=2118 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[ES] gate A: pass=True coverage=1.0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0} (engine_only=0 big_only=0)
[ES] gate B 2m: pass=True common=243504 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[ES] gate B 5m: pass=True common=97400 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[ES] gate B 15m: pass=True common=32466 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[ES] gate B 1h: pass=True common=8120 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[ES] gate B 2h: pass=True common=4235 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[ES] gate B 4h: pass=True common=2118 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[GC] gate A: pass=True coverage=1.0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0} (engine_only=0 big_only=0)
[GC] gate B 2m: pass=True common=265630 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[GC] gate B 5m: pass=True common=106255 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[GC] gate B 15m: pass=True common=35419 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[GC] gate B 1h: pass=True common=8861 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[GC] gate B 2h: pass=True common=4623 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[GC] gate B 4h: pass=True common=2317 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[SI] gate A: pass=True coverage=1.0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0} (engine_only=0 big_only=0)
[SI] gate B 2m: pass=True common=264459 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[SI] gate B 5m: pass=True common=106244 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[SI] gate B 15m: pass=True common=35419 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[SI] gate B 1h: pass=True common=8861 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[SI] gate B 2h: pass=True common=4623 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[SI] gate B 4h: pass=True common=2317 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[HG] gate A: pass=True coverage=1.0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0} (engine_only=0 big_only=0)
[HG] gate B 2m: pass=True common=262446 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[HG] gate B 5m: pass=True common=106812 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[HG] gate B 15m: pass=True common=35678 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[HG] gate B 1h: pass=True common=8926 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[HG] gate B 2h: pass=True common=4657 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[HG] gate B 4h: pass=True common=2334 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[CL] gate A: pass=True coverage=1.0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0} (engine_only=0 big_only=0)
[CL] gate B 2m: pass=True common=267658 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[CL] gate B 5m: pass=True common=107318 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[CL] gate B 15m: pass=True common=35777 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[CL] gate B 1h: pass=True common=8949 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[CL] gate B 2h: pass=True common=4669 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[CL] gate B 4h: pass=True common=2340 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NG] gate A: pass=True coverage=1.0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0} (engine_only=0 big_only=0)
[NG] gate B 2m: pass=True common=260503 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NG] gate B 5m: pass=True common=106985 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NG] gate B 15m: pass=True common=35773 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NG] gate B 1h: pass=True common=8949 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NG] gate B 2h: pass=True common=4669 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[NG] gate B 4h: pass=True common=2340 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[RTY] gate A: pass=True coverage=1.0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0} (engine_only=0 big_only=0)
[RTY] gate B 2m: pass=True common=264632 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[RTY] gate B 5m: pass=True common=106338 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[RTY] gate B 15m: pass=True common=35454 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[RTY] gate B 1h: pass=True common=8867 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[RTY] gate B 2h: pass=True common=4625 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[RTY] gate B 4h: pass=True common=2313 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[YM] gate A: pass=True coverage=1.0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0} (engine_only=0 big_only=0)
[YM] gate B 2m: pass=True common=265336 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[YM] gate B 5m: pass=True common=106360 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[YM] gate B 15m: pass=True common=35454 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[YM] gate B 1h: pass=True common=8867 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[YM] gate B 2h: pass=True common=4625 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}
[YM] gate B 4h: pass=True common=2313 vendor_only=0 extra=0 mism={'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}

report -> /home/dev/Mulham/wsg-i/FWD_EXTENDED/fwd_extension_report.json
appended: ['NQ', 'ES', 'GC', 'SI', 'HG', 'CL', 'NG', 'RTY', 'YM']  blocked: []
