layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735812000,1735813920,short,73.38,73.51,STOP_LOSS_SOFT,-130.0
L1,1735920000,1735922700,long,74.02,74.05,END_OF_DAY,30.0
L1,1736114400,1736115480,long,73.96,73.85,STOP_LOSS_SOFT,-110.0
L1,1736161200,1736161260,long,74.12,74.01,STOP_LOSS_SOFT,-110.0
L1,1736323200,1736323920,short,74.78,74.610658056418,TAKE_PROFIT_HARD,169.34
L1,1736334000,1736334180,long,74.09,73.92,STOP_LOSS_SOFT,-170.0
L1,1736481600,1736481960,short,74.93,75.04,STOP_LOSS_SOFT,-110.0
L1,1736485200,1736487780,short,75.66,75.74,STOP_LOSS_SOFT,-80.0
L1,1736499600,1736499960,short,76.93,76.76065805641801,TAKE_PROFIT_HARD,169.34
L1,1736726400,1736730060,short,78.1,78.17,STOP_LOSS_SOFT,-70.0
L1,1736748000,1736748300,short,78.02,78.09,STOP_LOSS_SOFT,-70.0
L1,1736766000,1736766060,short,78.42,78.625379036119,STOP_LOSS_HARD,-205.38
L1,1736784000,1736786700,long,78.67,78.75,END_OF_DAY,80.0
L1,1736798400,1736798580,long,78.74,78.67,STOP_LOSS_SOFT,-70.0
L1,1736902800,1736904180,short,77.93,78.02,STOP_LOSS_SOFT,-90.0
L1,1736942400,1736943180,short,79.48,79.61,STOP_LOSS_SOFT,-130.0
L1,1736974800,1736976420,long,78.81,78.979341943582,TAKE_PROFIT_HARD,169.34
L1,1737000000,1737001140,long,78.64,78.54,STOP_LOSS_SOFT,-100.0
L1,1737054000,1737056460,short,77.98,78.07,STOP_LOSS_SOFT,-90.0
L1,1737111600,1737112440,long,77.19,77.359341943582,TAKE_PROFIT_HARD,169.34
L1,1737309600,1737309600,long,77.37,77.57,TAKE_PROFIT_HARD,200.0
L1,1737370800,1737371220,long,76.0,76.17,TAKE_PROFIT_HARD,170.0
L1,1737378000,1737381240,short,76.52,76.350658056418,TAKE_PROFIT_HARD,169.34
L1,1737435600,1737435900,long,75.93,75.82,STOP_LOSS_SOFT,-110.0
L1,1737439200,1737439260,long,75.55,75.45,STOP_LOSS_SOFT,-100.0
L1,1737453600,1737453840,short,75.77,75.94,STOP_LOSS_SOFT,-170.0
L1,1737507600,1737507840,long,75.7,75.6,STOP_LOSS_SOFT,-100.0
L1,1737540000,1737540420,long,75.38,75.549341943582,TAKE_PROFIT_HARD,169.34
L1,1737554400,1737554820,long,75.56,75.48,STOP_LOSS_SOFT,-80.0
L1,1737604800,1737605040,short,75.54,75.68,STOP_LOSS_SOFT,-140.0
L1,1737630000,1737630780,long,75.66,75.454620963881,STOP_LOSS_HARD,-205.38
L1,1737644400,1737645840,long,74.47,74.3,STOP_LOSS_SOFT,-170.0
L1,1737691200,1737692580,long,74.62,74.789341943582,TAKE_PROFIT_HARD,169.34
L1,1737716400,1737716700,long,74.3,74.469341943582,TAKE_PROFIT_HARD,169.34
L1,1737734400,1737736980,long,74.61,74.54,STOP_LOSS_SOFT,-70.0
L1,1737921600,1737921660,long,73.82,73.73,STOP_LOSS_SOFT,-90.0
L1,1737936000,1737937680,long,74.1,74.02,STOP_LOSS_SOFT,-80.0
L1,1737979200,1737979320,long,72.69,72.53,STOP_LOSS_SOFT,-160.0
L1,1738026000,1738029960,short,73.49,73.57,STOP_LOSS_SOFT,-80.0
L1,1738033200,1738034100,short,73.83,73.660658056418,TAKE_PROFIT_HARD,169.34
L1,1738065600,1738065720,long,73.06,73.229341943582,TAKE_PROFIT_HARD,169.34
L1,1738126800,1738130100,long,73.09,72.97,STOP_LOSS_SOFT,-120.0
L1,1738130400,1738131720,long,73.02,73.189341943582,TAKE_PROFIT_HARD,169.34
L1,1738137600,1738138440,short,73.52,73.62,STOP_LOSS_SOFT,-100.0
L1,1738148400,1738148640,short,73.49,73.320658056418,TAKE_PROFIT_HARD,169.34
L1,1738159200,1738159800,short,72.9,72.73065805641801,TAKE_PROFIT_HARD,169.34
L1,1738224000,1738224420,short,72.67,72.500658056418,TAKE_PROFIT_HARD,169.34
L1,1738238400,1738239660,long,72.78,72.7,STOP_LOSS_SOFT,-80.0
L1,1738339200,1738339200,short,73.12,73.325379036119,STOP_LOSS_HARD,-205.38
L1,1738519200,1738519200,short,73.81,74.14,STOP_LOSS_HARD,-330.0
L1,1738605600,1738612500,long,72.33,72.26,STOP_LOSS_SOFT,-70.0
L1,1738681200,1738681320,long,72.53,72.43,STOP_LOSS_SOFT,-100.0
L1,1738756800,1738758780,long,71.11,71.279341943582,TAKE_PROFIT_HARD,169.34
L1,1738807200,1738809780,long,71.28,71.19,STOP_LOSS_SOFT,-90.0
L1,1738810800,1738812840,long,71.2,71.369341943582,TAKE_PROFIT_HARD,169.34
L1,1738818000,1738818300,short,71.42,71.49,STOP_LOSS_SOFT,-70.0
L1,1738846800,1738847340,long,70.65,70.819341943582,TAKE_PROFIT_HARD,169.34
L1,1738850400,1738850880,long,70.45,70.619341943582,TAKE_PROFIT_HARD,169.34
L1,1738929600,1738930020,long,70.64,70.809341943582,TAKE_PROFIT_HARD,169.34
L1,1739134800,1739135100,short,71.39,71.51,STOP_LOSS_SOFT,-120.0
L1,1739138400,1739146080,short,71.43,71.5,STOP_LOSS_SOFT,-70.0
L1,1739152800,1739156340,short,71.56,71.390658056418,TAKE_PROFIT_HARD,169.34
L1,1739188800,1739188920,short,72.35,72.44,STOP_LOSS_SOFT,-90.0
L1,1739304000,1739304420,long,73.11,73.03,STOP_LOSS_SOFT,-80.0
L1,1739307600,1739326440,long,73.02,73.189341943582,TAKE_PROFIT_HARD,169.34
L1,1739329200,1739329320,long,72.84,72.76,STOP_LOSS_SOFT,-80.0
L1,1739365200,1739365440,long,71.71,71.59,STOP_LOSS_SOFT,-120.0
L1,1739401200,1739403420,long,70.68,70.61,STOP_LOSS_SOFT,-70.0
L1,1739469600,1739473740,short,71.51,71.34065805641801,TAKE_PROFIT_HARD,169.34
L1,1739480400,1739498760,short,71.42,71.51,STOP_LOSS_SOFT,-90.0
L1,1739732400,1739736120,long,70.29,70.459341943582,TAKE_PROFIT_HARD,169.34
L1,1739775600,1739776440,long,70.65,70.56,STOP_LOSS_SOFT,-90.0
L1,1739876400,1739876520,short,71.43,71.57,STOP_LOSS_SOFT,-140.0
L1,1739887200,1739897100,short,71.81,71.81,END_OF_DAY,0.0
L1,1739901600,1739909340,short,71.78,71.85,STOP_LOSS_SOFT,-70.0
L1,1740063600,1740069900,long,72.5,72.48,END_OF_DAY,-20.0
L1,1740132000,1740132240,long,71.34,71.21,STOP_LOSS_SOFT,-130.0
L1,1740146400,1740147480,long,70.5,70.41,STOP_LOSS_SOFT,-90.0
L1,1740420000,1740420300,short,70.91,70.98,STOP_LOSS_SOFT,-70.0
L1,1740430800,1740431100,short,71.03,71.11,STOP_LOSS_SOFT,-80.0
L1,1740459600,1740460800,long,70.66,70.829341943582,TAKE_PROFIT_HARD,169.34
L1,1740463200,1740466380,long,70.65,70.58,STOP_LOSS_SOFT,-70.0
L1,1740492000,1740494340,short,68.92,68.99,STOP_LOSS_SOFT,-70.0
L1,1740564000,1740564060,short,68.93,69.03,STOP_LOSS_SOFT,-100.0
L1,1740578400,1740579120,long,68.49,68.65934194358199,TAKE_PROFIT_HARD,169.34
L1,1740592800,1740622260,short,68.82,68.650658056418,TAKE_PROFIT_HARD,169.34
L1,1741075200,1741075200,long,67.13,67.299341943582,TAKE_PROFIT_HARD,169.34
L1,1741089600,1741090140,short,67.88,67.710658056418,TAKE_PROFIT_HARD,169.34
L1,1741093200,1741093740,short,68.05,68.2,STOP_LOSS_SOFT,-150.0
L1,1741096800,1741098000,short,68.24,68.31,STOP_LOSS_SOFT,-70.0
L1,1741165200,1741165320,long,66.67,66.52,STOP_LOSS_SOFT,-150.0
L1,1741168800,1741168800,long,65.96,66.12934194358199,TAKE_PROFIT_HARD,169.34
L1,1741222800,1741224060,long,66.48,66.649341943582,TAKE_PROFIT_HARD,169.34
L1,1741233600,1741233660,long,66.44,66.29,STOP_LOSS_SOFT,-150.0
L1,1741327200,1741328760,short,67.54,67.37065805641801,TAKE_PROFIT_HARD,169.34
L1,1741550400,1741551420,long,66.54,66.709341943582,TAKE_PROFIT_HARD,169.34
L1,1741561200,1741570140,long,66.63,66.54,STOP_LOSS_SOFT,-90.0
L1,1741597200,1741597260,short,67.54,67.37065805641801,TAKE_PROFIT_HARD,169.34
L1,1741604400,1741605900,long,66.45,66.619341943582,TAKE_PROFIT_HARD,169.34
L1,1741611600,1741612140,long,66.38,66.25,STOP_LOSS_SOFT,-130.0
L1,1741633200,1741633980,long,65.75,65.68,STOP_LOSS_SOFT,-70.0
L1,1741665600,1741668960,short,66.28,66.35,STOP_LOSS_SOFT,-70.0
L1,1741669200,1741670580,short,66.36,66.43,STOP_LOSS_SOFT,-70.0
L1,1741777200,1741777440,short,67.67,67.500658056418,TAKE_PROFIT_HARD,169.34
L1,1741849200,1741849440,short,67.37,67.44,STOP_LOSS_SOFT,-70.0
L1,1741874400,1741875840,long,66.46,66.62934194358199,TAKE_PROFIT_HARD,169.34
L1,1742155200,1742155440,short,67.41,67.49,STOP_LOSS_SOFT,-80.0
L1,1742173200,1742175300,short,67.4,67.47,STOP_LOSS_SOFT,-70.0
L1,1742180400,1742180580,short,67.45,67.52,STOP_LOSS_SOFT,-70.0
L1,1742248800,1742250120,short,67.48,67.55,STOP_LOSS_SOFT,-70.0
L1,1742277600,1742278680,short,68.38,68.48,STOP_LOSS_SOFT,-100.0
L1,1742292000,1742292120,long,67.75,67.63,STOP_LOSS_SOFT,-120.0
L1,1742302800,1742304060,long,66.65,66.819341943582,TAKE_PROFIT_HARD,169.34
L1,1742320800,1742331900,long,66.58,66.51,STOP_LOSS_SOFT,-70.0
L1,1742439600,1742440680,short,67.36,67.190658056418,TAKE_PROFIT_HARD,169.34
L1,1742446800,1742448060,short,67.39,67.220658056418,TAKE_PROFIT_HARD,169.34
L1,1742875200,1742879640,short,69.42,69.5,STOP_LOSS_SOFT,-80.0
L1,1742882400,1742886360,short,69.58,69.410658056418,TAKE_PROFIT_HARD,169.34
L1,1742968800,1742970720,short,69.48,69.56,STOP_LOSS_SOFT,-80.0
L1,1742972400,1742973960,short,69.62,69.7,STOP_LOSS_SOFT,-80.0
L1,1743058800,1743061920,short,69.43,69.53,STOP_LOSS_SOFT,-100.0
L1,1743062400,1743064740,short,69.54,69.67,STOP_LOSS_SOFT,-130.0
L1,1743073200,1743075060,short,69.91,69.740658056418,TAKE_PROFIT_HARD,169.34
L1,1743177600,1743180300,long,69.12,69.1,END_OF_DAY,-20.0
L1,1743357600,1743357600,long,69.04,69.43,TAKE_PROFIT_HARD,390.0
L1,1743418800,1743419280,short,70.97,71.09,STOP_LOSS_SOFT,-120.0
L1,1743494400,1743497520,long,71.37,71.539341943582,TAKE_PROFIT_HARD,169.34
L1,1743667200,1743667260,long,67.49,67.33,STOP_LOSS_SOFT,-160.0
L1,1743678000,1743678660,long,66.08,66.249341943582,TAKE_PROFIT_HARD,169.34
L1,1743714000,1743714120,long,66.66,66.55,STOP_LOSS_SOFT,-110.0
L1,1743742800,1743743160,long,64.36,64.25,STOP_LOSS_SOFT,-110.0
L1,1744106400,1744106640,short,61.24,61.36,STOP_LOSS_SOFT,-120.0
L1,1744167600,1744167600,short,58.06,57.890658056418005,TAKE_PROFIT_HARD,169.34
L1,1744254000,1744254180,short,62.09,61.920658056418006,TAKE_PROFIT_HARD,169.34
L1,1744300800,1744302000,short,60.39,60.220658056418,TAKE_PROFIT_HARD,169.34
L1,1744336800,1744337400,short,60.62,60.77,STOP_LOSS_SOFT,-150.0
L1,1744340400,1744340400,short,60.91,60.740658056418,TAKE_PROFIT_HARD,169.34
L1,1744372800,1744373820,short,60.66,60.73,STOP_LOSS_SOFT,-70.0
L1,1744376400,1744376580,short,61.05,61.15,STOP_LOSS_SOFT,-100.0
L1,1744758000,1744766280,long,60.57,60.45,STOP_LOSS_SOFT,-120.0
L1,1744768800,1744769400,long,59.92,60.089341943582,TAKE_PROFIT_HARD,169.34
L1,1744851600,1744853820,short,62.65,62.79,STOP_LOSS_SOFT,-140.0
L1,1744880400,1744880820,short,62.79,62.86,STOP_LOSS_SOFT,-70.0
L1,1744894800,1744895400,short,64.1,63.930658056418,TAKE_PROFIT_HARD,169.34
L1,1745215200,1745215860,long,62.09,62.259341943582,TAKE_PROFIT_HARD,169.34
L1,1745251200,1745252100,short,62.85,62.680658056418004,TAKE_PROFIT_HARD,169.34
L1,1745262000,1745263200,short,62.81,62.88,STOP_LOSS_SOFT,-70.0
L1,1745377200,1745381100,short,64.7,64.530658056418,TAKE_PROFIT_HARD,169.34
L1,1745384400,1745386320,short,64.74,64.570658056418,TAKE_PROFIT_HARD,169.34
L1,1745391600,1745392020,long,64.34,64.26,STOP_LOSS_SOFT,-80.0
L1,1745496000,1745496480,long,62.3,62.21,STOP_LOSS_SOFT,-90.0
L1,1745503200,1745504400,short,62.92,62.750658056418004,TAKE_PROFIT_HARD,169.34
L1,1745517600,1745517720,short,62.77,62.86,STOP_LOSS_SOFT,-90.0
L1,1745560800,1745561820,long,62.45,62.619341943582,TAKE_PROFIT_HARD,169.34
L1,1745582400,1745583360,short,62.92,63.05,STOP_LOSS_SOFT,-130.0
L1,1745838000,1745838420,long,62.13,61.97,STOP_LOSS_SOFT,-160.0
L1,1745910000,1745910840,long,61.02,60.95,STOP_LOSS_SOFT,-70.0
L1,1745917200,1745917200,long,60.86,61.029341943582,TAKE_PROFIT_HARD,169.34
L1,1746176400,1746176400,short,59.2,59.030658056418005,TAKE_PROFIT_HARD,169.34
