layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735808400,1735808580,short,5978.25,5964.9515368851,TAKE_PROFIT_HARD,664.92
L1,1735809300,1735810380,short,5972.0,5958.7015368851,TAKE_PROFIT_HARD,664.92
L1,1735863300,1735873320,short,5926.5,5935.5,STOP_LOSS_SOFT,-450.0
L1,1736171100,1736172060,short,6034.25,6020.9515368851,TAKE_PROFIT_HARD,664.92
L1,1736173800,1736175600,short,6022.5,6009.2015368851,TAKE_PROFIT_HARD,664.92
L1,1736399700,1736403180,long,5955.25,5946.0,STOP_LOSS_SOFT,-462.5
L1,1736446500,1736447940,short,5940.5,5927.2015368851,TAKE_PROFIT_HARD,664.92
L1,1736472600,1736480400,short,5941.5,5950.75,STOP_LOSS_SOFT,-462.5
L1,1736482500,1736489220,short,5941.0,5951.25,STOP_LOSS_SOFT,-512.5
L1,1736742600,1736746740,short,5811.25,5821.0,STOP_LOSS_SOFT,-487.5
L1,1736843400,1736843400,short,5877.75,5896.7909546083,STOP_LOSS_HARD,-952.05
L1,1737343800,1737361800,short,6034.5,6021.2015368851,TAKE_PROFIT_HARD,664.92
L1,1737631800,1737647700,long,6131.25,6144.5484631149,TAKE_PROFIT_HARD,664.92
L1,1738638900,1738640580,short,6011.25,5997.9515368851,TAKE_PROFIT_HARD,664.92
L1,1738652400,1738653060,short,6012.5,6021.5,STOP_LOSS_SOFT,-450.0
L1,1738686600,1738687500,short,6048.5,6046.5,END_OF_DAY,100.0
L1,1738749600,1738749840,short,6044.75,6031.4515368851,TAKE_PROFIT_HARD,664.92
L1,1738836000,1738852260,short,6096.0,6082.7015368851,TAKE_PROFIT_HARD,664.92
L1,1738856700,1738857300,long,6094.0,6107.2984631149,TAKE_PROFIT_HARD,664.92
L1,1738882800,1738917000,short,6102.5,6089.2015368851,TAKE_PROFIT_HARD,664.92
L1,1739127600,1739163840,long,6059.5,6072.7984631149,TAKE_PROFIT_HARD,664.92
L1,1739180700,1739181900,short,6071.5,6085.0,STOP_LOSS_SOFT,-675.0
L1,1739196000,1739205900,long,6091.5,6087.5,END_OF_DAY,-200.0
L1,1739223000,1739269740,short,6071.0,6081.0,STOP_LOSS_SOFT,-500.0
L1,1739375100,1739376480,short,6066.75,6076.75,STOP_LOSS_SOFT,-500.0
L1,1739430000,1739435640,short,6070.75,6079.25,STOP_LOSS_SOFT,-425.0
L1,1740453300,1740455460,long,6004.5,5993.25,STOP_LOSS_SOFT,-562.5
L1,1740558600,1740559860,long,6002.75,5991.5,STOP_LOSS_SOFT,-562.5
L1,1740699000,1740712860,long,5877.25,5890.5484631149,TAKE_PROFIT_HARD,664.92
L1,1741591800,1741592460,long,5720.25,5709.25,STOP_LOSS_SOFT,-550.0
