layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735768800,1735801200,long,5955.75,5990.0004818898,TAKE_PROFIT_HARD,1712.52
L1,1735808400,1735810500,short,5978.25,5943.9995181102,TAKE_PROFIT_HARD,1712.52
L1,1735815600,1735820940,short,5948.0,5913.7495181102,TAKE_PROFIT_HARD,1712.52
L1,1736161200,1736168460,long,6059.5,6039.8680917677,STOP_LOSS_HARD,-981.6
L1,1736193600,1736242200,short,6023.5,6043.1319082323,STOP_LOSS_HARD,-981.6
L1,1736244000,1736244480,short,6032.0,5997.7495181102,TAKE_PROFIT_HARD,1712.52
L1,1736276400,1736318400,long,5958.25,5938.6180917677,STOP_LOSS_HARD,-981.6
L1,1736398800,1736414940,long,5952.5,5944.75,END_OF_DAY,-387.5
L1,1736485200,1736497800,short,5939.75,5905.4995181102,TAKE_PROFIT_HARD,1712.52
L1,1736820000,1736826480,short,5892.75,5912.3819082323,STOP_LOSS_HARD,-981.6
L1,1736841600,1736843400,short,5889.5,5909.1319082323,STOP_LOSS_HARD,-981.6
L1,1737129600,1737132300,short,6033.0,6031.25,END_OF_DAY,87.5
L1,1737399600,1737402600,long,6068.0,6048.3680917677,STOP_LOSS_HARD,-981.6
L1,1737435600,1737477900,long,6060.75,6090.25,END_OF_DAY,1475.0
L1,1737558000,1737564300,long,6133.0,6116.5,END_OF_DAY,-825.0
L1,1737637200,1737650700,long,6132.75,6147.5,END_OF_DAY,737.5
L1,1737669600,1737724320,long,6154.5,6134.8680917677,STOP_LOSS_HARD,-981.6
L1,1737734400,1737737100,long,6132.75,6130.5,END_OF_DAY,-112.5
L1,1738008000,1738036320,short,6043.75,6063.3819082323,STOP_LOSS_HARD,-981.6
L1,1738047600,1738057620,short,6060.0,6025.7495181102,TAKE_PROFIT_HARD,1712.52
L1,1738656000,1738668420,long,6027.25,6061.5004818898,TAKE_PROFIT_HARD,1712.52
L1,1738677600,1738687500,short,6052.75,6046.5,END_OF_DAY,312.5
L1,1738735200,1738756140,long,6031.25,6065.5004818898,TAKE_PROFIT_HARD,1712.52
L1,1738771200,1738773900,long,6086.0,6087.0,END_OF_DAY,50.0
L1,1738785600,1738852380,long,6091.5,6071.8680917677,STOP_LOSS_HARD,-981.6
L1,1738857600,1738857660,long,6107.0,6087.3680917677,STOP_LOSS_HARD,-981.6
L1,1738868400,1738923180,long,6100.25,6080.6180917677,STOP_LOSS_HARD,-981.6
L1,1739203200,1739205900,short,6088.25,6087.5,END_OF_DAY,37.5
L1,1739250000,1739270820,short,6068.75,6088.3819082323,STOP_LOSS_HARD,-981.6
L1,1739322000,1739349000,short,6086.25,6051.9995181102,TAKE_PROFIT_HARD,1712.52
L1,1739368800,1739378700,short,6071.0,6077.75,END_OF_DAY,-337.5
L1,1739404800,1739443140,short,6086.5,6106.1319082323,STOP_LOSS_HARD,-981.6
L1,1739444400,1739452740,long,6109.25,6089.6180917677,STOP_LOSS_HARD,-981.6
L1,1740333600,1740335280,short,6029.75,6049.3819082323,STOP_LOSS_HARD,-981.6
L1,1740470400,1740476820,long,6007.25,5987.6180917677,STOP_LOSS_HARD,-981.6
L1,1740549600,1740562200,long,6000.25,5980.6180917677,STOP_LOSS_HARD,-981.6
L1,1740628800,1740646200,long,6004.0,5984.3680917677,STOP_LOSS_HARD,-981.6
L1,1741057200,1741073100,short,5863.25,5828.9995181102,TAKE_PROFIT_HARD,1712.52
L1,1741244400,1741248300,long,5796.75,5777.1180917677,STOP_LOSS_HARD,-981.6
L1,1741755600,1741768200,long,5611.25,5645.5004818898,TAKE_PROFIT_HARD,1712.52
L1,1741834800,1741839420,long,5582.0,5562.3680917677,STOP_LOSS_HARD,-981.6
L1,1742187600,1742200860,long,5665.5,5699.7504818898,TAKE_PROFIT_HARD,1712.52
L1,1742266800,1742290500,long,5719.5,5699.8680917677,STOP_LOSS_HARD,-981.6
L1,1742504400,1742521740,long,5719.5,5699.8680917677,STOP_LOSS_HARD,-981.6
L1,1742544000,1742548020,short,5694.25,5659.9995181102,TAKE_PROFIT_HARD,1712.52
L1,1742752800,1742752860,long,5720.0,5754.2504818898,TAKE_PROFIT_HARD,1712.52
L1,1742803200,1742817960,long,5784.0,5818.2504818898,TAKE_PROFIT_HARD,1712.52
L1,1742821200,1742831700,short,5805.75,5825.3819082323,STOP_LOSS_HARD,-981.6
L1,1742986800,1742993580,short,5806.25,5771.9995181102,TAKE_PROFIT_HARD,1712.52
L1,1743040800,1743068100,short,5764.25,5729.9995181102,TAKE_PROFIT_HARD,1712.52
L1,1743458400,1743502260,long,5631.0,5611.3680917677,STOP_LOSS_HARD,-981.6
L1,1745305200,1745314800,short,5232.25,5251.8819082323,STOP_LOSS_HARD,-981.6
L1,1745395200,1745398080,short,5432.0,5451.6319082323,STOP_LOSS_HARD,-981.6
L1,1745474400,1745486940,long,5376.75,5411.0004818898,TAKE_PROFIT_HARD,1712.52
L1,1745539200,1745558220,long,5540.5,5520.8680917677,STOP_LOSS_HARD,-981.6
L1,1745830800,1745839200,long,5552.0,5532.3680917677,STOP_LOSS_HARD,-981.6
L1,1745881200,1745917380,short,5561.0,5526.7495181102,TAKE_PROFIT_HARD,1712.52
L1,1746410400,1746455940,long,5670.25,5704.5004818898,TAKE_PROFIT_HARD,1712.52
L1,1746514800,1746517860,long,5639.75,5620.1180917677,STOP_LOSS_HARD,-981.6
L1,1746608400,1746626760,short,5645.25,5610.9995181102,TAKE_PROFIT_HARD,1712.52
L1,1746694800,1746701640,short,5693.25,5658.9995181102,TAKE_PROFIT_HARD,1712.52
L1,1747123200,1747130460,long,5856.25,5890.5004818898,TAKE_PROFIT_HARD,1712.52
L1,1747335600,1747370220,short,5931.25,5951.0,STOP_LOSS_HARD,-987.5
