layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735815600,1735836300,long,2667.7,2672.0,END_OF_DAY,430.0
L1,1736157600,1736181900,long,2643.2,2646.7,END_OF_DAY,350.0
L1,1736337600,1736339520,long,2686.2,2676.9,STOP_LOSS_SOFT,-930.0
L1,1736384400,1736404080,short,2676.0,2687.4,STOP_LOSS_SOFT,-1140.0
L1,1736467200,1736479440,short,2695.7,2705.9,STOP_LOSS_SOFT,-1020.0
L1,1736481600,1736497860,long,2706.9,2693.0,STOP_LOSS_SOFT,-1390.0
L1,1736499600,1736501460,long,2713.0,2731.774585468,TAKE_PROFIT_HARD,1877.46
L1,1736506800,1736527500,short,2720.4,2716.1,END_OF_DAY,430.0
L1,1736762400,1736766000,long,2690.1,2680.6,STOP_LOSS_SOFT,-950.0
L1,1736870400,1736873100,long,2690.2,2691.9,END_OF_DAY,170.0
L1,1736931600,1736933700,long,2716.4,2704.4,STOP_LOSS_SOFT,-1200.0
L1,1736935200,1736942700,short,2704.3,2715.0,STOP_LOSS_SOFT,-1070.0
L1,1737021600,1737045900,long,2749.0,2746.0,END_OF_DAY,-300.0
L1,1737057600,1737085260,long,2747.6,2738.4,STOP_LOSS_SOFT,-920.0
L1,1737345600,1737362160,long,2750.5,2733.3,STOP_LOSS_SOFT,-1720.0
L1,1737381600,1737383340,long,2731.6,2731.8,END_OF_DAY,20.0
L1,1737406800,1737432840,long,2737.8,2726.8,STOP_LOSS_SOFT,-1100.0
L1,1737442800,1737453240,long,2734.5,2753.274585468,TAKE_PROFIT_HARD,1877.46
L1,1737507600,1737508980,long,2772.0,2762.0,STOP_LOSS_SOFT,-1000.0
L1,1737532800,1737535080,long,2770.1,2760.6,STOP_LOSS_SOFT,-950.0
L1,1737540000,1737564300,short,2763.6,2765.6,END_OF_DAY,-200.0
L1,1737644400,1737650700,short,2763.0,2761.2,END_OF_DAY,180.0
L1,1737676800,1737706140,short,2779.2,2788.8,STOP_LOSS_SOFT,-960.0
L1,1737954000,1737967320,long,2768.1,2758.3,STOP_LOSS_SOFT,-980.0
L1,1738051200,1738066380,long,2749.3,2768.0745854680004,TAKE_PROFIT_HARD,1877.46
L1,1738209600,1738230120,long,2813.3,2832.0745854680004,TAKE_PROFIT_HARD,1877.46
L1,1738234800,1738238400,long,2849.6,2840.2,STOP_LOSS_SOFT,-940.0
L1,1738260000,1738303380,long,2851.9,2842.2,STOP_LOSS_SOFT,-970.0
L1,1738314000,1738327500,long,2849.5,2835.5,STOP_LOSS_SOFT,-1400.0
L1,1738566000,1738573920,long,2835.3,2854.0745854680004,TAKE_PROFIT_HARD,1877.46
L1,1738706400,1738733640,long,2881.0,2899.774585468,TAKE_PROFIT_HARD,1877.46
L1,1738828800,1738835400,short,2887.5,2868.725414532,TAKE_PROFIT_HARD,1877.46
L1,1738850400,1738860300,long,2877.6,2880.7,END_OF_DAY,310.0
L1,1738918800,1738920420,short,2885.6,2897.7,STOP_LOSS_SOFT,-1210.0
L1,1739174400,1739205900,short,2928.8,2936.0,END_OF_DAY,-720.0
L1,1739264400,1739292300,long,2924.0,2926.6,END_OF_DAY,260.0
L1,1739325600,1739338380,long,2918.9,2908.7,STOP_LOSS_SOFT,-1020.0
L1,1739440800,1739465100,long,2942.9,2958.1,END_OF_DAY,1520.0
L1,1739862000,1739873280,long,2927.5,2946.274585468,TAKE_PROFIT_HARD,1877.46
L1,1739887200,1739897100,long,2952.7,2954.3,END_OF_DAY,160.0
L1,1740002400,1740042120,long,2958.6,2947.5,STOP_LOSS_SOFT,-1110.0
L1,1740049200,1740069900,long,2955.2,2955.9,END_OF_DAY,70.0
L1,1740142800,1740156300,long,2953.9,2952.8,END_OF_DAY,-110.0
L1,1740380400,1740390000,long,2962.2,2952.7,STOP_LOSS_SOFT,-950.0
L1,1740488400,1740501900,long,2920.9,2928.7,END_OF_DAY,780.0
L1,1740524400,1740560820,short,2930.7,2911.9254145319996,TAKE_PROFIT_HARD,1877.46
L1,1740567600,1740588300,long,2927.9,2933.2,END_OF_DAY,530.0
L1,1740600000,1740613980,short,2932.0,2913.225414532,TAKE_PROFIT_HARD,1877.46
L1,1740740400,1740749220,long,2861.7,2850.9,STOP_LOSS_SOFT,-1080.0
L1,1741024800,1741032780,long,2904.1,2894.3,STOP_LOSS_SOFT,-980.0
L1,1741064400,1741082220,long,2928.9,2918.8,STOP_LOSS_SOFT,-1010.0
L1,1741186800,1741193100,long,2930.1,2927.8,END_OF_DAY,-230.0
L1,1741208400,1741220700,long,2933.3,2923.6,STOP_LOSS_SOFT,-970.0
L1,1741658400,1741666500,short,2899.7,2909.5,STOP_LOSS_SOFT,-980.0
L1,1741669200,1741711500,long,2914.5,2923.2,END_OF_DAY,870.0
L1,1741784400,1741797900,long,2943.9,2942.8,END_OF_DAY,-110.0
L1,1741806000,1741860360,long,2945.0,2963.774585468,TAKE_PROFIT_HARD,1877.46
L1,1741863600,1741880400,long,2980.6,2999.374585468,TAKE_PROFIT_HARD,1877.46
L1,1742274000,1742316300,long,3035.4,3040.6,END_OF_DAY,520.0
L1,1742392800,1742393820,short,3038.6,3048.6,STOP_LOSS_SOFT,-1000.0
L1,1742396400,1742402700,long,3055.4,3054.3,END_OF_DAY,-110.0
L1,1742817600,1742825280,long,3019.1,3009.1,STOP_LOSS_SOFT,-1000.0
L1,1742839200,1742895660,long,3017.6,3036.374585468,TAKE_PROFIT_HARD,1877.46
L1,1743098400,1743126180,long,3099.2,3117.974585468,TAKE_PROFIT_HARD,1877.46
L1,1743130800,1743135360,long,3123.3,3113.9,STOP_LOSS_SOFT,-940.0
L1,1743361200,1743368160,long,3123.0,3113.8,STOP_LOSS_SOFT,-920.0
L1,1743393600,1743399720,long,3156.7,3147.5,STOP_LOSS_SOFT,-920.0
L1,1743408000,1743414000,long,3151.5,3139.0,STOP_LOSS_SOFT,-1250.0
L1,1743537600,1743568440,long,3146.7,3165.474585468,TAKE_PROFIT_HARD,1877.46
L1,1743588000,1743595560,short,3159.1,3168.5,STOP_LOSS_SOFT,-940.0
L1,1743606000,1743610440,short,3163.0,3144.225414532,TAKE_PROFIT_HARD,1877.46
L1,1743624000,1743624600,long,3188.3,3173.3,STOP_LOSS_SOFT,-1500.0
L1,1743670800,1743671520,short,3097.3,3078.525414532,TAKE_PROFIT_HARD,1877.46
L1,1743696000,1743698640,short,3127.1,3139.3,STOP_LOSS_SOFT,-1220.0
L1,1743717600,1743721560,short,3129.4,3110.625414532,TAKE_PROFIT_HARD,1877.46
L1,1743987600,1743991680,long,3052.3,3040.7,STOP_LOSS_SOFT,-1160.0
L1,1743994800,1743995340,long,3048.0,3035.1,STOP_LOSS_SOFT,-1290.0
L1,1743998400,1743999360,short,3035.7,3046.3,STOP_LOSS_SOFT,-1060.0
L1,1744002000,1744003200,long,3048.5,3039.1,STOP_LOSS_SOFT,-940.0
L1,1744020000,1744020720,short,3032.4,3047.0,STOP_LOSS_SOFT,-1460.0
L1,1744056000,1744058400,short,2995.3,3005.2,STOP_LOSS_SOFT,-990.0
L1,1744063200,1744098780,long,3013.9,3032.6745854680003,TAKE_PROFIT_HARD,1877.46
L1,1744124400,1744130700,short,2998.3,2996.2,END_OF_DAY,210.0
L1,1744142400,1744147680,short,2991.8,3001.2,STOP_LOSS_SOFT,-940.0
