layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1736394600,1736395500,long,2682.7,2680.8,STOP_LOSS_SOFT,-190.0
L1,1736483700,1736484180,long,2706.9,2704.5,STOP_LOSS_SOFT,-240.0
L1,1736515800,1736517480,short,2715.3,2717.4,STOP_LOSS_SOFT,-210.0
L1,1736520600,1736524980,short,2716.2,2719.1,STOP_LOSS_SOFT,-290.0
L1,1736712300,1736712720,short,2717.5,2712.56153726984,TAKE_PROFIT_HARD,493.85
L1,1736869800,1736873100,long,2688.4,2691.9,END_OF_DAY,350.0
L1,1736926200,1736927880,long,2708.1,2706.3,STOP_LOSS_SOFT,-180.0
L1,1736948400,1736949480,short,2716.0,2718.2,STOP_LOSS_SOFT,-220.0
L1,1737021300,1737021720,long,2748.7,2746.7,STOP_LOSS_SOFT,-200.0
L1,1737041100,1737043320,long,2747.9,2746.1,STOP_LOSS_SOFT,-180.0
L1,1737057000,1737057660,long,2747.9,2745.8,STOP_LOSS_SOFT,-210.0
L1,1737107700,1737111360,long,2745.8,2750.7384627301603,TAKE_PROFIT_HARD,493.85
L1,1737128700,1737132300,short,2740.3,2739.5,END_OF_DAY,80.0
L1,1737356100,1737358080,long,2748.4,2746.2,STOP_LOSS_SOFT,-220.0
L1,1737510600,1737511620,short,2762.4,2764.4,STOP_LOSS_SOFT,-200.0
L1,1737538500,1737538860,short,2761.8,2763.9,STOP_LOSS_SOFT,-210.0
L1,1737579000,1737595440,short,2762.3,2764.4,STOP_LOSS_SOFT,-210.0
L1,1737717300,1737718320,short,2781.8,2783.3,STOP_LOSS_SOFT,-150.0
L1,1737732000,1737737100,short,2781.1,2777.7,END_OF_DAY,340.0
L1,1737934800,1737935220,short,2761.0,2762.9,STOP_LOSS_SOFT,-190.0
L1,1737938400,1737944700,short,2760.5,2755.56153726984,TAKE_PROFIT_HARD,493.85
L1,1738045800,1738046280,long,2749.2,2746.2,STOP_LOSS_SOFT,-300.0
L1,1738700100,1738700760,long,2877.0,2874.7,STOP_LOSS_SOFT,-230.0
L1,1738701900,1738702080,short,2870.6,2873.0,STOP_LOSS_SOFT,-240.0
L1,1738912500,1738915920,short,2889.5,2884.56153726984,TAKE_PROFIT_HARD,493.85
