layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1736262000,1736268300,long,4.184,4.1785,END_OF_DAY,-137.5
L1,1736290800,1736297460,long,4.1855,4.19529737240531,TAKE_PROFIT_HARD,244.93
L1,1736323200,1736326440,long,4.185,4.19479737240531,TAKE_PROFIT_HARD,244.93
L1,1736503200,1736505780,long,4.3325,4.3183729817561,STOP_LOSS_HARD,-353.18
L1,1736744400,1736746020,long,4.2965,4.30629737240531,TAKE_PROFIT_HARD,244.93
L1,1736769600,1736786700,long,4.321,4.3255,END_OF_DAY,112.5
L1,1736823600,1736824860,long,4.333,4.343,TAKE_PROFIT_HARD,250.0
L1,1736884800,1736904720,long,4.3345,4.34429737240531,TAKE_PROFIT_HARD,244.93
L1,1737104400,1737104580,long,4.3685,4.3543729817561,STOP_LOSS_HARD,-353.18
L1,1737111600,1737113460,long,4.361,4.37079737240531,TAKE_PROFIT_HARD,244.93
L1,1737511200,1737516600,long,4.301,4.31079737240531,TAKE_PROFIT_HARD,244.93
L1,1737540000,1737546300,long,4.2945,4.30429737240531,TAKE_PROFIT_HARD,244.93
L1,1737698400,1737705540,long,4.3665,4.37629737240531,TAKE_PROFIT_HARD,244.93
L1,1737712800,1737729540,long,4.3255,4.313,STOP_LOSS_SOFT,-312.5
L1,1737946800,1737946920,long,4.2525,4.26229737240531,TAKE_PROFIT_HARD,244.93
L1,1738026000,1738027140,long,4.257,4.267,TAKE_PROFIT_HARD,250.0
L1,1738029600,1738031220,long,4.2495,4.25929737240531,TAKE_PROFIT_HARD,244.93
L1,1738051200,1738055700,long,4.259,4.26879737240531,TAKE_PROFIT_HARD,244.93
L1,1738540800,1738542360,long,4.1945,4.20429737240531,TAKE_PROFIT_HARD,244.93
L1,1738591200,1738592940,short,4.3175,4.3316270182439,STOP_LOSS_HARD,-353.18
L1,1738623600,1738627320,long,4.337,4.3228729817561,STOP_LOSS_HARD,-353.18
L1,1738836000,1738837920,long,4.4225,4.43229737240531,TAKE_PROFIT_HARD,244.93
L1,1739214000,1739218380,long,4.6815,4.69129737240531,TAKE_PROFIT_HARD,244.93
L1,1739224800,1739226480,long,4.665,4.67479737240531,TAKE_PROFIT_HARD,244.93
L1,1739250000,1739252340,long,4.626,4.6118729817561,STOP_LOSS_HARD,-353.18
